Profile,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Name,,Santa Maria Basin,Tehachapi Mountains,Great Valley,Ophiolitic Terranes,Sierra Nevada Batholith,Continental Borderland,Ventura Basin,Los Angeles Basin,W Mojave,China Lake Basin,Eastern California Shear Zone,E Mojave,Peninsular Range Batholith,Salton Trough,Proterozoic Terranes
Depth (km),-49.5,8059.891126,7550.028993,7642.981765,7786.76506,7807.10125,7711.275775,7886.048162,7676.231761,7771.447793,7764.828481,7792.818331,7798.343656,7866.155609,7672.199569,7911.824971
,-49.0,8056.412534,7585.175167,7640.226682,7787.643637,7806.522895,7708.986705,7879.708016,7684.343779,7782.343968,7760.498043,7814.152691,7800.1592,7835.167697,7663.706317,7908.267136
,-48.5,8052.947017,7620.670834,7637.474652,7788.526947,7806.002495,7706.699785,7873.47095,7692.39396,7793.272388,7756.185456,7835.606151,7801.982103,7804.492857,7655.254306,7904.713091
,-48.0,8048.236474,7659.195752,7633.618478,7789.278139,7809.794644,7704.52674,7868.303529,7706.131588,7806.049946,7755.458681,7858.913299,7804.239493,7777.449708,7651.429566,7900.871688
,-47.5,8043.953453,7699.13669,7630.518493,7790.674298,7814.420592,7702.369154,7863.80188,7721.760181,7820.447182,7755.760404,7883.379742,7807.367928,7751.47386,7648.401373,7897.216609
,-47.0,8037.733387,7734.80103,7626.361399,7791.735125,7824.862484,7700.293637,7861.533287,7746.937632,7834.924821,7761.85807,7903.948366,7809.696547,7737.936344,7655.500458,7893.328458
,-46.5,8031.640584,7771.531761,7622.47724,7793.033156,7835.851119,7698.223975,7859.480742,7773.003633,7850.424802,7768.453053,7925.549273,7812.60456,7724.507655,7662.75812,7889.488943
,-46.0,8024.860557,7797.191326,7618.167935,7793.740173,7851.222349,7696.372249,7861.994671,7804.262611,7865.497017,7780.59584,7938.322884,7813.782011,7728.751019,7681.014118,7886.18752
,-45.5,8018.055998,7822.670419,7613.770231,7794.34183,7866.27877,7694.509592,7864.216655,7835.483237,7880.129938,7792.483852,7950.508927,7814.690638,7732.703564,7699.377397,7882.791003
,-45.0,8012.342814,7836.663037,7610.193349,7794.725682,7882.978158,7692.915625,7871.312776,7864.657597,7895.465098,7807.833695,7954.032122,7813.722587,7751.361522,7724.580934,7880.436601
,-44.5,8006.627935,7850.816267,7606.599366,7795.07361,7899.714637,7691.322903,7878.29511,7893.753372,7910.83133,7823.157313,7957.524787,7812.806894,7769.864379,7749.863875,7878.005798
,-44.0,8002.545813,7856.197174,7604.480607,7795.343764,7913.886271,7689.88506,7888.413764,7916.690334,7925.231161,7837.748631,7952.812953,7809.037124,7795.538485,7776.335452,7876.317228
,-43.5,7998.368551,7861.449385,7602.273441,7795.48286,7927.881865,7688.429946,7899.271373,7939.257574,7939.361938,7852.099481,7947.784583,7805.086644,7821.180465,7802.850161,7874.514095
,-43.0,7995.846059,7861.790031,7601.847916,7796.017589,7936.496959,7687.106344,7912.644602,7955.078304,7951.79649,7863.53233,7937.512149,7798.876082,7846.35328,7826.33872,7873.185309
,-42.5,7993.230861,7862.899458,7601.554233,7796.571792,7945.506025,7685.760477,7926.688101,7970.744029,7964.970396,7875.067101,7928.050419,7793.09634,7871.601753,7849.715759,7871.739562
,-42.0,7992.201992,7860.555444,7602.357612,7797.411038,7947.482933,7684.563068,7941.596036,7980.73915,7974.607778,7881.239393,7915.160669,7785.131111,7890.114579,7867.788055,7870.674787
,-41.5,7990.981753,7858.87035,7603.235825,7798.187624,7949.685121,7683.328293,7956.719296,7990.597009,7984.692457,7887.29143,7902.917682,7777.460281,7908.621576,7885.601107,7869.422253
,-41.0,7991.026571,7854.816436,7604.979739,7799.240654,7946.022949,7682.315567,7971.531922,7997.194033,7992.697843,7887.332526,7890.664717,7769.328212,7591.281842,7896.443756,7868.582495
,-40.5,7990.761642,7851.287263,7606.687301,7800.100746,7942.3497,7681.248958,7985.69313,8002.705386,8000.823545,7886.911922,7878.767666,7761.297017,7188.311334,7906.786178,7867.423541
,-40.0,7990.90381,7847.341349,7609.327443,7800.765083,7934.468758,7680.493414,7996.968201,8005.522787,8007.657705,7880.97426,7869.472334,7754.534837,7019.775102,7909.127186,7866.514433
,-39.5,7990.732176,7847.04574,7611.774756,7800.969346,7925.235782,7682.341922,8008.913479,8006.227528,8014.976597,7872.66659,7856.71614,7747.132941,6947.232468,7910.309508,7865.149904
,-39.0,7988.805679,7848.260527,7614.980838,7800.467193,7912.242149,7684.581399,8017.116913,8004.067013,8019.608001,7859.940611,7847.037143,7742.137978,6920.949273,7903.921342,7863.408085
,-38.5,7985.939654,7850.255882,7617.87797,7799.345652,7898.715517,7686.665602,8022.911734,7998.578278,8023.700661,7845.597659,7837.498051,7736.867566,6914.293256,7896.098547,7860.710277
,-38.0,7978.254468,7858.519623,7621.14707,7797.2191,7879.798962,7688.078082,8022.23687,7988.813745,8025.855267,7828.320654,7832.12742,7735.371207,6907.560857,7880.703952,7855.941584
,-37.5,7970.599662,7860.978704,7622.849573,7794.587682,7838.775313,7690.94391,8020.580961,7976.160965,8021.651942,7808.776532,7821.323237,7730.701423,6900.178108,7865.564644,7851.315702
,-37.0,7957.393356,7863.28451,7624.657263,7791.856663,7690.218785,7694.224902,8013.657605,7962.339796,8013.634068,7791.309839,7811.17847,7728.455421,6890.006613,7845.775206,7845.525925
,-36.5,7946.867743,7857.809823,7625.813226,7789.879319,7493.882107,7697.413991,8013.103487,7956.595982,8000.59594,7776.438631,7793.481019,7722.825844,6881.83153,7831.486932,7842.446405
,-36.0,7931.670154,7854.169343,7627.06955,7789.395202,7211.659673,7700.732972,8010.112749,7952.575217,7992.168451,7771.275094,7781.515133,7721.098116,6872.139408,7814.372968,7838.835659
,-35.5,7916.532661,7850.671745,7628.328193,7788.906644,6890.238381,7704.055671,8007.147451,7948.362872,7983.696624,7766.165256,7769.581711,7719.404867,6862.75752,7797.318262,7835.220884
,-35.0,7898.713299,7844.235652,7629.237686,7791.396571,6691.906267,7707.220846,8001.592949,7944.508927,7983.044391,7773.915394,7764.047082,7721.324975,6852.606574,7777.767017,7831.403822
,-34.5,7881.300288,7838.673249,7629.970554,7794.047163,6630.495952,7710.574406,7995.851126,7939.977009,7981.997762,7781.805617,7758.243629,7723.406094,6842.732987,7758.235429,7827.659758
,-34.0,7863.16268,7820.04015,7630.274248,7802.494575,6597.316217,7713.403614,7986.031915,7934.878116,7984.829331,7801.225144,7754.722507,7729.318524,6833.183533,7736.200988,7824.230015
,-33.5,7845.107151,7801.673556,7630.579296,7810.972561,6564.400177,7716.227682,7976.244856,7929.221476,7987.569366,7820.757197,7751.187393,7735.265398,6823.868881,7714.278908,7820.803849
,-33.0,7829.163995,7751.941142,7630.518554,7825.431088,6540.450481,7718.777305,7961.148216,7921.289954,7977.967339,7841.096713,7737.679862,7744.10366,6814.787213,7690.555855,7818.571765
,-32.5,7813.28832,7613.569485,7630.463502,7483.264614,6516.723256,7721.310523,7946.062691,7913.211522,7967.332807,7861.627082,7724.213099,7752.982253,6805.863479,7666.966044,7816.349804
,-32.0,7802.08727,7326.09316,7630.982718,6937.178862,6499.202007,7723.811707,7931.31303,7901.785586,7883.358804,7860.036909,7609.571799,7760.65278,6797.447116,7642.6089,7815.878554
,-31.5,7790.923364,6939.963825,7592.788677,6866.699435,6481.811692,7726.246317,7916.521077,7890.303933,7733.897812,7856.837901,7201.404963,7768.353998,6789.153676,7618.401146,7815.407582
,-31.0,7785.976728,6624.518981,7318.456982,6884.616551,6466.493249,7728.79243,7914.386894,7875.099927,7461.775021,7708.384717,6611.153164,7764.385144,6781.509904,7595.577616,7816.758539
,-30.5,7781.080796,6484.863872,6949.308754,6899.970111,6442.296905,7731.346117,7912.588508,7860.124479,7203.694371,7333.738808,6541.721296,7693.936182,6761.370215,7572.879389,7818.115609
,-30.0,7781.753218,6444.899627,6768.245767,6910.53283,6417.433556,7733.249623,7841.068197,7843.975625,6978.218923,6598.324875,6515.172022,7024.23594,6742.900911,7554.103237,7819.241953
,-29.5,7736.5889,6405.235252,6776.669769,6922.319431,6392.934583,7684.633291,7440.719519,7776.475544,6706.128293,6515.939516,6486.902191,6743.488108,6724.037974,7485.643141,7774.106671
,-29.0,7696.726517,6391.613591,6786.745852,6932.767509,6368.240865,7635.999443,6882.235352,7703.01386,6660.686144,6473.627386,6476.665336,6707.032933,6707.727378,7420.272403,7727.714387
,-28.5,7656.785702,6377.819196,6796.808674,6943.291292,6343.723299,7587.354121,6788.904233,7630.804129,6635.691388,6431.685798,6466.400469,6696.108074,6691.689458,7355.2201,7681.271522
,-28.0,7616.464567,6378.451096,6805.701457,6955.145536,6321.077336,7538.648105,6798.570188,7538.312664,6632.446025,6401.779554,6464.852222,6692.075517,6679.92917,7295.398485,7633.032987
,-27.5,7553.791411,6379.022299,6814.605829,6967.098274,6298.59474,7489.961326,6808.204675,7403.335029,6628.966997,6372.005636,6463.262884,6688.040388,6668.963483,7235.795183,7584.7691
