Profile,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Name,,Santa Maria Basin,Tehachapi Mountains,Great Valley,Ophiolitic Terranes,Sierra Nevada Batholith,Continental Borderland,Ventura Basin,Los Angeles Basin,W Mojave,China Lake Basin,Eastern California Shear Zone,E Mojave,Peninsular Range Batholith,Salton Trough,Proterozoic Terranes
Depth (km),-49.5,4695.745071,4387.062395,4411.437962,4456.5795,4555.136663,4509.659715,4608.495636,4447.276409,4551.585125,4515.766309,4567.20579,4566.245433,4612.473103,4451.512215,4566.450042
,-49.0,4693.714083,4417.65401,4409.016924,4458.260807,4554.856713,4508.024287,4602.729319,4453.63907,4561.286175,4512.086705,4584.991403,4567.740577,4586.364083,4443.611676,4564.235025
,-48.5,4691.691984,4448.457924,4406.598135,4459.944187,4554.614548,4506.389958,4597.022265,4459.71341,4571.024341,4508.419569,4602.856794,4569.242622,4560.452372,4435.733283,4562.022641
,-48.0,4688.622453,4481.504729,4403.18584,4461.495625,4558.00925,4504.864683,4592.191699,4470.059131,4582.084748,4507.811476,4622.162661,4571.051649,4537.628812,4431.829854,4559.556409
,-47.5,4685.90639,4515.816678,4400.46579,4463.623099,4562.146221,4503.34203,4587.947143,4482.179777,4594.741407,4508.099131,4642.512795,4573.644494,4515.658535,4428.583026,4557.253779
,-47.0,4681.517009,4546.277063,4396.839915,4465.445629,4571.269896,4501.905898,4585.704383,4502.444048,4607.312634,4513.351092,4659.490688,4575.513422,4504.268451,4434.055148,4554.748112
,-46.5,4677.236371,4577.557762,4393.447266,4467.472937,4580.840396,4500.474629,4583.638716,4523.470511,4620.715848,4519.016963,4677.310531,4577.869958,4492.989612,4439.651576,4552.28308
,-46.0,4672.341365,4599.30506,4389.720754,4468.971261,4594.20481,4499.247382,4585.613472,4548.919316,4633.593641,4529.438374,4687.627336,4578.725302,4496.875921,4454.757889,4550.285071
,-45.5,4667.419846,4620.876236,4385.919635,4470.377505,4607.292364,4498.010438,4587.329377,4574.279896,4646.069466,4539.629812,4697.455002,4579.352618,4500.538058,4469.928635,4548.205102
,-45.0,4663.419923,4632.59178,4382.865844,4471.577486,4621.826886,4497.015344,4593.275917,4597.85709,4658.905732,4552.768804,4699.903291,4578.359012,4516.787509,4491.033614,4547.025928
,-44.5,4659.418105,4644.374302,4379.788158,4472.741357,4636.370807,4496.021968,4599.061626,4621.279181,4671.694306,4565.863652,4702.311738,4577.402176,4532.875179,4512.159,4545.777982
,-44.0,4656.810292,4648.701453,4378.045198,4473.829558,4648.800631,4495.166217,4607.395517,4639.407124,4683.618777,4578.304571,4697.752949,4574.010807,4555.035782,4534.319346,4545.171853
,-43.5,4654.120227,4652.828358,4376.215644,4474.798774,4661.058893,4494.295506,4615.703633,4657.141711,4695.264045,4590.519785,4692.90589,4570.456732,4577.131907,4556.470377,4544.464168
,-43.0,4652.851926,4652.727036,4375.989996,4476.103022,4668.806855,4493.538181,4625.99694,4669.07471,4705.410292,4600.207747,4683.578466,4564.976182,4598.754698,4576.036563,4544.162599
,-42.5,4651.515033,4653.059339,4375.852722,4477.411553,4676.849504,4492.765625,4637.104098,4680.758255,4715.966248,4609.956655,4674.871484,4559.836017,4620.426847,4595.47491,4543.752261
,-42.0,4651.537539,4650.487651,4376.724279,4478.965952,4678.959246,4492.115525,4648.953033,4687.540188,4723.645344,4615.103353,4663.26293,4552.848247,4636.27436,4610.393495,4543.672837
,-41.5,4651.410961,4648.219208,4377.632768,4480.451465,4681.224179,4491.437051,4660.995479,4693.930323,4731.550661,4620.12248,4652.127562,4546.078985,4652.127878,4625.06664,4543.422438
,-41.0,4652.38867,4643.812995,4379.297978,4482.168674,4678.490807,4490.945548,4672.776371,4697.700319,4737.670973,4619.972207,4640.963533,4538.913852,4453.265329,4633.81594,4543.529239
,-40.5,4653.125859,4639.505855,4380.897074,4483.697624,4675.703145,4490.412553,4683.023095,4700.593629,4743.510108,4619.400707,4630.016309,4531.795486,4200.135629,4642.12496,4543.34699
,-40.0,4654.254887,4634.504271,4383.251699,4485.037128,4669.265429,4490.144979,4691.143403,4701.132357,4747.916701,4614.062149,4621.201742,4525.7313,4093.935486,4643.639047,4543.374602
,-39.5,4655.143072,4631.154744,4385.416251,4485.96298,4661.534748,4491.668812,4699.43669,4699.838301,4751.953245,4606.658654,4609.786259,4519.089596,4048.406809,4644.401315,4542.999431
