BILLY-25,UCVM-25,UCVM-GTL-25
4298.634087,4326.20225759,859.765487505
4299.014552,4326.6150296,4326.6150296
4380.203283,4407.17277047,4407.17277047
4509.78709,4534.82311265,4534.82311265
4690.949047,4712.82208189,4712.82208189
4889.512799,4907.15429296,4907.15429296
5108.594083,5121.11313495,5121.11313495
5325.097651,5332.45790388,5332.45790388
5542.566828,5544.73259592,5544.73259592
5773.446532,5769.87895425,5769.87895425
5955.872937,5948.61395425,5948.61395425
6150.083733,6140.54438331,6140.54438331
6277.74832,6266.97660861,6266.97660861
6395.371038,6382.93168858,6382.93168858
6450.248531,6437.33034948,6437.33034948
6497.331995,6484.75409689,6484.75409689
6506.280169,6495.01664129,6495.01664129
6512.071815,6501.93905267,6501.93905267
6504.582165,6496.5699604,6496.5699604
6497.071265,6491.21142022,6491.21142022
6473.852818,6470.97188235,6470.97188235
6429.388297,6428.13449443,6428.13449443
6370.302614,6371.03113649,6371.03113649
6312.366098,6314.99774664,6314.99774664
6243.26451,6248.02888774,6248.02888774
6175.28228,6181.74749212,6181.74749212
6117.3606,6125.30687735,6125.30687735
6061.652188,6071.3844629,6071.3844629
6028.088116,6038.71199154,6038.71199154
6004.628124,6015.98826336,6015.98826336
6023.192353,6034.31424029,6034.31424029
6053.593922,6064.36463975,6064.36463975
6119.046059,6129.40683622,6129.40683622
6189.85897,6199.84808266,6199.84808266
6217.681338,6227.27363091,6227.27363091
6247.662611,6256.82548135,6256.82548135
6246.897966,6256.38960938,6256.38960938
6218.812868,6229.05636371,6229.05636371
6180.880623,6192.20064206,6192.20064206
6143.587935,6155.95844714,6155.95844714
6118.463829,6131.7613341,6131.7613341
6093.668178,6107.89954171,6107.89954171
6084.72005,6099.54019339,6099.54019339
6076.11461,6091.56264821,6091.56264821
6084.163699,6099.66180431,6099.66180431
6094.155767,6109.23310342,6109.23310342
6117.669627,6131.69123645,6131.69123645
6138.909673,6152.08423106,6152.08423106
6168.491942,6180.43527874,6180.43527874
6198.12679,6208.82927797,6208.82927797
6226.231603,6235.46774241,6235.46774241
6256.855186,6264.37687082,6264.37687082
6287.201934,6293.18731834,6293.18731834
6317.487862,6321.900802,6321.900802
6344.685029,6347.99654402,6347.99654402
6372.005636,6374.19890042,6374.19890042
6401.779554,6403.58164514,6403.58164514
6431.685798,6433.09247905,6433.09247905
6473.627386,6475.37974433,6475.37974433
6515.939516,6518.0513837,6518.0513837
6598.324875,6601.70722107,6601.70722107
7333.738808,7335.61461822,7335.61461822
7708.384717,7725.25461399,7725.25461399
7856.837901,7865.87934602,7865.87934602
7860.036909,7867.57585852,7867.57585852
7861.627082,7869.14832141,7869.14832141
7841.096713,7848.3688466,7848.3688466
7820.757197,7827.76912687,7827.76912687
7801.225144,7807.60141945,7807.60141945
7781.805617,7787.5508885,7787.5508885
7773.915394,7778.58673818,7778.58673818
7766.165256,7769.73879085,7769.73879085
7771.275094,7773.43719223,7773.43719223
7776.438631,7777.18273318,7777.18273318
7791.309839,7790.72335294,7790.72335294
7808.776532,7806.95781238,7806.95781238
7828.320654,7825.70503422,7825.70503422
7845.597659,7842.14682968,7842.14682968
7859.940611,7856.0567674,7856.0567674
7872.66659,7868.32435717,7868.32435717
7880.97426,7876.56335371,7876.56335371
7886.911922,7882.52598039,7882.52598039
7887.332526,7883.4139604,7883.4139604
7887.29143,7883.83013649,7883.83013649
7881.239393,7878.6760296,7878.6760296
7875.067101,7873.39192503,7873.39192503
7863.53233,7863.07135294,7863.07135294
7852.099481,7852.83834679,7852.83834679
7837.748631,7839.86271126,7839.86271126
7823.157313,7826.63424145,7826.63424145
7807.833695,7812.63248289,7812.63248289
7792.483852,7798.59007805,7798.59007805
7780.59584,7787.6688712,7787.6688712
7768.453053,7776.49045867,7776.49045867
7761.85807,7770.2833118,7770.2833118
7755.760404,7764.57712072,7764.57712072
7755.458681,7764.14935371,7764.14935371
7756.185456,7764.76809266,7764.76809266
7760.498043,7768.77323145,7768.77323145
7764.828481,7771.57419185,7771.57419185
