BILLY-25,UCVM-25,UCVM-GTL-25
2571.712749,2587.31913802,223.542838908
2571.903268,2587.52432795,2587.52432795
2629.973526,2645.63466013,2645.63466013
2695.514994,2709.55365244,2709.55365244
2783.294433,2794.58618416,2794.58618416
2875.407989,2883.82616955,2883.82616955
2990.252307,2995.54012495,2995.54012495
3109.599343,3111.80524913,3111.80524913
3229.393191,3228.46924644,3228.46924644
3357.592634,3353.6617178,3353.6617178
3457.907682,3452.77004421,3452.77004421
3570.559369,3565.33924644,3565.33924644
3641.403979,3636.55572318,3636.55572318
3714.744779,3709.89859785,3709.89859785
3752.777705,3747.49518416,3747.49518416
3794.802384,3788.27338716,3788.27338716
3812.945548,3805.50517762,3805.50517762
3827.206943,3818.85141369,3818.85141369
3833.012314,3824.74043253,3824.74043253
3838.886286,3830.71095079,3830.71095079
3831.928874,3824.68368089,3824.68368089
3793.145383,3787.61488735,3787.61488735
3741.19709,3737.81768935,3737.81768935
3689.993118,3688.72086005,3688.72086005
3628.576432,3629.66528066,3629.66528066
3564.840634,3567.89235909,3567.89235909
3509.246332,3514.14481315,3514.14481315
3463.008374,3470.06276663,3470.06276663
3432.016005,3440.31036947,3440.31036947
3409.080746,3418.56733679,3418.56733679
3421.418485,3431.23690235,3431.23690235
3445.164333,3455.14593349,3455.14593349
3499.718289,3509.52070358,3509.52070358
3559.643998,3569.1812326,3569.1812326
3581.912534,3591.26588927,3591.26588927
3605.764156,3614.83339408,3614.83339408
3601.209612,3610.5939035,3610.5939035
3571.316236,3581.32196886,3581.32196886
3532.618012,3543.56391311,3543.56391311
3494.77,3506.48124606,3506.48124606
3468.592364,3480.57783506,3480.57783506
3444.332576,3456.24112726,3456.24112726
3433.255409,3444.98884006,3444.98884006
3422.999277,3434.50741446,3434.50741446
3424.730946,3436.08525413,3436.08525413
3426.882038,3437.92338178,3437.92338178
3438.428604,3449.16527374,3449.16527374
3448.927366,3459.36558862,3459.36558862
3466.068935,3476.03399808,3476.03399808
3484.021653,3493.32682853,3493.32682853
3501.568862,3509.87704229,3509.87704229
3521.850988,3528.8117474,3528.8117474
3542.545352,3548.15897693,3548.15897693
3563.420723,3567.62781084,3567.62781084
3581.72316,3584.93844252,3584.93844252
3600.13499,3602.34603576,3602.34603576
3620.833576,3622.68612995,3622.68612995
3641.649819,3643.14022722,3643.14022722
3673.186717,3674.98275586,3674.98275586
3705.008808,3707.11996963,3707.11996963
3768.644514,3771.84631334,3771.84631334
4240.93103,4243.73861976,4243.73861976
4484.731273,4496.96444022,4496.96444022
4589.0408,4596.44526797,4596.44526797
4591.218874,4597.67928604,4597.67928604
4592.587751,4599.01412764,4599.01412764
4575.227778,4581.40408035,4581.40408035
4557.996632,4563.91326951,4563.91326951
4541.550434,4546.8748935,4546.8748935
4525.17476,4529.90941446,4529.90941446
4518.693168,4522.4572895,4522.4572895
4512.344948,4515.11855709,4515.11855709
4517.030857,4518.5531461,4518.5531461
4521.749931,4522.01673203,4522.01673203
4534.771515,4533.8679504,4533.8679504
4550.18985,4548.21069589,4548.21069589
4567.373599,4564.7000892,4564.7000892
4582.726136,4579.33731565,4579.33731565
4595.417905,4591.65000384,4591.65000384
4606.658654,4602.48740254,4602.48740254
4614.062149,4609.82144983,4609.82144983
4619.400707,4615.18490581,4615.18490581
4619.972207,4616.16032718,4616.16032718
4620.12248,4616.70461745,4616.70461745
4615.103353,4612.45839639,4612.45839639
4609.956655,4608.07605383,4608.07605383
4600.207747,4599.37278662,4599.37278662
4590.519785,4590.71899539,4590.71899539
4578.304571,4579.6910519,4579.6910519
4565.863652,4568.42862284,4568.42862284
4552.768804,4556.48052864,4556.48052864
4539.629812,4544.47748404,4544.47748404
4529.438374,4535.1321857,4535.1321857
4519.016963,4525.55556555,4525.55556555
4513.351092,4520.24052403,4520.24052403
4508.099131,4515.3420296,4515.3420296
4507.811476,4514.96345406,4514.96345406
4508.419569,4515.49618454,4515.49618454
4512.086705,4518.91611034,4518.91611034
4515.766309,4521.41671396,4521.41671396
