BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
4298.634087,4296.42672011,4326.20225759,4547.22,4541.378
4299.014552,4296.79595079,4326.6150296,4547.581,4541.786
4380.203283,4380.43076009,4407.17277047,4598.329,4592.439
4509.78709,4513.19559746,4534.82311265,4688.511,4687.289
4690.949047,4696.86155825,4712.82208189,4844.356,4846.76
4889.512799,4897.85734948,4907.15429296,5007.157,5012.256
5108.594083,5118.35016186,5121.11313495,5198.307,5204.793
5325.097651,5336.53872741,5332.45790388,5388.463,5395.424
5542.566828,5554.47554441,5544.73259592,5584.689,5592.577
5773.446532,5785.94542407,5769.87895425,5793.338,5800.133
5955.872937,5967.71580661,5948.61395425,5963.476,5966.764
6150.083733,6161.5038243,6140.54438331,6145.982,6143.905
6277.74832,6287.66395694,6266.97660861,6273.141,6264.591
6395.371038,6403.23362784,6382.93168858,6394.461,6380.234
6450.248531,6455.70045406,6437.33034948,6458.814,6442.591
6497.331995,6500.20116186,6484.75409689,6512.642,6499.289
6506.280169,6506.93734871,6495.01664129,6528.988,6521.235
6512.071815,6510.6213118,6501.93905267,6542.973,6540.111
6504.582165,6501.77085467,6496.5699604,6541.993,6544.859
6497.071265,6492.93838793,6491.21142022,6540.929,6549.472
6473.852818,6469.30128797,6470.97188235,6520.14,6534.516
6429.388297,6424.90552211,6428.13449443,6481.757,6495.988
6370.302614,6366.44168512,6371.03113649,6420.587,6434.767
6312.366098,6309.10524567,6314.99774664,6360.538,6374.66
6243.26451,6240.69906459,6248.02888774,6281.523,6296.456
6175.28228,6173.55807266,6181.74749212,6201.297,6216.687
6117.3606,6116.02435025,6125.30687735,6133.257,6149.015
6061.652188,6060.68019839,6071.3844629,6068.051,6084.62
6028.088116,6027.03671011,6038.71199154,6027.776,6044.438
6004.628124,6003.45504691,6015.98826336,5999.434,6015.706
6023.192353,6021.48746059,6034.31424029,6019.163,6034.114
6053.593922,6051.39025375,6064.36463975,6052.552,6065.542
6119.046059,6116.11188082,6129.40683622,6127.402,6138.529
6189.85897,6186.22503076,6199.84808266,6207.98,6217.197
6217.681338,6213.68409612,6227.27363091,6247.646,6254.751
6247.662611,6243.28795694,6256.82548135,6289.137,6294.239
6246.897966,6242.45615225,6256.38960938,6296.842,6301.479
6218.812868,6214.38870819,6229.05636371,6272.177,6278.084
6180.880623,6176.65565705,6192.20064206,6236.018,6244.029
6143.587935,6139.5511534,6155.95844714,6200.335,6210.453
6118.463829,6114.77204767,6131.7613341,6176.075,6188.41
6093.668178,6090.31365398,6107.89954171,6152.237,6166.752
6084.72005,6081.83734064,6099.54019339,6142.227,6158.804
6076.11461,6073.74833141,6091.56264821,6132.701,6151.399
6084.163699,6082.55547597,6099.66180431,6136.669,6156.946
6094.155767,6093.37037024,6109.23310342,6145.384,6165.547
6117.669627,6117.86123529,6131.69123645,6164.2,6183.477
6138.909673,6140.05887966,6152.08423106,6180.241,6199.056
6168.491942,6170.51976086,6180.43527874,6201.985,6219.89
6198.12679,6201.04907958,6208.82927797,6223.63,6240.616
6226.231603,6229.82659862,6235.46774241,6242.993,6258.727
6256.855186,6261.20927912,6264.37687082,6264.469,6278.314
6287.201934,6292.0144975,6293.18731834,6288.25,6300.56
6317.487862,6322.77171357,6321.900802,6311.791,6322.531
6344.685029,6350.0781857,6347.99654402,6334.957,6344.723
6372.005636,6377.50838024,6374.19890042,6358.183,6366.964
6401.779554,6407.06304114,6403.58164514,6387.056,6395.548
6431.685798,6436.74848251,6433.09247905,6416.037,6424.232
6473.627386,6478.21976355,6475.37974433,6459.85,6468.229
6515.939516,6520.05419454,6518.0513837,6504.055,6512.623
6598.324875,6601.6760792,6601.70722107,6592.042,6601.307
7333.738808,7329.93284352,7335.61461822,7758.506,7773.951
7708.384717,7714.78996963,7725.25461399,7806.326,7821.27
7856.837901,7857.7714506,7865.87934602,7863.325,7877.576
7860.036909,7860.19699039,7867.57585852,7863.198,7876.623
7861.627082,7860.9703787,7869.14832141,7863.319,7875.897
7841.096713,7839.95589043,7848.3688466,7841.038,7852.392
7820.757197,7819.13552441,7827.76912687,7818.882,7829.021
7801.225144,7799.31865629,7807.60141945,7798.442,7806.765
7781.805617,7779.61741292,7787.5508885,7778.103,7784.63
7773.915394,7771.49962976,7778.58673818,7770.531,7774.725
7766.165256,7763.51022376,7769.73879085,7763.183,7765.021
7771.275094,7768.2940619,7773.43719223,7770.055,7769.55
7776.438631,7773.1312103,7777.18273318,7776.936,7774.082
7791.309839,7787.55857785,7790.72335294,7794.328,7789.901
7808.776532,7804.62612649,7806.95781238,7813.946,7808.094
7828.320654,7823.77146943,7825.70503422,7835.863,7829.659
7845.597659,7840.65967128,7842.14682968,7855.515,7848.882
7859.940611,7854.70588658,7856.0567674,7872.418,7866.073
7872.66659,7867.12721107,7868.32435717,7887.768,7881.675
7880.97426,7875.27926605,7876.56335371,7898.299,7892.979
7886.911922,7881.0950396,7882.52598039,7906.373,7902.292
7887.332526,7881.53385582,7883.4139604,7908.166,7905.724
7887.29143,7881.50781968,7883.83013649,7909.521,7908.701
7881.239393,7875.58578893,7878.6760296,7903.992,7905.024
7875.067101,7869.5400742,7873.39192503,7898.347,7901.217
7863.53233,7858.23725606,7863.07135294,7886.776,7891.515
7852.099481,7847.03214148,7852.83834679,7875.303,7881.893
7837.748631,7833.01191811,7839.86271126,7860.272,7868.635
7823.157313,7818.75077509,7826.63424145,7844.974,7855.09
7807.833695,7803.88722222,7812.63248289,7827.529,7839.053
7792.483852,7788.99555671,7798.59007805,7810.059,7822.969
7780.59584,7777.67716032,7787.6688712,7794.568,7808.154
7768.453053,7766.104807,7776.49045867,7778.821,7793.077
7761.85807,7760.1152376,7770.2833118,7768.069,7782.083
7755.760404,7754.62056786,7764.57712072,7757.824,7771.6
7755.458681,7754.83920223,7764.14935371,7754.175,7767.061
7756.185456,7756.08225067,7764.76809266,7751.522,7763.542
7760.498043,7760.79978124,7768.77323145,7753.725,7764.686
7764.828481,7765.53691772,7771.57419185,7755.937,7763.858
