BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
2571.712749,2567.02936332,2587.31913802,2747.092,2738.254
2571.903268,2567.21488774,2587.52432795,2747.265,2738.441
2629.973526,2627.59130834,2645.63466013,2779.622,2771.521
2695.514994,2695.9871311,2709.55365244,2811.872,2805.017
2783.294433,2786.4821188,2794.58618416,2879.163,2872.767
2875.407989,2881.58190311,2883.82616955,2948.707,2942.575
2990.252307,2998.33957516,2995.54012495,3048.296,3042.161
3109.599343,3119.70527874,3111.80524913,3152.145,3145.842
3229.393191,3240.30944444,3228.46924644,3260.591,3254.6
3357.592634,3369.3713441,3353.6617178,3374.755,3369.177
3457.907682,3469.35854479,3452.77004421,3465.048,3460.152
3570.559369,3581.64276471,3565.33924644,3565.996,3562.665
3641.403979,3651.13032334,3636.55572318,3631.65,3629.523
3714.744779,3722.61427028,3709.89859785,3703.555,3702.362
3752.777705,3758.33247059,3747.49518416,3748.827,3748.389
3794.802384,3797.69485467,3788.27338716,3800.578,3800.966
3812.945548,3813.45945559,3805.50517762,3831.203,3832.745
3827.206943,3825.48346636,3818.85141369,3858.051,3860.416
3833.012314,3829.66440907,3824.74043253,3874.48,3878.521
3838.886286,3833.9348193,3830.71095079,3890.824,3896.521
3831.928874,3826.16938139,3824.68368089,3889.859,3897.45
3793.145383,3787.61480584,3787.61488735,3856.027,3863.851
3741.19709,3736.41315033,3737.81768935,3801.657,3809.871
3689.993118,3685.94248212,3688.72086005,3748.027,3756.624
3628.576432,3625.36177701,3629.66528066,3677.438,3687.189
3564.840634,3562.65164321,3567.89235909,3603.038,3613.548
3509.246332,3507.70788812,3514.14481315,3538.458,3549.75
3463.008374,3461.88495732,3470.06276663,3481.913,3494.541
3432.016005,3430.97342983,3440.31036947,3444.07,3457.36
3409.080746,3408.07252326,3418.56733679,3415.232,3429.006
3421.418485,3420.0702822,3431.23690235,3426.358,3439.954
3445.164333,3443.41439869,3455.14593349,3449.901,3462.942
3499.718289,3497.2993341,3509.52070358,3509.335,3521.675
3559.643998,3556.53439715,3569.1812326,3574.389,3585.908
3581.912534,3578.40703576,3591.26588927,3604.529,3615.074
3605.764156,3601.85927759,3614.83339408,3636.096,3645.61
3601.209612,3597.26334256,3610.5939035,3637.702,3647.068
3571.316236,3567.53981469,3581.32196886,3611.502,3621.446
3532.618012,3529.21489735,3543.56391311,3575.604,3586.748
3494.77,3491.7976782,3506.48124606,3539.973,3552.307
3468.592364,3466.14712764,3480.57783506,3514.123,3527.715
3444.332576,3442.41359246,3456.24112726,3488.57,3503.373
3433.255409,3431.89267743,3444.98884006,3475.282,3491.102
3422.999277,3422.21929412,3434.50741446,3462.433,3479.272
3424.730946,3424.69653902,3436.08525413,3461.429,3478.813
3426.882038,3427.42919685,3437.92338178,3462.487,3479.874
3438.428604,3439.73940792,3449.16527374,3472.283,3489.065
3448.927366,3451.00888658,3459.36558862,3479.866,3496.361
3466.068935,3468.86589773,3476.03399808,3492.654,3508.468
3484.021653,3487.54052518,3493.32682853,3505.428,3520.527
3501.568862,3505.61025913,3509.87704229,3516.653,3530.709
3521.850988,3526.47876471,3528.8117474,3529.563,3542.016
3542.545352,3547.48977009,3548.15897693,3544.462,3555.646
3563.420723,3568.69378431,3567.62781084,3559.418,3569.293
3581.72316,3587.01401115,3584.93844252,3574.283,3583.354
3600.13499,3605.44443906,3602.34603576,3589.211,3597.47
3620.833576,3625.87585313,3622.68612995,3609.311,3617.36
3641.649819,3646.42379815,3643.14022722,3629.51,3637.342
3673.186717,3677.46833064,3674.98275586,3662.921,3670.979
3705.008808,3708.79312649,3707.11996963,3696.632,3704.918
3768.644514,3771.67814148,3771.84631334,3765.111,3774.07
4240.93103,4239.19669742,4243.73861976,4507.183,4521.459
4484.731273,4489.18548058,4496.96444022,4547.406,4561.281
4589.0408,4589.88791003,4596.44526797,4594.881,4608.159
4591.218874,4591.41543445,4597.67928604,4594.825,4607.342
4592.587751,4592.09837639,4599.01412764,4594.97,4606.707
4575.227778,4574.33475586,4581.40408035,4576.126,4586.754
4557.996632,4556.70190465,4563.91326951,4557.367,4566.888
4541.550434,4540.01760208,4546.8748935,4540.131,4548.033
4525.17476,4523.40587274,4529.90941446,4522.96,4529.254
4518.693168,4516.73220185,4522.4572895,4516.729,4520.964
4512.344948,4510.18158093,4515.11855709,4510.727,4512.884
4517.030857,4514.58909881,4518.5531461,4516.949,4517.059
4521.749931,4519.02965936,4522.01673203,4523.177,4521.237
4534.771515,4531.67102807,4533.8679504,4538.412,4535.106
4550.18985,4546.74685236,4548.21069589,4555.709,4551.175
4567.373599,4563.58785121,4564.7000892,4574.952,4570.123
4582.726136,4578.60266974,4579.33731565,4592.365,4587.193
4595.417905,4591.03852403,4591.65000384,4607.292,4602.381
4606.658654,4602.01767974,4602.48740254,4620.829,4616.146
4614.062149,4609.28687313,4609.82144983,4630.172,4626.165
4619.400707,4614.50855825,4615.18490581,4637.327,4634.367
4619.972207,4615.08236025,4616.16032718,4639.042,4637.478
4620.12248,4615.23257862,4616.70461745,4640.357,4640.174
4615.103353,4610.31090273,4612.45839639,4635.751,4637.156
4609.956655,4605.25913341,4608.07605383,4631.026,4634.004
