BILLY-25,MODEL-25
4298.634087,4296.42672011
4299.014552,4296.79595079
4380.203283,4380.43076009
4509.78709,4513.19559746
4690.949047,4696.86155825
4889.512799,4897.85734948
5108.594083,5118.35016186
5325.097651,5336.53872741
5542.566828,5554.47554441
5773.446532,5785.94542407
5955.872937,5967.71580661
6150.083733,6161.5038243
6277.74832,6287.66395694
6395.371038,6403.23362784
6450.248531,6455.70045406
6497.331995,6500.20116186
6506.280169,6506.93734871
6512.071815,6510.6213118
6504.582165,6501.77085467
6497.071265,6492.93838793
6473.852818,6469.30128797
6429.388297,6424.90552211
6370.302614,6366.44168512
6312.366098,6309.10524567
6243.26451,6240.69906459
6175.28228,6173.55807266
6117.3606,6116.02435025
6061.652188,6060.68019839
6028.088116,6027.03671011
6004.628124,6003.45504691
6023.192353,6021.48746059
6053.593922,6051.39025375
6119.046059,6116.11188082
6189.85897,6186.22503076
6217.681338,6213.68409612
6247.662611,6243.28795694
6246.897966,6242.45615225
6218.812868,6214.38870819
6180.880623,6176.65565705
6143.587935,6139.5511534
6118.463829,6114.77204767
6093.668178,6090.31365398
6084.72005,6081.83734064
6076.11461,6073.74833141
6084.163699,6082.55547597
6094.155767,6093.37037024
6117.669627,6117.86123529
6138.909673,6140.05887966
6168.491942,6170.51976086
6198.12679,6201.04907958
6226.231603,6229.82659862
6256.855186,6261.20927912
6287.201934,6292.0144975
6317.487862,6322.77171357
6344.685029,6350.0781857
6372.005636,6377.50838024
6401.779554,6407.06304114
6431.685798,6436.74848251
6473.627386,6478.21976355
6515.939516,6520.05419454
6598.324875,6601.6760792
7333.738808,7329.93284352
7708.384717,7714.78996963
7856.837901,7857.7714506
7860.036909,7860.19699039
7861.627082,7860.9703787
7841.096713,7839.95589043
7820.757197,7819.13552441
7801.225144,7799.31865629
7781.805617,7779.61741292
7773.915394,7771.49962976
7766.165256,7763.51022376
7771.275094,7768.2940619
7776.438631,7773.1312103
7791.309839,7787.55857785
7808.776532,7804.62612649
7828.320654,7823.77146943
7845.597659,7840.65967128
7859.940611,7854.70588658
7872.66659,7867.12721107
7880.97426,7875.27926605
7886.911922,7881.0950396
7887.332526,7881.53385582
7887.29143,7881.50781968
7881.239393,7875.58578893
7875.067101,7869.5400742
7863.53233,7858.23725606
7852.099481,7847.03214148
7837.748631,7833.01191811
7823.157313,7818.75077509
7807.833695,7803.88722222
7792.483852,7788.99555671
7780.59584,7777.67716032
7768.453053,7766.104807
7761.85807,7760.1152376
7755.760404,7754.62056786
7755.458681,7754.83920223
7756.185456,7756.08225067
7760.498043,7760.79978124
7764.828481,7765.53691772
