PO-MODEL-0,PO-UCVM-0
1785.499,1722.957
1785.703,1723.148
1804.1541,1769.869
1872.741,1865.637
1910.444,1929.817
1951.984,1999.273
2032.225,2094.958
2107.377,2187.315
2239.5371,2320.056
2393.4771,2474.8
2558.5259,2632.253
2737.123,2801.141
2915.4641,2964.089
3104.5249,3134.632
3255.9519,3260.638
3411.4041,3384.423
3531.3459,3472.546
3643.385,3553.435
3752.396,3631.987
3863.5969,3711.957
3973.6411,3796.733
4026.4819,3845.394
4068.5811,3891.225
4111.2222,3937.669
4131.771,3963.749
4147.6182,3984.568
4148.5298,3990.23
4162.7002,4008.873
4161.8179,4011.465
4160.083,4013.985
4162.6641,4023.305
4164.8462,4030.415
4178.4199,4049.275
4192.1152,4067.003
4208.5308,4087.793
4226.1138,4109.05
4242.7778,4129.138
4262.2402,4151.885
4270.7729,4163.803
4278.939,4175.431
4271.9482,4172.714
4265.1211,4169.993
4247.6299,4157.915
4230.1758,4145.84
4207.3599,4130.36
4147.7798,4079.071
4091.71,4032.467
4036.249,3986.278
3992.49,3952.17
3949.0879,3918.272
3920.085,3898.036
3892.884,3879.588
3877.2271,3871.68
3861.344,3863.281
3851.678,3859.241
3841.9509,3855.116
3833.9709,3850.545
3825.906,3845.877
3816.917,3838.378
3807.8411,3830.787
3797.7539,3822.943
3786.4641,3814.468
3780.373,3810.464
3796.636,4557.607
4503.3271,4556.62
4507.0918,4560.5
4506.1289,4558.225
4505.4858,4556.066
4504.355,4554.176
4503.1938,4552.243
4504.9058,4553.447
4505.9141,4553.97
4512.0781,4559.948
4518.2222,4565.897
4530.647,4578.187
4543.9941,4591.641
4560.646,4607.469
4575.0581,4621.462
4590.0859,4635.169
4603.978,4647.649
4617.252,4658.356
4628.9189,4667.583
4637.9111,4672.981
4646.6089,4678.049
4650.8398,4677.467
4655.0518,4676.853
4653.1758,4669.453
4651.4019,4662.161
4643.417,4648.382
4635.1748,4634.374
4619.0088,4612.617
4602.7612,4590.815
4578.686,4562.199
4554.4658,4533.491
4526.9072,4503.461
4500.0,4474.115
4476.7432,4450.698
4454.8481,4428.646
4437.7222,4412.688
4420.6719,4401.144
