BILLY-25,UCVM-25,UCVM-GTL-25
5081.57095,5039.08625952,647.063481738
5081.516863,5039.03993003,5039.03993003
5081.712887,5041.34890927,5041.34890927
5188.668047,5152.3367897,5152.3367897
5284.606424,5253.07546098,5253.07546098
5380.692418,5354.0136609,5354.0136609
5461.386947,5439.17062899,5439.17062899
5529.334352,5511.43551288,5511.43551288
5620.76915,5606.16990081,5606.16990081
5716.715163,5704.70477893,5704.70477893
5809.540188,5797.71081084,5797.71081084
5883.851265,5872.33665206,5872.33665206
5946.705125,5934.51719762,5934.51719762
6001.123622,5988.32952018,5988.32952018
6047.332983,6036.40162245,6036.40162245
6089.514344,6084.08700308,6084.08700308
6126.977255,6127.43383199,6127.43383199
6161.563972,6167.10169435,6167.10169435
6195.449412,6205.93402307,6205.93402307
6229.406217,6244.85431642,6244.85431642
6263.386928,6283.5847501,6283.5847501
6285.166228,6304.07680469,6304.07680469
6308.118966,6325.49325875,6325.49325875
6331.233664,6347.05709112,6347.05709112
6355.258478,6369.34198308,6369.34198308
6373.519669,6385.97601807,6385.97601807
6390.737724,6401.63274241,6401.63274241
6425.40396,6434.35723337,6434.35723337
6451.597078,6459.26593041,6459.26593041
6490.873591,6497.34063552,6497.34063552
6539.441499,6545.1953837,6545.1953837
6605.122953,6610.18693579,6610.18693579
6687.747166,6692.15031642,6692.15031642
6785.113303,6788.61638408,6788.61638408
6889.562361,6892.05523299,6892.05523299
7009.539881,7010.66527643,7010.66527643
7146.350927,7145.42424375,7145.42424375
7260.545271,7257.03612572,7257.03612572
7356.041434,7350.19165975,7350.19165975
7451.541419,7443.33146367,7443.33146367
7545.35654,7534.91581776,7534.91581776
7639.216571,7626.54286928,7626.54286928
7731.964245,7717.17865744,7717.17865744
7824.667878,7807.77074394,7807.77074394
7916.625813,7897.70282007,7897.70282007
7912.389554,7893.62234064,7893.62234064
7908.202722,7889.61261515,7889.61261515
7904.019116,7885.60726567,7885.60726567
7900.305905,7882.15624952,7882.15624952
7896.597386,7878.71050135,7878.71050135
7890.851669,7873.43472818,7873.43472818
7885.847616,7868.94217839,7868.94217839
7884.840792,7867.98684391,7867.98684391
7392.074598,7371.30521184,7371.30521184
7440.496682,7418.03046713,7418.03046713
7489.961326,7468.26126874,7468.26126874
7538.648105,7517.52971473,7517.52971473
7587.354121,7566.82699962,7566.82699962
7635.999443,7615.9920669,7615.9920669
7684.633291,7665.14729143,7665.14729143
7733.249623,7714.3006286,7714.3006286
7731.346117,7712.96835755,7712.96835755
7728.79243,7711.12798616,7711.12798616
7726.246317,7709.28604191,7709.28604191
7723.811707,7707.65154364,7707.65154364
7721.310523,7705.94260323,7705.94260323
7718.777305,7704.29357978,7704.29357978
7716.227682,7702.62575625,7702.62575625
7713.403614,7700.74792272,7700.74792272
7710.574406,7698.8638416,7698.8638416
7707.220846,7696.56786044,7696.56786044
7704.055671,7694.40372165,7694.40372165
7700.732972,7692.14000769,7692.14000769
7697.413991,7689.87932949,7689.87932949
7694.224902,7687.77515802,7687.77515802
7690.94391,7685.63333103,7685.63333103
7688.078082,7683.92733103,7683.92733103
7686.665602,7683.96328181,7683.96328181
7684.581399,7682.99500115,7682.99500115
7682.341922,7681.83591888,7681.83591888
7680.493414,7680.94700654,7680.94700654
7681.248958,7682.04931526,7682.04931526
7682.315567,7683.33130719,7683.33130719
7683.328293,7684.54486505,7684.54486505
7684.563068,7685.88762322,7685.88762322
7685.760477,7687.18244175,7687.18244175
7687.106344,7688.54665782,7688.54665782
7688.429946,7689.87852749,7689.87852749
7689.88506,7691.23843445,7691.23843445
7691.322903,7692.57812841,7692.57812841
7692.915625,7693.95578239,7693.95578239
7694.509592,7695.32870665,7695.32870665
7696.372249,7696.86845213,7696.86845213
7698.223975,7698.39828489,7698.39828489
7700.293637,7700.16409419,7700.16409419
7702.369154,7701.93477009,7701.93477009
7704.52674,7703.90391772,7703.90391772
7706.699785,7705.89675317,7705.89675317
7708.986705,7708.08162668,7708.08162668
7711.275775,7710.23156324,7710.23156324
