BILLY-25,UCVM-25,UCVM-GTL-25
2780.525652,2756.72759785,90.3709338716
2780.490903,2756.6992945,2756.6992945
2780.022153,2758.20460515,2758.20460515
2839.5698,2821.61815033,2821.61815033
2889.081142,2875.59332987,2875.59332987
2938.607159,2929.64813418,2929.64813418
2978.955256,2974.02384083,2974.02384083
3011.910138,3010.83156709,3010.83156709
3061.870477,3063.65631257,3063.65631257
3118.685732,3122.59760515,3122.59760515
3182.96875,3186.52687812,3186.52687812
3244.526782,3246.90778162,3246.90778162
3304.917124,3304.78987351,3304.78987351
3356.475048,3354.10663245,3354.10663245
3397.133868,3394.3553614,3394.3553614
3426.136828,3425.73486198,3425.73486198
3447.320065,3449.90989927,3449.90989927
3466.977843,3472.10647059,3472.10647059
3485.937166,3493.57932372,3493.57932372
3504.967882,3515.13267013,3515.13267013
3523.968481,3536.5371311,3536.5371311
3544.120265,3556.01608612,3556.01608612
3565.278181,3576.33260554,3576.33260554
3586.540777,3596.74318724,3596.74318724
3608.636809,3617.83180431,3617.83180431
3625.438143,3633.47984929,3633.47984929
3641.342841,3648.29339177,3648.29339177
3672.601126,3678.80866974,3678.80866974
3693.564206,3699.04549327,3699.04549327
3722.986636,3727.90510304,3727.90510304
3757.202557,3762.03230142,3762.03230142
3801.286786,3806.06268243,3806.06268243
3854.719216,3859.50217801,3859.50217801
3916.543272,3921.1548293,3921.1548293
3981.738458,3986.09904344,3986.09904344
4056.172426,4060.05022222,4060.05022222
4140.740988,4143.69389773,4143.69389773
4211.254671,4212.78143176,4212.78143176
4269.93484,4270.15481853,4270.15481853
4328.603268,4327.49778124,4327.49778124
4385.867809,4383.54709842,4383.54709842
4443.163064,4439.62530104,4439.62530104
4499.560919,4494.90558516,4494.90558516
4555.921077,4550.14817109,4550.14817109
4611.73589,4604.91621415,4604.91621415
4608.615713,4601.5547474,4601.5547474
4605.549431,4598.26439139,4598.26439139
4602.485194,4594.97748481,4594.97748481
4599.846824,4592.19165244,4592.19165244
4597.210884,4589.41321838,4589.41321838
4591.488508,4583.82290465,4583.82290465
4586.209573,4578.70607805,4578.70607805
4588.842595,4580.8107797,4580.8107797
4336.147643,4322.15512495,4322.15512495
4364.21258,4349.45910765,4349.45910765
4392.816705,4378.57667512,4378.57667512
4420.926747,4407.08237562,4407.08237562
4449.048766,4435.60704537,4435.60704537
4477.126394,4464.02146597,4464.02146597
4505.18772,4492.42022261,4492.42022261
4533.25158,4520.8351015,4520.8351015
4531.719792,4519.60684814,4519.60684814
4529.654045,4517.96742368,4517.96742368
4527.594498,4516.32783353,4516.32783353
4525.625698,4514.86203383,4514.86203383
4523.613287,4513.34787159,4513.34787159
4521.567216,4511.88126182,4511.88126182
4519.512395,4510.40401692,4510.40401692
4517.220227,4508.74591503,4508.74591503
4514.924271,4507.08353479,4507.08353479
4512.191407,4505.07735179,4505.07735179
4509.615298,4503.18114494,4503.18114494
4506.892314,4501.18702345,4501.18702345
4504.171557,4499.19462207,4499.19462207
4501.562407,4497.3365494,4497.3365494
4499.046786,4495.64996155,4495.64996155
4496.817339,4494.25952326,4494.25952326
4495.259243,4493.70386198,4493.70386198
4493.524825,4492.74910804,4492.74910804
4491.668812,4491.64340062,4491.64340062
4490.144979,4490.76772895,4490.76772895
4490.412553,4491.26900423,4491.26900423
4490.945548,4491.92425144,4491.92425144
4491.437051,4492.52537947,4492.52537947
4492.115525,4493.2350123,4493.2350123
4492.765625,4493.90731988,4493.90731988
4493.538181,4494.63506767,4494.63506767
4494.295506,4495.33863937,4495.33863937
4495.166217,4496.06762553,4496.06762553
4496.021968,4496.77913649,4496.77913649
4497.015344,4497.52781238,4497.52781238
4498.010438,4498.27338216,4498.27338216
4499.247382,4499.17363552,4499.17363552
4500.474629,4500.06486736,4500.06486736
4501.905898,4501.17513072,4501.17513072
4503.34203,4502.28970319,4502.28970319
4504.864683,4503.58881546,4503.58881546
4506.389958,4504.89855517,4504.89855517
4508.024287,4506.38241484,4506.38241484
4509.659715,4507.93208497,4507.93208497
