BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
5081.57095,5073.71792118,5039.08625952,5155.86,5119.644
5081.516863,5073.66477393,5039.03993003,5155.792,5119.593
5081.712887,5074.57417609,5041.34890927,5151.703,5116.917
5188.668047,5182.50426874,5152.3367897,5250.02,5220.122
5284.606424,5278.50787159,5253.07546098,5338.872,5315.915
5380.692418,5374.67078047,5354.0136609,5427.685,5411.656
5461.386947,5455.27366744,5439.17062899,5501.716,5491.858
5529.334352,5523.09255094,5511.43551288,5563.77,5559.337
5620.76915,5614.7403441,5606.16990081,5646.147,5646.727
5716.715163,5710.85806421,5704.70477893,5730.813,5736.747
5809.540188,5803.86475433,5797.71081084,5810.706,5819.82
5883.851265,5878.21815417,5872.33665206,5869.618,5883.19
5946.705125,5940.99728181,5934.51719762,5918.039,5934.59
6001.123622,5995.48401269,5988.32952018,5960.773,5978.794
6047.332983,6041.78236986,6036.40162245,5999.667,6020.154
6089.514344,6084.13078047,6084.08700308,6038.564,6063.226
6126.977255,6121.85792042,6127.43383199,6075.463,6103.37
6161.563972,6156.73547174,6167.10169435,6109.337,6139.589
6195.449412,6190.88607497,6205.93402307,6143.613,6175.955
6229.406217,6225.11040446,6244.85431642,6177.945,6212.376
6263.386928,6259.35186005,6283.5847501,6213.608,6249.739
6285.166228,6281.47434448,6304.07680469,6237.012,6270.159
6308.118966,6304.7760792,6325.49325875,6263.098,6293.012
6331.233664,6328.24629796,6347.05709112,6289.379,6316.019
6355.258478,6352.62294579,6369.34198308,6317.846,6341.147
6373.519669,6371.35868897,6385.97601807,6339.587,6359.679
6390.737724,6389.03344867,6401.63274241,6360.69,6377.98
6425.40396,6423.80314148,6434.35723337,6402.261,6416.643
6451.597078,6450.28271549,6459.26593041,6433.309,6445.871
6490.873591,6489.85400346,6497.34063552,6478.136,6488.313
6539.441499,6538.66390619,6545.1953837,6532.443,6540.558
6605.122953,6604.58555171,6610.18693579,6604.244,6610.177
6687.747166,6687.35126951,6692.15031642,6693.232,6696.954
6785.113303,6784.87092734,6788.61638408,6797.172,6798.418
6889.562361,6889.34418339,6892.05523299,6907.437,6906.591
7009.539881,7009.3571684,7010.66527643,7033.144,7029.844
7146.350927,7146.10705421,7145.42424375,7174.354,7168.431
7260.545271,7260.24239023,7257.03612572,7291.831,7283.471
7356.041434,7355.61145829,7350.19165975,7389.634,7379.217
7451.541419,7450.97824837,7443.33146367,7487.495,7475.065
7545.35654,7544.65982507,7534.91581776,7582.58,7568.299
7639.216571,7638.37869858,7626.54286928,7677.799,7661.654
7731.964245,7731.01568012,7717.17865744,7771.018,7753.054
7824.667878,7823.60514187,7807.77074394,7864.202,7844.419
7916.625813,7915.47000807,7897.70282007,7956.238,7934.676
7912.389554,7911.08651403,7893.62234064,7951.147,7929.994
7908.202722,7906.78371588,7889.61261515,7945.911,7925.079
7904.019116,7902.48457901,7885.60726567,7940.679,7920.168
7900.305905,7898.69163898,7882.15624952,7935.896,7915.733
7896.597386,7894.90349789,7878.71050135,7931.12,7911.303
7890.851669,7889.1812699,7873.43472818,7924.32,7904.979
7885.847616,7884.17935871,7868.94217839,7918.139,7899.45
7884.840792,7883.02204344,7867.98684391,7915.734,7897.299
7392.074598,7389.21229912,7371.30521184,7405.866,7381.856
7440.496682,7437.61621953,7418.03046713,7454.594,7430.752
7489.961326,7487.05636986,7468.26126874,7503.842,7480.304
7538.648105,7535.72205459,7517.52971473,7552.339,7528.963
7587.354121,7584.40637716,7566.82699962,7600.841,7577.62
7635.999443,7633.04666628,7615.9920669,7649.067,7625.936
7684.633291,7681.67534295,7665.14729143,7697.271,7674.222
7733.249623,7730.32125029,7714.3006286,7745.13,7722.334
7731.346117,7728.45421184,7712.96835755,7742.394,7719.545
7728.79243,7725.98474933,7711.12798616,7738.726,7716.422
7726.246317,7723.52164552,7709.28604191,7735.073,7713.303
7723.811707,7721.19142907,7707.65154364,7731.471,7710.42
7721.310523,7718.79569204,7705.94260323,7727.814,7707.476
7718.777305,7716.37659669,7704.29357978,7724.194,7704.77
7716.227682,7713.94161861,7702.62575625,7720.562,7702.05
7713.403614,7711.23333372,7700.74792272,7716.763,7699.31
7710.574406,7708.52018032,7698.8638416,7712.959,7696.565
7707.220846,7705.28901499,7696.56786044,7708.723,7693.614
7704.055671,7702.23829681,7694.40372165,7704.69,7690.739
7700.732972,7699.0234925,7692.14000769,7700.655,7687.982
7697.413991,7695.81245713,7689.87932949,7696.624,7685.227
7694.224902,7692.72029642,7687.77515802,7692.903,7682.857
7690.94391,7689.61020454,7685.63333103,7688.824,7680.141
7688.078082,7686.89452288,7683.92733103,7685.329,7678.135
7686.665602,7685.61281161,7683.96328181,7683.289,7677.914
7684.581399,7683.64688043,7682.99500115,7680.742,7676.716
7682.341922,7681.51375855,7681.83591888,7678.082,7675.364
7680.493414,7679.75502191,7680.94700654,7675.914,7674.327
