BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
2780.525652,2775.77017609,2756.72759785,2814.022,2798.799
2780.490903,2775.73690158,2756.6992945,2813.973,2798.762
2780.022153,2775.78740523,2758.20460515,2809.456,2795.789
2839.5698,2836.00700308,2821.61815033,2861.412,2852.219
2889.081142,2885.4286832,2875.59332987,2904.861,2901.948
2938.607159,2934.87673779,2929.64813418,2948.176,2951.574
2978.955256,2974.97638716,2974.02384083,2982.508,2991.906
3011.910138,3007.65704075,3010.83156709,3009.705,3024.846
3061.870477,3057.59719185,3063.65631257,3052.18,3071.996
3118.685732,3114.40642407,3122.59760515,3100.601,3124.78
3182.96875,3178.76721415,3186.52687812,3156.414,3182.35
3244.526782,3240.36801845,3246.90778162,3209.177,3236.528
3304.917124,3300.83937216,3304.78987351,3262.36,3289.066
3356.475048,3352.50836178,3354.10663245,3308.176,3333.552
3397.133868,3393.25971126,3394.3553614,3345.989,3370.72
3426.136828,3422.29585006,3425.73486198,3374.665,3400.198
3447.320065,3443.55241792,3449.90989927,3396.707,3422.923
3466.977843,3463.30459631,3472.10647059,3416.805,3443.326
3485.937166,3482.3635098,3493.57932372,3437.071,3463.736
3504.967882,3501.49517339,3515.13267013,3457.396,3484.197
3523.968481,3520.61166013,3536.5371311,3478.812,3505.481
3544.120265,3541.02599346,3556.01608612,3500.506,3524.949
3565.278181,3562.47295886,3576.33260554,3524.479,3546.534
3586.540777,3584.02866052,3596.74318724,3548.577,3568.214
3608.636809,3606.42900384,3617.83180431,3574.6,3591.764
3625.438143,3623.67150327,3633.47984929,3594.36,3608.866
3641.342841,3640.00217109,3648.29339177,3613.589,3625.774
3672.601126,3671.28893502,3678.80866974,3651.074,3661.743
3693.564206,3692.49706844,3699.04549327,3676.24,3685.703
3722.986636,3722.17569627,3727.90510304,3710.46,3718.291
3757.202557,3756.60350211,3762.03230142,3749.614,3756.112
3801.286786,3800.90051019,3806.06268243,3798.937,3804.015
3854.719216,3854.45630757,3859.50217801,3857.789,3861.498
3916.543272,3916.41190158,3921.1548293,3925.241,3927.38
3981.738458,3981.62709881,3986.09904344,3995.507,3996.396
4056.172426,4056.09009996,4060.05022222,4075.007,4074.321
4140.740988,4140.60734564,4143.69389773,4163.66,4161.167
4211.254671,4211.05956017,4212.78143176,4237.371,4233.27
4269.93484,4269.62116609,4270.15481853,4298.34,4293.026
4328.603268,4328.16573241,4327.49778124,4359.362,4352.878
4385.867809,4385.30765975,4383.54709842,4418.059,4410.539
4443.163064,4442.47345944,4439.62530104,4476.863,4468.297
4499.560919,4498.77030296,4494.90558516,4534.012,4524.43
4555.921077,4555.0256509,4550.14817109,4591.135,4580.536
4611.73589,4610.76334487,4604.91621415,4647.331,4635.731
4608.615713,4607.52217455,4601.5547474,4643.446,4631.922
4605.549431,4604.36414571,4598.26439139,4639.432,4627.898
4602.485194,4601.20892926,4594.97748481,4635.42,4623.879
4599.846824,4598.50986774,4592.19165244,4631.818,4620.29
4597.210884,4595.81580738,4589.41321838,4628.219,4616.704
4591.488508,4590.15485736,4583.82290465,4621.392,4610.125
4586.209573,4584.92516955,4578.70607805,4614.908,4604.023
4588.842595,4587.37724837,4580.8107797,4616.536,4605.339
4336.147643,4334.01025413,4322.15512495,4350.257,4334.023
4364.21258,4362.05154671,4349.45910765,4378.502,4362.344
4392.816705,4390.62797193,4378.57667512,4406.999,4391.0
4420.926747,4418.71055825,4407.08237562,4434.965,4418.988
4449.048766,4446.80478201,4435.60704537,4462.936,4446.98
4477.126394,4474.86673972,4464.02146597,4490.678,4474.681
4505.18772,4502.91266551,4492.42022261,4518.397,4502.354
4533.25158,4530.9902253,4520.8351015,4545.842,4529.894
4531.719792,4529.47282545,4519.60684814,4543.61,4527.438
4529.654045,4527.46322261,4517.96742368,4540.61,4524.724
4527.594498,4525.45911265,4516.32783353,4537.625,4522.013
4525.625698,4523.56518916,4514.86203383,4534.671,4519.495
4523.613287,4521.62888428,4513.34787159,4531.682,4516.936
4521.567216,4519.66774471,4511.88126182,4528.715,4514.573
4519.512395,4517.69799769,4510.40401692,4525.743,4512.203
4517.220227,4515.49342484,4508.74591503,4522.618,4509.807
4514.924271,4513.28527067,4507.08353479,4519.489,4507.407
4512.191407,4510.64644368,4505.07735179,4515.998,4504.833
4509.615298,4508.15780777,4503.18114494,4512.676,4502.323
4506.892314,4505.51723068,4501.18702345,4509.335,4499.894
4504.171557,4502.87894118,4499.19462207,4505.997,4497.466
4501.562407,4500.34313533,4497.3365494,4502.919,4495.363
4499.046786,4497.9584133,4495.64996155,4499.719,4493.195
4496.817339,4495.8432426,4494.25952326,4496.94,4491.549
4495.259243,4494.39532757,4493.70386198,4494.786,4490.681
4493.524825,4492.75243368,4492.74910804,4492.625,4489.498
4491.668812,4490.97816109,4491.64340062,4490.379,4488.197
4490.144979,4489.52146905,4490.76772895,4488.551,4487.165
4490.412553,4489.82865244,4491.26900423,4488.709,4487.609
4490.945548,4490.38748328,4491.92425144,4489.213,4488.199
4491.437051,4490.9002895,4492.52537947,4489.691,4488.75
4492.115525,4491.58931795,4493.2350123,4490.428,4489.395
4492.765625,4492.24660707,4493.90731988,4491.148,4490.014
4493.538181,4493.01634102,4494.63506767,4492.051,4490.666
4494.295506,4493.76739331,4495.33863937,4492.95,4491.306
4495.166217,4494.62409881,4496.06762553,4494.03,4491.95
4496.021968,4495.46513149,4496.77913649,4495.094,4492.577
4497.015344,4496.44859746,4497.52781238,4496.316,4493.192
4498.010438,4497.43236409,4498.27338216,4497.55,4493.814
4499.247382,4498.67027028,4499.17363552,4499.05,4494.609
4500.474629,4499.89945752,4500.06486736,4500.535,4495.391
4501.905898,4501.3438712,4501.17513072,4502.232,4496.518
4503.34203,4502.79327028,4502.28970319,4503.934,4497.648
4504.864683,4504.32721915,4503.58881546,4505.775,4499.167
4506.389958,4505.87120031,4504.89855517,4507.583,4500.658
4508.024287,4507.50482391,4506.38241484,4509.689,4502.578
4509.659715,4509.13964398,4507.93208497,4511.796,4504.505
