BILLY-25,MODEL-25
5081.57095,5073.71792118
5081.516863,5073.66477393
5081.712887,5074.57417609
5188.668047,5182.50426874
5284.606424,5278.50787159
5380.692418,5374.67078047
5461.386947,5455.27366744
5529.334352,5523.09255094
5620.76915,5614.7403441
5716.715163,5710.85806421
5809.540188,5803.86475433
5883.851265,5878.21815417
5946.705125,5940.99728181
6001.123622,5995.48401269
6047.332983,6041.78236986
6089.514344,6084.13078047
6126.977255,6121.85792042
6161.563972,6156.73547174
6195.449412,6190.88607497
6229.406217,6225.11040446
6263.386928,6259.35186005
6285.166228,6281.47434448
6308.118966,6304.7760792
6331.233664,6328.24629796
6355.258478,6352.62294579
6373.519669,6371.35868897
6390.737724,6389.03344867
6425.40396,6423.80314148
6451.597078,6450.28271549
6490.873591,6489.85400346
6539.441499,6538.66390619
6605.122953,6604.58555171
6687.747166,6687.35126951
6785.113303,6784.87092734
6889.562361,6889.34418339
7009.539881,7009.3571684
7146.350927,7146.10705421
7260.545271,7260.24239023
7356.041434,7355.61145829
7451.541419,7450.97824837
7545.35654,7544.65982507
7639.216571,7638.37869858
7731.964245,7731.01568012
7824.667878,7823.60514187
7916.625813,7915.47000807
7912.389554,7911.08651403
7908.202722,7906.78371588
7904.019116,7902.48457901
7900.305905,7898.69163898
7896.597386,7894.90349789
7890.851669,7889.1812699
7885.847616,7884.17935871
7884.840792,7883.02204344
7392.074598,7389.21229912
7440.496682,7437.61621953
7489.961326,7487.05636986
7538.648105,7535.72205459
7587.354121,7584.40637716
7635.999443,7633.04666628
7684.633291,7681.67534295
7733.249623,7730.32125029
7731.346117,7728.45421184
7728.79243,7725.98474933
7726.246317,7723.52164552
7723.811707,7721.19142907
7721.310523,7718.79569204
7718.777305,7716.37659669
7716.227682,7713.94161861
7713.403614,7711.23333372
7710.574406,7708.52018032
7707.220846,7705.28901499
7704.055671,7702.23829681
7700.732972,7699.0234925
7697.413991,7695.81245713
7694.224902,7692.72029642
7690.94391,7689.61020454
7688.078082,7686.89452288
7686.665602,7685.61281161
7684.581399,7683.64688043
7682.341922,7681.51375855
7680.493414,7679.75502191
7681.248958,7680.5576436
7682.315567,7681.65483237
7683.328293,7682.6932722
7684.563068,7683.94127105
7685.760477,7685.14787428
7687.106344,7686.4916682
7688.429946,7687.80957017
7689.88506,7689.25015994
7691.322903,7690.67271396
7692.915625,7692.25698539
7694.509592,7693.84057132
7696.372249,7695.70805882
7698.223975,7697.56605421
7700.293637,7699.65598616
7702.369154,7701.75186351
7704.52674,7703.9279704
7706.699785,7706.12816532
7708.986705,7708.41919493
7711.275775,7710.71245483
