PO-MODEL-0,PO-UCVM-0
5500.7861,5500.854
5500.8809,5500.943
5500.7939,5500.875
5563.1948,5563.294
5625.501,5625.627
5687.7778,5687.932
5740.832,5741.021
5786.2642,5786.493
5844.2461,5844.499
5910.6948,5910.97
5980.7861,5981.08
6052.8481,6053.161
6121.2168,6121.55
6178.9268,6179.278
6227.1968,6227.56
6267.103,6267.47
6296.3608,6296.725
6321.2788,6321.644
6346.2368,6346.581
6371.1968,6371.519
6396.2192,6396.503
6400.7749,6401.02
6405.374,6405.588
6409.9751,6410.157
6414.5859,6414.758
6420.2749,6420.318
6425.9751,6425.903
6428.6421,6428.811
6438.375,6438.56
6455.7041,6455.898
6479.939,6480.128
6512.71,6512.895
6552.103,6552.275
6594.0342,6594.195
6633.332,6633.493
6673.2158,6673.374
6705.9341,6706.091
6717.0132,6717.167
6721.5161,6721.666
6726.021,6726.167
6730.5688,6730.708
6735.1182,6735.249
6739.6899,6739.814
6744.2622,6744.377
6748.8159,6748.931
6751.6182,6751.73
6754.397,6754.511
6757.1748,6757.291
6759.9658,6760.087
6762.7568,6762.884
6763.9639,6764.301
6767.4878,6767.736
7398.8062,7398.949
7448.939,7449.064
7498.9028,7499.028
7548.8618,7548.991
7598.7432,7598.886
7648.6221,7648.779
7698.4961,7698.661
7748.3618,7748.537
7798.2539,7798.427
7801.1289,7801.286
7804.0752,7804.215
7807.02,7807.143
7809.998,7810.104
7812.9868,7813.068
7815.9878,7816.051
7818.9961,7819.037
7821.9829,7822.011
7824.9731,7824.988
7827.9839,7827.988
7830.9829,7830.976
7834.002,7833.983
7837.021,7836.99
7840.0562,7840.015
7840.917,7841.136
7842.4048,7842.826
7849.5308,7849.426
7852.6538,7852.534
7855.7471,7855.616
7858.8149,7858.679
7861.875,7861.733
7864.9009,7864.762
7867.916,7867.78
7870.9111,7870.787
7873.896,7873.784
7876.8921,7876.792
7879.8828,7879.799
7882.9048,7882.83
7885.9268,7885.861
7888.9639,7888.901
7892.001,7891.942
7895.021,7894.962
7898.042,7897.983
7901.0361,7900.975
7904.0288,7903.967
7907.0098,7906.944
7909.999,7909.929
7912.9761,7912.904
7915.9561,7915.89
