PO-MODEL-0,PO-UCVM-0
3174.366,3174.295
3174.428,3174.352
3174.3491,3174.288
3210.9131,3210.875
3247.3899,3247.383
3283.845,3283.871
3314.853,3314.929
3341.3889,3341.526
3375.103,3375.27
3413.249,3413.435
3452.8191,3453.021
3492.9141,3493.129
3530.9719,3531.202
3563.877,3564.13
3592.885,3593.163
3619.1621,3619.487
3639.7971,3640.182
3657.51,3657.957
3675.26,3675.748
3693.009,3693.539
3710.813,3711.367
3712.5339,3713.035
3714.2959,3714.747
3716.0559,3716.46
3717.8291,3718.201
3715.8931,3716.667
3713.967,3715.155
3723.4121,3723.694
3728.2991,3728.537
3737.2571,3737.482
3750.021,3750.231
3767.6001,3767.798
3788.949,3789.13
3811.8501,3812.013
3833.406,3833.562
3855.3879,3855.539
3873.55,3873.696
3879.8721,3880.013
3882.53,3882.67
3885.2219,3885.359
3887.949,3888.08
3890.677,3890.802
3893.426,3893.544
3896.175,3896.286
3898.906,3899.017
3900.583,3900.694
3902.248,3902.361
3903.9141,3904.028
3905.5891,3905.708
3907.2639,3907.388
3908.5449,3908.728
3910.366,3910.533
4271.2661,4271.404
4300.2578,4300.378
4329.0869,4329.211
4357.9199,4358.047
4386.6841,4386.822
4415.4448,4415.596
4444.2021,4444.361
4472.9541,4473.121
4501.729,4501.894
4503.3511,4503.501
4505.0352,4505.171
4506.7178,4506.84
4508.4331,4508.539
4510.1499,4510.236
4511.8828,4511.952
4513.6172,4513.668
4515.3379,4515.379
4517.0591,4517.088
4518.8008,4518.821
4520.5322,4520.541
4522.2788,4522.279
4524.0259,4524.016
4525.7871,4525.768
4526.3271,4526.45
4527.2378,4527.472
4531.4268,4531.348
4533.2739,4533.18
4535.0942,4534.989
4536.8911,4536.78
4538.6802,4538.563
4540.439,4540.324
4542.187,4542.074
4543.917,4543.814
4545.6401,4545.546
4547.3711,4547.288
4549.0972,4549.026
4550.8511,4550.787
4552.6021,4552.547
4554.3691,4554.316
4556.1338,4556.084
4557.8838,4557.834
4559.6338,4559.583
4561.3608,4561.309
4563.0869,4563.034
4564.8018,4564.745
4566.5249,4566.465
4568.2378,4568.176
4569.9531,4569.895
