BILLY-25,UCVM-25,UCVM-GTL-25
4847.423522,4840.82523414,844.695903114
4847.441157,4840.8450915,4840.8450915
4998.111023,4991.36705267,4991.36705267
5217.292276,5210.27588274,5210.27588274
5375.515163,5368.12464014,5368.12464014
5538.925825,5531.20654402,5531.20654402
5640.439093,5632.48952364,5632.48952364
5737.635275,5729.50260784,5729.50260784
5815.690788,5807.70124606,5807.70124606
5900.648247,5892.9824083,5892.9824083
5956.081196,5949.58867205,5949.58867205
6006.266836,6001.19556901,6001.19556901
6024.978635,6021.36532372,6021.36532372
6039.687113,6037.38818032,6037.38818032
6035.001742,6033.47841792,6033.47841792
6025.533629,6024.46377432,6024.46377432
6019.503014,6018.51329873,6018.51329873
6010.357263,6009.44044714,6009.44044714
6022.415794,6021.6064083,6021.6064083
6034.619254,6033.91276624,6033.91276624
6061.741161,6061.33396309,6061.33396309
6066.319181,6066.24436678,6066.24436678
6080.096467,6080.40668743,6080.40668743
6094.045644,6094.75676547,6094.75676547
6111.335206,6112.34020569,6112.34020569
6129.116582,6130.41662322,6130.41662322
6152.659208,6154.11939985,6154.11939985
6178.415752,6180.08636524,6180.08636524
6216.834421,6218.57667282,6218.57667282
6265.010319,6266.85418839,6266.85418839
6332.964198,6334.81218762,6334.81218762
6414.708681,6416.59032411,6416.59032411
6526.830854,6528.64791119,6528.64791119
6651.299258,6653.01531834,6653.01531834
6716.204164,6717.62266474,6717.62266474
6784.383741,6785.48756671,6785.48756671
6820.059954,6820.7377228,6820.7377228
6828.223864,6828.3775025,6828.3775025
6815.995252,6815.60074279,6815.60074279
6803.793456,6802.85536255,6802.85536255
6791.505925,6790.06656671,6790.06656671
6779.326578,6777.38335179,6777.38335179
6771.030338,6768.65014341,6768.65014341
6762.733353,6759.91829988,6759.91829988
6758.091499,6754.91250365,6754.91250365
6741.951745,6738.58078124,6738.58078124
6730.085183,6726.5990719,6726.5990719
6718.302664,6714.7031807,6714.7031807
6711.292057,6707.66527336,6707.66527336
6704.32579,6700.6730519,6700.6730519
6698.376744,6694.79187659,6694.79187659
6692.630031,6689.14514418,6689.14514418
6689.840185,6686.47113956,6686.47113956
6687.217147,6683.96218339,6683.96218339
6687.619243,6684.51583929,6684.51583929
6688.040388,6685.08932718,6685.08932718
6692.075517,6689.3388143,6689.3388143
6696.108074,6693.58069935,6693.58069935
6707.032933,6704.83508766,6704.83508766
6743.488108,6749.65723875,6749.65723875
7024.23594,7042.02109073,7042.02109073
7693.936182,7684.19273702,7684.19273702
7764.385144,7765.06706767,7765.06706767
7768.353998,7769.41335909,7769.41335909
7760.65278,7762.03452557,7762.03452557
7752.982253,7754.68610188,7754.68610188
7744.10366,7746.11400807,7746.11400807
7735.265398,7737.58125336,7737.58125336
7729.318524,7731.91464821,7731.91464821
7723.406094,7726.28187851,7726.28187851
7721.324975,7724.43616225,7724.43616225
7719.404867,7722.76369319,7722.76369319
7721.098116,7724.66924221,7724.66924221
7722.825844,7726.61062937,7726.61062937
7728.455421,7732.38842407,7732.38842407
7730.701423,7734.79649673,7734.79649673
7735.371207,7739.51767051,7739.51767051
7736.867566,7741.09404037,7741.09404037
7742.137978,7746.34382353,7746.34382353
7747.132941,7751.32002153,7751.32002153
7754.534837,7758.63387043,7758.63387043
7761.297017,7765.19670242,7765.19670242
7769.328212,7772.9901807,7772.9901807
7777.460281,7780.88364321,7780.88364321
7785.131111,7788.29933333,7788.29933333
7793.09634,7796.00799692,7796.00799692
7798.876082,7801.54320108,7801.54320108
7805.086644,7807.50722607,7807.50722607
7809.037124,7811.22494848,7811.22494848
7812.806894,7814.76242445,7814.76242445
7813.722587,7815.44086928,7815.44086928
7814.690638,7816.1714456,7816.1714456
7813.782011,7815.00614341,7815.00614341
7812.60456,7813.5747524,7813.5747524
7809.696547,7810.4193218,7810.4193218
7807.367928,7807.84349827,7807.84349827
7804.239493,7804.50207113,7804.50207113
7801.982103,7802.03887966,7802.03887966
7800.1592,7800.026005,7800.026005
7798.343656,7797.79599846,7797.79599846
