BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
4847.423522,4841.74924068,4840.82523414,4963.031,4967.235
4847.441157,4841.76698577,4840.8450915,4963.027,4967.231
4998.111023,4992.48032065,4991.36705267,5130.134,5132.662
5217.292276,5211.48494848,5210.27588274,5373.064,5373.593
5375.515163,5369.5131511,5368.12464014,5542.79,5541.66
5538.925825,5532.7726659,5531.20654402,5717.889,5715.018
5640.439093,5634.44664245,5632.48952364,5814.61,5810.199
5737.635275,5731.84289004,5729.50260784,5906.895,5901.011
5815.690788,5810.39498693,5807.70124606,5974.734,5967.666
5900.648247,5895.90944752,5892.9824083,6050.154,6042.165
5956.081196,5952.25800807,5949.58867205,6094.746,6087.096
6006.266836,6003.52926182,6001.19556901,6132.539,6125.818
6024.978635,6023.06117878,6021.36532372,6139.349,6134.371
6039.687113,6038.52708458,6037.38818032,6141.312,6137.803
6035.001742,6034.23955902,6033.47841792,6124.697,6122.409
6025.533629,6025.17302499,6024.46377432,6101.292,6099.471
6019.503014,6019.26865744,6018.51329873,6081.749,6080.135
6010.357263,6010.23722914,6009.44044714,6059.525,6058.158
6022.415794,6022.31713918,6021.6064083,6059.709,6058.619
6034.619254,6034.54228297,6033.91276624,6060.164,6059.338
6061.741161,6061.8072426,6061.33396309,6075.993,6075.304
6066.319181,6066.47380315,6066.24436678,6074.007,6073.786
6080.096467,6080.48132795,6080.40668743,6083.252,6083.263
6094.045644,6094.66625682,6094.75676547,6092.404,6092.649
6111.335206,6112.26810611,6112.34020569,6108.964,6109.207
6129.116582,6130.36877355,6130.41662322,6126.282,6126.528
6152.659208,6154.21306805,6154.11939985,6153.154,6153.246
6178.415752,6180.254604,6180.08636524,6180.964,6180.88
6216.834421,6218.81203806,6218.57667282,6224.389,6224.034
6265.010319,6267.09922568,6266.85418839,6277.997,6277.524
6332.964198,6334.90359131,6334.81218762,6352.126,6351.75
6414.708681,6416.43388697,6416.59032411,6439.871,6439.749
6526.830854,6528.03104075,6528.64791119,6556.672,6556.933
6651.299258,6651.85565052,6653.01531834,6686.635,6687.38
6716.204164,6716.29137985,6717.62266474,6755.292,6756.118
6784.383741,6783.96532334,6785.48756671,6827.299,6828.257
6820.059954,6819.22322299,6820.7377228,6865.389,6866.302
6828.223864,6827.05400692,6828.3775025,6876.171,6876.635
6815.995252,6814.61031642,6815.60074279,6864.532,6864.374
6803.793456,6802.19138062,6802.85536255,6852.847,6852.078
6791.505925,6789.72093849,6790.06656671,6838.891,6837.597
6779.326578,6777.35270819,6777.38335179,6825.07,6823.251
6771.030338,6768.90407536,6768.65014341,6812.734,6810.498
