BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
2861.171257,2857.6401411,2856.80702268,2976.977,2978.383
2861.200707,2857.66937101,2856.83775279,2976.986,2978.392
2947.42852,2943.8622153,2943.13153556,3073.896,3074.33
3107.902038,3103.75501,3103.07496501,3251.584,3251.255
3200.438643,3195.75036755,3194.87311765,3352.121,3351.122
3295.269377,3290.04332411,3288.96397732,3455.006,3453.28
3332.720181,3327.35193349,3325.83686928,3486.872,3484.401
3361.203756,3355.76609227,3353.84673203,3508.711,3505.405
3392.685959,3387.36333103,3384.97325067,3531.281,3527.331
3425.959289,3420.88558708,3418.05677893,3555.346,3550.891
3445.003664,3440.70503268,3437.72673779,3562.857,3558.558
3451.646205,3448.37850135,3445.33494925,3555.285,3551.27
3434.504702,3432.29520607,3429.41009573,3521.534,3518.139
3405.715544,3404.62711842,3401.90448597,3472.97,3469.89
3369.654072,3369.21724875,3366.70137601,3415.969,3413.023
3326.915163,3326.96345944,3324.59195156,3347.746,3344.322
3301.2991,3301.45074202,3299.31321722,3297.997,3294.046
3276.347374,3276.56968781,3274.65322607,3250.891,3246.532
3274.455456,3274.66649596,3273.1627301,3227.835,3223.174
3272.652484,3272.85150019,3271.76071819,3204.867,3199.901
3286.11534,3286.39312918,3285.81746251,3198.479,3193.171
3295.597455,3295.86469012,3295.75782161,3208.499,3204.189
3313.307032,3313.69004268,3313.96380469,3229.07,3225.56
3331.197478,3331.69865052,3332.36040792,3249.76,3247.059
3351.091603,3351.78336524,3352.64900807,3276.13,3273.996
3362.313687,3363.23923875,3364.24116955,3293.453,3291.841
3378.335502,3379.48176163,3380.50220454,3319.015,3317.761
3421.621053,3422.86581738,3424.10341907,3371.98,3371.317
3458.612426,3459.88151096,3461.18397116,3419.884,3419.677
3502.50163,3503.73805729,3505.18102614,3475.546,3475.747
3560.403872,3561.3687474,3563.06281007,3546.037,3546.694
3629.950638,3630.56384506,3632.56289812,3627.867,3629.064
3723.939089,3723.94736563,3726.36163053,3732.497,3734.23
3828.510707,3827.84470511,3830.69833602,3847.341,3849.609
3881.506697,3880.32709381,3883.29905998,3908.086,3910.514
3937.696267,3936.00692657,3939.07290657,3971.483,3974.037
3966.147151,3964.11946367,3967.05202422,4004.601,4007.011
3972.883529,3970.72781123,3973.3282103,4013.87,4015.704
3962.038966,3959.87665013,3962.03771319,4003.193,4004.325
3951.21722,3949.049213,3950.7733491,3992.469,3992.901
3940.274452,3938.13235448,3939.41864245,3979.715,3979.516
3929.423829,3927.30449135,3928.15328566,3967.068,3966.231
3921.870511,3919.81177701,3920.24567628,3955.633,3954.247
3914.322484,3912.3233787,3912.34463822,3944.205,3942.274
3909.866344,3907.97605421,3907.59704652,3934.409,3932.002
3895.296378,3893.45387697,3892.847406,3915.726,3913.179
3884.18511,3882.43362284,3881.61932103,3900.134,3897.492
3873.122776,3871.46176009,3870.44111765,3884.585,3881.85
3866.085283,3864.54879316,3863.36220146,3873.224,3870.463
3859.071161,3857.65892695,3856.30736794,3861.894,3859.109
3852.80722,3851.54074817,3850.08447789,3852.256,3849.541
3846.800296,3845.70403268,3844.14504998,3842.915,3840.262
3843.535148,3842.57544291,3840.95854133,3836.93,3834.384
3840.278597,3839.46367628,3837.78156401,3830.86,3828.405
3839.732345,3839.04506997,3837.34926528,3828.123,3825.787
3839.197143,3838.63735025,3836.92853556,3825.392,3823.172
3841.937797,3841.49806305,3839.83156363,3825.789,3823.711
3844.675379,3844.35209919,3842.7274975,3826.189,3824.252
3853.30366,3853.1068812,3851.61242215,3831.59,3829.88
3877.933852,3882.29829988,3881.58147443,3836.71,3835.226
4058.016167,4068.91019454,4068.92955171,3850.923,3849.487
4484.240119,4484.38920377,4477.74466513,4499.222,4499.361
4529.970031,4530.15933718,4530.1317674,4499.252,4499.636
4533.353464,4533.57269396,4533.80445598,4499.779,4500.418
4526.978155,4527.35672165,4527.68286198,4493.704,4494.388
4520.624667,4521.162411,4521.58308074,4487.643,4488.37
4513.147624,4513.85972088,4514.34881469,4481.562,4482.321
4505.698804,4506.58540869,4507.1427351,4475.495,4476.287
4500.719408,4501.75691888,4502.38457632,4472.549,4473.419
4495.763099,4496.9513118,4497.64914571,4469.61,4470.557
4494.106044,4495.39742368,4496.17380546,4470.598,4471.686
4492.576382,4493.9736955,4494.83746982,4471.665,4472.907
4494.155383,4495.61379008,4496.58004344,4476.371,4477.821
4495.753933,4497.27357363,4498.34312803,4481.082,4482.74
4500.707851,4502.22839408,4503.40529335,4489.854,4491.732
4503.134498,4504.72933679,4505.95164283,4495.356,4497.377
4507.65935,4509.25942637,4510.50041792,4503.323,4505.419
4509.504706,4511.14291119,4512.39530527,4508.325,4510.504
4514.461415,4516.05128643,4517.31521799,4516.494,4518.746
4519.089596,4520.61952057,4521.9082995,4524.475,4526.811
4525.7313,4527.15220185,4528.4555248,4533.935,4536.331
4531.795486,4533.09632103,4534.37081276,4542.214,4544.625
4538.913852,4540.07725644,4541.30764168,4550.758,4553.15
4546.078985,4547.09895002,4548.29039869,4559.415,4561.793
4552.848247,4553.73448404,4554.86357709,4566.711,4569.031
4559.836017,4560.58327912,4561.65398155,4574.271,4576.539
4564.976182,4565.6127474,4566.60757093,4578.85,4581.027
4570.456732,4570.97695579,4571.8996559,4583.814,4585.905
4574.010807,4574.44788735,4575.27727374,4585.896,4587.841
4577.402176,4577.7559331,4578.49252326,4587.822,4589.622
4578.359012,4578.67308727,4579.26908035,4586.77,4588.323
4579.352618,4579.62512303,4580.08208535,4585.782,4587.091
4578.725302,4578.99468281,4579.25737832,4583.238,4584.196
4577.869958,4578.13840369,4578.20709881,4580.459,4581.066
4575.513422,4575.81480046,4575.66060746,4576.797,4576.991
4573.644494,4573.97568973,4573.60193349,4573.63,4573.416
4571.051649,4571.42446444,4570.84816993,4570.585,4569.997
4569.242622,4569.6572895,4568.88454133,4568.294,4567.34
4567.740577,4568.18287159,4567.24127067,4567.005,4565.769
4566.245433,4566.71517263,4565.6105298,4565.718,4563.558
