BILLY-25,MODEL-25
4847.423522,4841.74924068
4847.441157,4841.76698577
4998.111023,4992.48032065
5217.292276,5211.48494848
5375.515163,5369.5131511
5538.925825,5532.7726659
5640.439093,5634.44664245
5737.635275,5731.84289004
5815.690788,5810.39498693
5900.648247,5895.90944752
5956.081196,5952.25800807
6006.266836,6003.52926182
6024.978635,6023.06117878
6039.687113,6038.52708458
6035.001742,6034.23955902
6025.533629,6025.17302499
6019.503014,6019.26865744
6010.357263,6010.23722914
6022.415794,6022.31713918
6034.619254,6034.54228297
6061.741161,6061.8072426
6066.319181,6066.47380315
6080.096467,6080.48132795
6094.045644,6094.66625682
6111.335206,6112.26810611
6129.116582,6130.36877355
6152.659208,6154.21306805
6178.415752,6180.254604
6216.834421,6218.81203806
6265.010319,6267.09922568
6332.964198,6334.90359131
6414.708681,6416.43388697
6526.830854,6528.03104075
6651.299258,6651.85565052
6716.204164,6716.29137985
6784.383741,6783.96532334
6820.059954,6819.22322299
6828.223864,6827.05400692
6815.995252,6814.61031642
6803.793456,6802.19138062
6791.505925,6789.72093849
6779.326578,6777.35270819
6771.030338,6768.90407536
6762.733353,6760.45201538
6758.091499,6755.70682737
6741.951745,6739.63162053
6730.085183,6727.87743329
6718.302664,6716.20663706
6711.292057,6709.34554364
6704.32579,6702.52826182
6698.376744,6696.75380507
6692.630031,6691.20801307
6689.840185,6688.58245867
6687.217147,6686.13161284
6687.619243,6686.68486198
6688.040388,6687.25691926
6692.075517,6691.43853441
6696.108074,6695.6130496
6707.032933,6706.69390542
6743.488108,6750.31881738
7024.23594,7041.45640869
7693.936182,7694.02520723
7764.385144,7764.52075779
7768.353998,7768.523604
7760.65278,7761.01334218
7752.982253,7753.53352672
7744.10366,7744.86342522
7735.265398,7736.23321953
7729.318524,7730.46785121
7723.406094,7724.73648789
7721.324975,7722.78229027
7719.404867,7720.99172818
7721.098116,7722.76227413
7722.825844,7724.56744521
7728.455421,7730.20398539
7730.701423,7732.54513033
7735.371207,7737.23001845
7736.867566,7738.77894502
7742.137978,7744.00009227
7747.132941,7748.93134871
7754.534837,7756.21178585
7761.297017,7762.8364752
7769.328212,7770.7095271
7777.460281,7778.676198
7785.131111,7786.19272434
7793.09634,7793.99736063
7798.876082,7799.64923414
7805.086644,7805.72541369
7809.037124,7809.57987543
7812.806894,7813.25349135
7813.722587,7814.12370973
7814.690638,7815.04413572
7813.782011,7814.13281738
7812.60456,7812.95502768
7809.696547,7810.08619877
7807.367928,7807.79292887
7804.239493,7804.71321146
7801.982103,7802.50489196
7800.1592,7800.71397116
7798.343656,7798.93039023
