BILLY-25,UCVM-25
2861.171257,2856.80702268
2861.200707,2856.83775279
2947.42852,2943.13153556
3107.902038,3103.07496501
3200.438643,3194.87311765
3295.269377,3288.96397732
3332.720181,3325.83686928
3361.203756,3353.84673203
3392.685959,3384.97325067
3425.959289,3418.05677893
3445.003664,3437.72673779
3451.646205,3445.33494925
3434.504702,3429.41009573
3405.715544,3401.90448597
3369.654072,3366.70137601
3326.915163,3324.59195156
3301.2991,3299.31321722
3276.347374,3274.65322607
3274.455456,3273.1627301
3272.652484,3271.76071819
3286.11534,3285.81746251
3295.597455,3295.75782161
3313.307032,3313.96380469
3331.197478,3332.36040792
3351.091603,3352.64900807
3362.313687,3364.24116955
3378.335502,3380.50220454
3421.621053,3424.10341907
3458.612426,3461.18397116
3502.50163,3505.18102614
3560.403872,3563.06281007
3629.950638,3632.56289812
3723.939089,3726.36163053
3828.510707,3830.69833602
3881.506697,3883.29905998
3937.696267,3939.07290657
3966.147151,3967.05202422
3972.883529,3973.3282103
3962.038966,3962.03771319
3951.21722,3950.7733491
3940.274452,3939.41864245
3929.423829,3928.15328566
3921.870511,3920.24567628
3914.322484,3912.34463822
3909.866344,3907.59704652
3895.296378,3892.847406
3884.18511,3881.61932103
3873.122776,3870.44111765
3866.085283,3863.36220146
3859.071161,3856.30736794
3852.80722,3850.08447789
3846.800296,3844.14504998
3843.535148,3840.95854133
3840.278597,3837.78156401
3839.732345,3837.34926528
3839.197143,3836.92853556
3841.937797,3839.83156363
3844.675379,3842.7274975
3853.30366,3851.61242215
3877.933852,3881.58147443
4058.016167,4068.92955171
4484.240119,4477.74466513
4529.970031,4530.1317674
4533.353464,4533.80445598
4526.978155,4527.68286198
4520.624667,4521.58308074
4513.147624,4514.34881469
4505.698804,4507.1427351
4500.719408,4502.38457632
4495.763099,4497.64914571
4494.106044,4496.17380546
4492.576382,4494.83746982
4494.155383,4496.58004344
4495.753933,4498.34312803
4500.707851,4503.40529335
4503.134498,4505.95164283
4507.65935,4510.50041792
4509.504706,4512.39530527
4514.461415,4517.31521799
4519.089596,4521.9082995
4525.7313,4528.4555248
4531.795486,4534.37081276
4538.913852,4541.30764168
4546.078985,4548.29039869
4552.848247,4554.86357709
4559.836017,4561.65398155
4564.976182,4566.60757093
4570.456732,4571.8996559
4574.010807,4575.27727374
4577.402176,4578.49252326
4578.359012,4579.26908035
4579.352618,4580.08208535
4578.725302,4579.25737832
4577.869958,4578.20709881
4575.513422,4575.66060746
4573.644494,4573.60193349
4571.051649,4570.84816993
4569.242622,4568.88454133
4567.740577,4567.24127067
4566.245433,4565.6105298
