PO-MODEL-0,PO-UCVM-0
4494.0088,4500.33
4492.9399,4498.259
4394.6992,4384.112
4327.9219,4306.612
4126.2632,4123.197
3934.054,3951.564
3861.0381,3905.485
3786.9209,3857.443
3855.3149,3946.455
3948.085,4060.73
4150.748,4274.696
4372.981,4513.518
4662.7329,4800.239
4982.0669,5117.562
5257.3501,5384.985
5546.7378,5663.37
5756.333,5854.721
5953.188,6031.933
6118.9429,6180.455
6288.1992,6331.179
6430.3589,6453.426
6426.6382,6430.972
6421.25,6409.294
6415.875,6387.596
6407.1001,6364.412
6398.4731,6341.545
6389.7251,6322.04
6379.645,6300.766
6376.8691,6289.307
6384.0059,6286.678
6409.5942,6304.175
6459.2661,6344.25
6543.999,6415.412
6644.1709,6500.094
6727.0601,6575.352
6817.5459,6657.793
6900.937,6736.489
6947.0381,6781.024
6978.5991,6814.007
7010.249,6847.19
7041.1221,6881.826
7071.853,6915.611
7104.1138,6953.306
7136.3989,6991.065
7166.751,7028.324
7147.7388,7018.216
7128.2402,7008.163
7108.7729,6998.111
7090.4058,6989.084
7072.064,6980.056
7051.9429,6968.867
7029.4868,6956.222
7007.4951,6942.27
6985.5371,6928.35
6959.4951,6909.361
6933.5288,6890.395
6904.4521,6866.902
6875.4741,6843.465
6849.8081,6822.953
6824.2061,6802.45
6817.333,6801.232
7810.207,7833.32
7804.8838,7828.244
7799.395,7823.508
7783.416,7807.694
7767.4902,7791.93
7752.3081,7776.544
7737.1758,7761.203
7725.7759,7749.383
7714.397,7737.584
7707.416,7730.308
7700.521,7722.895
7696.644,7718.357
7692.7739,7713.829
7689.4531,7709.64
7685.5859,7705.443
7678.624,7697.929
7670.2261,7689.01
7658.2632,7676.279
7645.7578,7662.893
7631.123,7647.089
7619.0239,7633.881
7606.209,7619.703
7593.293,7605.385
7579.4019,7590.073
7565.583,7574.817
7550.4692,7558.437
7535.522,7542.208
7520.6719,7526.503
7505.6748,7510.653
7491.2979,7495.748
7476.8628,7480.77
7464.582,7467.887
7452.0591,7454.756
7442.6392,7444.701
7433.4888,7434.903
7427.958,7428.983
7422.8662,7423.442
7420.6602,7421.129
7418.4561,7419.689
