PO-MODEL-0,PO-UCVM-0
2523.519,2498.145
2523.5181,2497.918
2446.731,2418.707
2394.447,2366.654
2263.137,2253.895
2145.4551,2152.216
2093.0171,2118.292
2040.04,2082.382
2064.835,2123.409
2106.042,2182.558
2215.8911,2307.172
2325.2361,2441.181
2498.5071,2627.238
2712.9661,2851.061
2905.272,3040.19
3105.502,3234.204
3242.261,3358.139
3371.7029,3473.234
3475.667,3564.476
3582.061,3657.11
3671.1521,3730.618
3667.804,3708.938
3666.1609,3691.016
3664.552,3673.142
3660.2451,3654.308
3655.877,3635.649
3651.345,3620.066
3645.457,3602.536
3645.4131,3593.761
3655.2871,3594.313
3680.7629,3612.2
3726.855,3650.075
3793.6631,3707.546
3872.7871,3776.302
3943.2119,3841.395
4018.835,3911.322
4085.5481,3974.559
4117.0278,4003.743
4135.9761,4022.599
4154.9839,4041.625
4173.439,4061.994
4191.7842,4081.687
4211.4888,4104.775
4231.1992,4127.905
4249.917,4151.281
4237.6821,4145.238
4225.3662,4139.583
4213.0552,4133.916
4201.792,4129.238
4190.5288,4124.543
4177.8408,4118.108
4163.1851,4110.438
4149.0322,4101.741
4134.811,4093.009
4117.1748,4080.018
4099.5811,4067.037
4079.249,4050.137
4058.98,4033.271
4040.9929,4018.274
4023.0339,4003.263
4018.5439,4001.992
4570.8521,4590.818
4566.355,4586.752
4561.7002,4582.922
4549.4819,4570.899
4537.2998,4558.907
4525.9238,4547.386
4514.5708,4535.888
4506.4121,4527.399
4498.2661,4518.925
4493.708,4514.15
4489.3188,4509.361
4487.4561,4506.981
4485.5928,4504.604
4484.1548,4502.485
4482.3359,4500.488
4477.8408,4495.644
4472.0771,4489.645
4463.293,4480.348
4454.0298,4470.453
4442.896,4458.445
4432.563,4447.283
4421.5869,4435.264
4410.5112,4423.102
4398.5732,4410.062
4386.6768,4397.043
4373.6411,4383.026
4360.7329,4369.115
4347.8911,4355.63
4334.9092,4342.002
4322.4839,4329.19
4309.9971,4316.3
4299.4438,4305.267
4288.6719,4294.01
4280.6821,4285.482
4272.916,4277.164
4268.335,4272.232
4264.1372,4267.63
4262.4482,4265.824
4260.7622,4264.758
