BILLY-25,UCVM-25,UCVM-GTL-25
4430.931776,4419.77480085,824.986151096
4432.924175,4421.79573702,4421.79573702
4581.835129,4572.21804575,4572.21804575
4776.379635,4767.17325682,4767.17325682
4993.053768,4984.8175767,4984.8175767
5219.027951,5211.83969396,5211.83969396
5444.551457,5437.99664129,5437.99664129
5672.968189,5667.28446636,5667.28446636
5866.058904,5860.04983968,5860.04983968
6074.622299,6068.40733064,6068.40733064
6206.350138,6200.1435198,6200.1435198
6354.326924,6348.62385236,6348.62385236
6394.266267,6389.24373972,6389.24373972
6411.953699,6407.82037908,6407.82037908
6354.121173,6350.53465513,6350.53465513
6287.598916,6284.52168166,6284.52168166
6207.105436,6204.603406,6204.603406
6125.086344,6123.15103806,6123.15103806
6072.092222,6071.08106113,6071.08106113
6018.404256,6018.32188197,6018.32188197
6000.809754,6001.77377662,6001.77377662
5982.216259,5983.86247828,5983.86247828
5994.067436,5996.05708612,5996.05708612
6005.740627,6008.07667166,6008.07667166
6031.637662,6033.90489696,6033.90489696
6055.791203,6057.94796002,6057.94796002
6089.171196,6091.21259362,6091.21259362
6127.604325,6129.71731257,6129.71731257
6155.003649,6157.36968012,6157.36968012
6186.950346,6189.56716686,6189.56716686
6219.861907,6222.83823145,6222.83823145
6256.539369,6259.93017263,6259.93017263
6299.523287,6303.29509227,6303.29509227
6345.363041,6349.51323568,6349.51323568
6365.323141,6369.62401,6369.62401
6387.842307,6392.29008612,6392.29008612
6403.235902,6407.63555709,6407.63555709
6411.991415,6416.26680738,6416.26680738
6413.831519,6417.86615609,6417.86615609
6415.753449,6419.52903768,6419.52903768
6419.488005,6423.01621069,6423.01621069
6423.323714,6426.59799962,6426.59799962
6431.131769,6434.26983122,6434.26983122
6438.974814,6441.9722599,6441.9722599
6449.904767,6452.97599039,6452.97599039
6452.077255,6455.17504614,6455.17504614
6455.946617,6459.36181546,6459.36181546
6459.742368,6463.47554864,6463.47554864
6464.813187,6469.157391,6469.157391
6469.813549,6474.77018224,6474.77018224
6468.37406,6474.06231911,6474.06231911
6467.218816,6473.59533295,6473.59533295
6466.840035,6473.86391772,6473.86391772
6465.743376,6473.39965975,6473.39965975
6464.524517,6472.57037024,6472.57037024
6463.262884,6471.69667243,6471.69667243
6464.852222,6473.32990042,6473.32990042
6466.400469,6474.92137524,6474.92137524
6476.665336,6484.73059631,6484.73059631
6486.902191,6494.50875471,6494.50875471
6515.172022,6521.63345252,6521.63345252
6541.721296,6547.08572241,6547.08572241
6611.153164,6623.52865052,6623.52865052
7201.404963,7176.15802807,7176.15802807
7609.571799,7599.24717686,7599.24717686
7724.213099,7726.79983737,7726.79983737
7737.679862,7740.59456901,7740.59456901
7751.187393,7754.4062203,7754.4062203
7754.722507,7758.00192849,7758.00192849
7758.243629,7761.58503729,7761.58503729
7764.047082,7767.15182622,7767.15182622
7769.581711,7772.45847712,7772.45847712
7781.515133,7784.04623453,7784.04623453
7793.481019,7795.66736717,7795.66736717
7811.17847,7813.04572395,7813.04572395
7821.323237,7822.83197809,7822.83197809
7832.12742,7833.30439369,7833.30439369
7837.498051,7838.32793502,7838.32793502
7847.037143,7847.56100577,7847.56100577
7856.71614,7856.94480354,7856.94480354
7869.472334,7869.46331142,7869.46331142
7878.767666,7878.55327259,7878.55327259
7890.664717,7890.35610304,7890.35610304
7902.917682,7902.51970973,7902.51970973
7915.160669,7914.82373933,7914.82373933
7928.050419,7927.77981392,7927.77981392
7937.512149,7937.45409496,7937.45409496
7947.784583,7947.94456901,7947.94456901
7952.812953,7953.3140346,7953.3140346
7957.524787,7958.36885506,7958.36885506
7954.032122,7955.34783775,7955.34783775
7950.508927,7952.29653133,7952.29653133
7938.322884,7940.66480008,7940.66480008
7925.549273,7928.44225721,7928.44225721
7903.948366,7907.31113149,7907.31113149
7883.379742,7887.21222222,7887.21222222
7858.913299,7862.95542599,7862.95542599
7835.606151,7839.8674925,7839.8674925
7814.152691,7818.43891426,7818.43891426
7792.818331,7795.86443714,7795.86443714
