BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
4430.931776,4438.94017839,4419.77480085,4545.421,4499.834
4432.924175,4440.90710458,4421.79573702,4547.374,4501.855
4581.835129,4588.40964821,4572.21804575,4657.704,4615.114
4776.379635,4781.61061207,4767.17325682,4803.205,4762.465
4993.053768,4996.29960669,4984.8175767,4985.59,4949.46
5219.027951,5220.18387082,5211.83969396,5174.442,5143.108
5444.551457,5443.47590888,5437.99664129,5391.875,5364.665
5672.968189,5669.53337447,5667.28446636,5613.108,5590.326
5866.058904,5860.61693464,5860.04983968,5819.625,5799.314
6074.622299,6067.08863552,6068.40733064,6043.84,6026.294
6206.350138,6197.90177855,6200.1435198,6193.746,6177.104
6354.326924,6344.84388274,6348.62385236,6357.395,6340.901
6394.266267,6385.00971203,6389.24373972,6411.663,6394.939
6411.953699,6402.99635371,6407.82037908,6448.971,6433.876
6354.121173,6346.32881507,6350.53465513,6401.048,6387.816
6287.598916,6280.72176932,6284.52168166,6343.807,6334.414
6207.105436,6201.87447982,6204.603406,6263.252,6257.099
6125.086344,6121.4403268,6123.15103806,6181.062,6177.629
6072.092222,6070.45498424,6071.08106113,6121.257,6119.935
6018.404256,6018.77637832,6018.32188197,6060.404,6061.051
6000.809754,6002.9296682,6001.77377662,6034.103,6036.771
5982.216259,5986.10726567,5983.86247828,6005.418,6006.631
5994.067436,5998.9132276,5996.05708612,6011.474,6011.885
6005.740627,6011.56702076,6008.07667166,6017.199,6016.795
6031.637662,6037.44590042,6033.90489696,6043.475,6043.188
6055.791203,6061.53930719,6057.94796002,6067.953,6067.77
6089.171196,6094.06386005,6091.21259362,6105.03,6106.091
6127.604325,6131.71864629,6129.71731257,6147.042,6149.621
6155.003649,6157.91032987,6157.36968012,6175.658,6180.21
6186.950346,6188.66303153,6189.56716686,6208.366,6214.733
6219.861907,6220.45273472,6222.83823145,6236.925,6244.474
6256.539369,6256.04610458,6259.93017263,6268.675,6277.451
6299.523287,6298.5245198,6303.29509227,6302.089,6310.613
6345.363041,6343.85491772,6349.51323568,6337.726,6346.075
6365.323141,6363.72981699,6369.62401,6353.154,6361.261
6387.842307,6386.18909727,6392.29008612,6370.808,6378.817
6403.235902,6401.8726782,6407.63555709,6384.657,6392.339
6411.991415,6410.79339139,6416.26680738,6393.083,6401.017
6413.831519,6412.96892695,6417.86615609,6397.057,6404.785
6415.753449,6415.22488235,6419.52903768,6401.159,6408.686
6419.488005,6419.42670704,6423.01621069,6406.48,6413.422
6423.323714,6423.72542714,6426.59799962,6411.846,6418.242
6431.131769,6432.09619223,6434.26983122,6419.149,6424.886
6438.974814,6440.49802307,6441.9722599,6426.492,6431.577
6449.904767,6452.03411649,6452.97599039,6434.597,6439.151
6452.077255,6454.76333526,6455.17504614,6435.172,6438.647
6455.946617,6459.16553979,6459.36181546,6435.483,6438.27
6459.742368,6463.49661092,6463.47554864,6435.729,6437.827
6464.813187,6468.98243714,6469.157391,6436.365,6438.338
6469.813549,6474.40055863,6474.77018224,6436.94,6438.787
6468.37406,6473.27992926,6474.06231911,6431.395,6433.402
6467.218816,6472.42052518,6473.59533295,6426.738,6428.9
6466.840035,6472.24258093,6473.86391772,6423.596,6426.062
6465.743376,6471.34186044,6473.39965975,6419.761,6422.521
6464.524517,6470.19117839,6472.57037024,6417.729,6420.764
6463.262884,6468.99861323,6471.69667243,6415.658,6418.968
6464.852222,6470.56706344,6473.32990042,6418.101,6421.508
6466.400469,6472.09547213,6474.92137524,6420.492,6423.998
6476.665336,6482.27217916,6484.73059631,6432.896,6436.047
6486.902191,6492.42132795,6494.50875471,6445.258,6448.052
6515.172022,6520.62122261,6521.63345252,6475.586,6477.161
6541.721296,6547.18038255,6547.08572241,6503.742,6503.933
6611.153164,6628.68837716,6623.52865052,6575.378,6573.251
7201.404963,7221.3176832,7176.15802807,6625.283,6622.796
7609.571799,7618.79836678,7599.24717686,7633.229,7630.536
7724.213099,7726.95785544,7726.79983737,7683.295,7682.242
7737.679862,7739.88338524,7740.59456901,7700.623,7700.684
7751.187393,7752.84767743,7754.4062203,7717.999,7719.19
7754.722507,7756.22603499,7758.00192849,7726.294,7727.894
7758.243629,7759.59040869,7761.58503729,7734.575,7736.585
7764.047082,7765.32578047,7767.15182622,7745.481,7747.43
7769.581711,7770.80867589,7772.45847712,7756.166,7758.016
7781.515133,7782.6162945,7784.04623453,7772.911,7774.594
7793.481019,7794.45628835,7795.66736717,7789.699,7791.213
7811.17847,7811.91308304,7813.04572395,7811.226,7812.728
7821.323237,7821.85176586,7822.83197809,7825.191,7826.626
7832.12742,7832.38686236,7833.30439369,7838.935,7840.379
7837.498051,7837.52673549,7838.32793502,7847.432,7848.801
7847.037143,7846.79002807,7847.56100577,7860.327,7861.655
7856.71614,7856.18965013,7856.94480354,7873.362,7874.658
7869.472334,7868.61334564,7869.46331142,7889.94,7891.345
