BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
2538.674998,2542.67135333,2532.07176894,2620.705,2587.535
2539.591999,2543.58431949,2532.97313879,2621.708,2588.521
2622.682807,2625.76008804,2616.67063937,2670.889,2639.183
2746.091376,2748.80866436,2740.25297463,2753.499,2722.566
2859.080811,2860.95470088,2853.68473318,2837.021,2808.893
2978.268862,2979.1642722,2973.39002768,2924.152,2899.078
3101.666213,3101.16658055,3097.08998001,3041.312,3019.474
3226.216071,3224.09497463,3222.06621992,3159.892,3141.652
3342.272015,3338.75362245,3337.93989812,3288.805,3272.791
3470.363972,3465.38317493,3465.91122261,3430.68,3416.424
3552.83664,3547.21653479,3548.44361246,3529.546,3515.409
3643.835986,3637.39130334,3639.6824283,3637.111,3622.475
3657.930408,3651.51716032,3653.88079316,3664.971,3649.411
3661.829039,3655.3599085,3657.9834406,3684.766,3670.111
3612.12925,3606.45083083,3608.22107228,3642.779,3630.021
3557.47885,3552.46626644,3553.50082545,3597.156,3589.206
3500.416597,3496.85024029,3496.72228297,3541.291,3538.107
3441.081576,3438.91614264,3437.70033449,3483.153,3484.135
3413.496236,3413.14787582,3410.87231411,3450.299,3455.082
3386.216705,3387.67905306,3384.35757478,3417.662,3426.192
3393.7287,3396.76061053,3392.75286544,3418.237,3430.589
3388.356936,3392.7025917,3388.25135602,3406.029,3417.543
3409.319427,3414.2269035,3409.77882314,3423.469,3434.668
3430.427639,3435.9058985,3431.4565271,3440.975,3451.863
3462.215913,3467.40974087,3463.41642599,3474.436,3485.71
3478.745529,3483.6739481,3480.00310842,3491.87,3503.371
3502.697686,3506.66868397,3504.01056594,3519.532,3532.245
3566.436086,3569.46154787,3568.09876355,3587.916,3602.243
3595.046705,3596.91114994,3597.00784775,3617.137,3632.916
3626.562234,3627.2880396,3628.77944598,3649.765,3666.537
3655.899262,3655.56373472,3658.39760477,3676.266,3693.187
3686.872641,3685.60303037,3689.62259746,3703.533,3720.057
3719.894387,3718.24639639,3722.82057363,3728.602,3743.249
3753.740673,3751.78265898,3756.84962591,3753.601,3766.28
3762.979166,3761.08380469,3766.10047136,3758.662,3769.466
3772.067705,3770.28164091,3775.22449673,3763.021,3772.079
3770.692972,3769.2915594,3773.84571857,3759.619,3767.317
3763.796644,3762.58884391,3767.05585198,3751.974,3759.891
3752.15351,3751.25775317,3755.46091811,3741.601,3749.638
3740.370077,3739.78877932,3743.71415148,3731.08,3739.184
3729.577782,3729.42753672,3732.95857785,3721.051,3728.849
3718.714337,3718.99837255,3722.12613918,3710.967,3718.478
3710.765709,3711.57038947,3714.28829258,3702.097,3709.206
3702.774498,3704.10090581,3706.4056709,3693.204,3699.911
3697.044448,3698.93576701,3700.95946867,3684.557,3690.965
3695.401903,3697.76573356,3699.28666551,3681.442,3686.785
3694.8608,3697.67787351,3698.95911688,3677.707,3682.323
3694.288635,3697.56000538,3698.60524606,3673.915,3677.805
3694.628558,3698.25187313,3699.4034479,3670.223,3673.869
3694.933422,3698.91001999,3700.17093118,3666.48,3669.88
3689.128224,3693.38474318,3694.93534871,3656.913,3660.321
3683.554544,3688.07049558,3689.89643329,3648.063,3651.475
3680.008331,3684.68085006,3686.81824491,3641.903,3645.428
3674.936647,3679.7770073,3682.2264802,3634.235,3637.875
3669.810054,3674.70718647,3677.36939485,3628.222,3631.964
3664.627732,3669.58271895,3672.45567282,3622.157,3626.0
3661.985463,3666.91906728,3669.78333679,3620.109,3623.899
3659.287862,3664.20113495,3667.05485083,3618.005,3621.742
3664.356947,3669.18917186,3671.65475125,3624.811,3628.092
3669.389085,3674.14112995,3676.21490388,3631.58,3634.4
3690.104464,3694.77349981,3695.86359631,3654.038,3655.648
3709.352807,3714.00948635,3714.09105229,3674.661,3674.916
3763.392407,3775.59203422,3772.12953133,3730.933,3729.074
4144.900915,4158.55339715,4129.66210073,3772.842,3770.644
4408.144906,4414.93885275,4402.21419723,4413.519,4410.823
4489.615509,4492.09290773,4491.8027724,4455.473,4454.078
4501.211038,4503.22767782,4503.67179585,4470.156,4469.673
4512.843076,4514.39679123,4515.5560519,4484.867,4485.31
4516.07341,4517.48772587,4518.84174279,4491.9,4492.669
4519.296886,4520.57160861,4522.12323683,4498.913,4500.009
4524.479777,4525.69087043,4527.11097578,4508.161,4509.184
4529.465436,4530.62588735,4531.90888658,4517.257,4518.174
4539.921992,4540.97122414,4542.0777278,4531.559,4532.307
4550.404225,4551.34124491,4552.27462937,4545.871,4546.453
4565.719677,4566.45063091,4567.32683429,4564.211,4564.759
4575.36797,4575.92146367,4576.68831449,4576.837,4577.32
4585.614987,4585.94152634,4586.66658631,4589.379,4589.858
4591.835606,4591.96110304,4592.61690696,4597.987,4598.407
4600.87088,4600.76841792,4601.40163206,4609.729,4610.098
4609.786259,4609.45455632,4610.07329873,4621.354,4621.676
4621.201742,4620.59555902,4621.28969243,4635.884,4636.275
4630.016309,4629.18368166,4629.91787505,4646.839,4647.104
4640.963533,4639.83418108,4640.76985275,4660.04,4660.468
4652.127562,4650.69865283,4651.84469973,4673.445,4674.038
4663.26293,4661.46448674,4663.01733103,4686.736,4687.796
4674.871484,4672.70068281,4674.66935602,4700.5,4702.031
4683.578466,4681.00235025,4683.54101615,4711.008,4713.265
4692.90589,4689.92142983,4693.03718608,4722.139,4725.128
4697.752949,4694.4075371,4698.15593003,4727.923,4731.782
4702.311738,4698.60750865,4702.98833218,4733.413,4738.141
4699.903291,4696.0026659,4700.96403306,4730.343,4735.915
4697.455002,4693.35948827,4698.90060131,4727.228,4733.641
4687.627336,4683.58352518,4689.53039177,4714.38,4721.419
4677.310531,4673.32025644,4679.66974394,4701.043,4708.705
4659.490688,4655.83248866,4662.24231795,4678.146,4685.924
4642.512795,4639.18061938,4645.65773702,4656.121,4664.023
4622.162661,4619.34303076,4625.48343752,4630.35,4637.757
4602.856794,4600.53673972,4606.36089619,4605.609,4612.547
4584.991403,4583.23082622,4588.51339408,4583.067,4589.169
4567.20579,4566.00319915,4569.7573341,4560.637,4563.617
