BILLY-25,MODEL-25
4430.931776,4438.94017839
4432.924175,4440.90710458
4581.835129,4588.40964821
4776.379635,4781.61061207
4993.053768,4996.29960669
5219.027951,5220.18387082
5444.551457,5443.47590888
5672.968189,5669.53337447
5866.058904,5860.61693464
6074.622299,6067.08863552
6206.350138,6197.90177855
6354.326924,6344.84388274
6394.266267,6385.00971203
6411.953699,6402.99635371
6354.121173,6346.32881507
6287.598916,6280.72176932
6207.105436,6201.87447982
6125.086344,6121.4403268
6072.092222,6070.45498424
6018.404256,6018.77637832
6000.809754,6002.9296682
5982.216259,5986.10726567
5994.067436,5998.9132276
6005.740627,6011.56702076
6031.637662,6037.44590042
6055.791203,6061.53930719
6089.171196,6094.06386005
6127.604325,6131.71864629
6155.003649,6157.91032987
6186.950346,6188.66303153
6219.861907,6220.45273472
6256.539369,6256.04610458
6299.523287,6298.5245198
6345.363041,6343.85491772
6365.323141,6363.72981699
6387.842307,6386.18909727
6403.235902,6401.8726782
6411.991415,6410.79339139
6413.831519,6412.96892695
6415.753449,6415.22488235
6419.488005,6419.42670704
6423.323714,6423.72542714
6431.131769,6432.09619223
6438.974814,6440.49802307
6449.904767,6452.03411649
6452.077255,6454.76333526
6455.946617,6459.16553979
6459.742368,6463.49661092
6464.813187,6468.98243714
6469.813549,6474.40055863
6468.37406,6473.27992926
6467.218816,6472.42052518
6466.840035,6472.24258093
6465.743376,6471.34186044
6464.524517,6470.19117839
6463.262884,6468.99861323
6464.852222,6470.56706344
6466.400469,6472.09547213
6476.665336,6482.27217916
6486.902191,6492.42132795
6515.172022,6520.62122261
6541.721296,6547.18038255
6611.153164,6628.68837716
7201.404963,7221.3176832
7609.571799,7618.79836678
7724.213099,7726.95785544
7737.679862,7739.88338524
7751.187393,7752.84767743
7754.722507,7756.22603499
7758.243629,7759.59040869
7764.047082,7765.32578047
7769.581711,7770.80867589
7781.515133,7782.6162945
7793.481019,7794.45628835
7811.17847,7811.91308304
7821.323237,7821.85176586
7832.12742,7832.38686236
7837.498051,7837.52673549
7847.037143,7846.79002807
7856.71614,7856.18965013
7869.472334,7868.61334564
7878.767666,7877.66032103
7890.664717,7889.22950404
7902.917682,7901.15170242
7915.160669,7912.98476701
7928.050419,7925.46029027
7937.512149,7934.47121761
7947.784583,7944.28858593
7952.812953,7948.91751019
7957.524787,7953.23114571
7954.032122,7949.52931642
7950.508927,7945.79844867
7938.322884,7933.69399769
7925.549273,7921.00433718
7903.948366,7899.81431642
7883.379742,7879.64864091
7858.913299,7855.80325067
7835.606151,7833.10111572
7814.152691,7812.32223837
7792.818331,7791.66019262
