BILLY-25,UCVM-25
2538.674998,2532.07176894
2539.591999,2532.97313879
2622.682807,2616.67063937
2746.091376,2740.25297463
2859.080811,2853.68473318
2978.268862,2973.39002768
3101.666213,3097.08998001
3226.216071,3222.06621992
3342.272015,3337.93989812
3470.363972,3465.91122261
3552.83664,3548.44361246
3643.835986,3639.6824283
3657.930408,3653.88079316
3661.829039,3657.9834406
3612.12925,3608.22107228
3557.47885,3553.50082545
3500.416597,3496.72228297
3441.081576,3437.70033449
3413.496236,3410.87231411
3386.216705,3384.35757478
3393.7287,3392.75286544
3388.356936,3388.25135602
3409.319427,3409.77882314
3430.427639,3431.4565271
3462.215913,3463.41642599
3478.745529,3480.00310842
3502.697686,3504.01056594
3566.436086,3568.09876355
3595.046705,3597.00784775
3626.562234,3628.77944598
3655.899262,3658.39760477
3686.872641,3689.62259746
3719.894387,3722.82057363
3753.740673,3756.84962591
3762.979166,3766.10047136
3772.067705,3775.22449673
3770.692972,3773.84571857
3763.796644,3767.05585198
3752.15351,3755.46091811
3740.370077,3743.71415148
3729.577782,3732.95857785
3718.714337,3722.12613918
3710.765709,3714.28829258
3702.774498,3706.4056709
3697.044448,3700.95946867
3695.401903,3699.28666551
3694.8608,3698.95911688
3694.288635,3698.60524606
3694.628558,3699.4034479
3694.933422,3700.17093118
3689.128224,3694.93534871
3683.554544,3689.89643329
3680.008331,3686.81824491
3674.936647,3682.2264802
3669.810054,3677.36939485
3664.627732,3672.45567282
3661.985463,3669.78333679
3659.287862,3667.05485083
3664.356947,3671.65475125
3669.389085,3676.21490388
3690.104464,3695.86359631
3709.352807,3714.09105229
3763.392407,3772.12953133
4144.900915,4129.66210073
4408.144906,4402.21419723
4489.615509,4491.8027724
4501.211038,4503.67179585
4512.843076,4515.5560519
4516.07341,4518.84174279
4519.296886,4522.12323683
4524.479777,4527.11097578
4529.465436,4531.90888658
4539.921992,4542.0777278
4550.404225,4552.27462937
4565.719677,4567.32683429
4575.36797,4576.68831449
4585.614987,4586.66658631
4591.835606,4592.61690696
4600.87088,4601.40163206
4609.786259,4610.07329873
4621.201742,4621.28969243
4630.016309,4629.91787505
4640.963533,4640.76985275
4652.127562,4651.84469973
4663.26293,4663.01733103
4674.871484,4674.66935602
4683.578466,4683.54101615
4692.90589,4693.03718608
4697.752949,4698.15593003
4702.311738,4702.98833218
4699.903291,4700.96403306
4697.455002,4698.90060131
4687.627336,4689.53039177
4677.310531,4679.66974394
4659.490688,4662.24231795
4642.512795,4645.65773702
4622.162661,4625.48343752
4602.856794,4606.36089619
4584.991403,4588.51339408
4567.20579,4569.7573341
