PO-MODEL-0,PO-UCVM-0
5372.3682,5379.946
5372.3428,5379.924
5380.0762,5384.399
5462.1191,5461.923
5545.0981,5541.173
5628.5151,5620.727
5702.458,5691.59
5769.0229,5754.516
5851.583,5834.791
5954.2788,5935.245
6075.1201,6054.006
6215.5708,6192.322
6356.583,6332.345
6474.8999,6451.002
6563.271,6541.774
6618.6738,6600.85
6648.6372,6634.942
6673.9771,6664.49
6697.0752,6691.624
6720.1709,6718.778
6741.2178,6743.738
6725.7969,6729.46
6708.8628,6713.722
6691.9238,6697.98
6674.5361,6681.796
6662.9541,6670.933
6651.606,6660.115
6625.9722,6636.662
6622.0029,6632.625
6625.896,6635.786
6640.1279,6648.674
6670.189,6677.493
6717.8452,6723.781
6778.3188,6783.241
6846.7261,6851.198
6925.562,6930.937
7013.272,7022.146
7083.9038,7095.896
7143.7759,7157.529
7203.5669,7219.141
7263.23,7280.51
7322.9912,7342.059
7382.6328,7403.433
7442.2749,7464.799
7501.7822,7525.968
7514.2729,7537.758
7527.127,7549.864
7539.98,7561.966
7553.8662,7574.973
7567.7578,7587.983
7574.9771,7595.056
7583.9888,7603.393
7612.9438,7629.506
7628.8042,7644.276
7644.688,7659.097
7548.8042,7561.69
7600.9619,7613.301
7653.144,7664.926
7704.4849,7715.867
7755.8652,7766.837
7806.5239,7817.098
7807.6309,7818.546
7807.8232,7818.303
7807.9888,7818.041
7807.8271,7817.413
7807.5972,7816.728
7807.1782,7815.779
7806.731,7814.808
7806.2358,7813.712
7805.731,7812.606
7805.208,7811.338
7804.6641,7810.149
7804.0918,7808.949
7803.521,7807.75
7802.8042,7806.475
7801.3159,7804.55
7800.0498,7802.834
7802.3062,7804.116
7802.0479,7803.382
7801.6719,7802.548
7801.3911,7801.871
7801.6899,7801.723
7801.9521,7801.641
7802.1582,7801.514
7802.2681,7801.425
7802.3389,7801.305
7802.2969,7801.211
7802.2148,7801.087
7801.8818,7800.862
7801.54,7800.626
7800.96,7800.282
7800.3608,7799.926
7799.7012,7799.625
7799.0542,7799.333
7798.6958,7799.376
7798.3389,7799.419
7798.6748,7800.089
7799.0869,7800.805
7799.7949,7801.745
7800.5029,7802.57
