PO-MODEL-0,PO-UCVM-0
2883.469,2885.841
2883.4509,2885.825
2890.521,2889.912
2953.9919,2949.307
3018.333,3010.384
3082.99,3071.679
3141.0129,3126.993
3193.5959,3176.38
3256.282,3237.614
3330.1589,3310.335
3411.8159,3391.241
3502.4551,3481.167
3591.147,3570.029
3666.5991,3646.374
3725.5339,3707.403
3768.196,3752.894
3796.1221,3783.495
3820.583,3810.501
3843.1011,3835.328
3865.615,3860.167
3886.4221,3883.13
3883.1841,3881.181
3878.647,3877.962
3874.113,3874.745
3869.199,3871.162
3865.3479,3868.458
3861.675,3865.779
3855.3679,3861.316
3854.1899,3861.197
3856.377,3864.03
3862.929,3870.661
3875.25,3883.26
3895.1479,3903.475
3920.2261,3929.018
3949.1689,3958.497
3983.0291,3993.463
4022.7041,4035.453
4057.231,4072.007
4087.324,4103.384
4117.3911,4134.74
4147.353,4165.891
4177.395,4197.197
4207.335,4228.35
4237.272,4259.495
4267.0869,4290.461
4275.229,4298.171
4283.6909,4306.158
4292.1509,4314.142
4301.5098,4322.909
4310.874,4331.678
4315.0391,4335.76
4320.3799,4340.594
4342.0498,4360.16
4353.1162,4370.445
4364.25,4380.813
4413.833,4425.046
4444.6841,4455.433
4475.5562,4485.832
4505.7148,4515.653
4535.9072,4545.496
4565.4849,4574.735
4566.4409,4575.995
4566.6128,4575.798
4566.7632,4575.582
4566.627,4575.05
4566.4419,4574.476
4566.0869,4573.669
4565.7119,4572.846
4565.291,4571.911
4564.8628,4570.97
4564.418,4569.885
4563.9561,4568.869
4563.4658,4567.841
4562.9771,4566.815
4562.3682,4565.727
4561.439,4564.365
4560.5981,4563.088
4561.8242,4563.593
4561.5649,4562.931
4561.2139,4562.191
4560.9482,4561.585
4561.0132,4561.286
4561.0488,4561.045
4561.043,4560.77
4560.9541,4560.529
4560.8369,4560.265
4560.6201,4560.02
4560.3711,4559.752
4559.9092,4559.399
4559.438,4559.038
4558.7671,4558.584
4558.0791,4558.123
4557.3428,4557.711
4556.6182,4557.307
4556.1431,4557.192
4555.6689,4557.079
4555.79,4557.502
4555.9702,4557.961
4556.4102,4558.616
4556.854,4559.171
