BILLY-25,UCVM-25,UCVM-GTL-25
3735.171911,3727.42221223,730.72781584
3735.41922,3727.65225067,3727.65225067
3829.753441,3816.891,3816.891
3973.660423,3955.01630258,3955.01630258
3874.37118,3854.10728835,3854.10728835
3706.557355,3692.76079969,3692.76079969
3543.648193,3534.61906882,3534.61906882
3382.395506,3375.98527105,3375.98527105
3370.5795,3364.19045098,3364.19045098
3373.658032,3368.54752018,3368.54752018
3493.32674,3491.69785928,3491.69785928
3641.064141,3642.20509266,3642.20509266
3925.428973,3929.26121415,3929.26121415
4218.96291,4223.42770127,4223.42770127
4502.190223,4506.1377797,4506.1377797
4787.704648,4795.05893156,4795.05893156
5047.139373,5057.28550135,5057.28550135
5307.265244,5320.7968935,5320.7968935
5540.11912,5553.16846175,5553.16846175
5785.541661,5798.03610304,5798.03610304
5986.169316,5993.93452749,5993.93452749
6075.119585,6074.70892234,6074.70892234
6120.853775,6111.89296578,6111.89296578
6167.770427,6149.92918454,6149.92918454
6184.121634,6159.63213956,6159.63213956
6201.068693,6169.85949827,6169.85949827
6196.371957,6160.96547943,6160.96547943
6201.16692,6161.68590734,6161.68590734
6217.391303,6176.11144444,6176.11144444
6248.35674,6205.12875932,6205.12875932
6298.319881,6254.38621992,6254.38621992
6375.298001,6330.82217686,6330.82217686
6463.373222,6419.30466205,6419.30466205
6582.903049,6538.67450788,6538.67450788
6666.920296,6625.63840138,6625.63840138
6772.58985,6733.40163476,6733.40163476
6854.8501,6818.49687313,6818.49687313
6882.230773,6849.23505536,6849.23505536
6890.571353,6860.82710073,6860.82710073
6898.937386,6872.45662514,6872.45662514
6905.803156,6882.49653479,6882.49653479
6912.591107,6892.43668474,6892.43668474
6918.809658,6901.57799231,6901.57799231
6925.063883,6910.75491811,6910.75491811
6930.519246,6918.72883775,6918.72883775
6919.109412,6907.76702461,6907.76702461
6907.297224,6896.04031142,6896.04031142
6895.487486,6884.31838601,6884.31838601
6884.075206,6872.73711572,6872.73711572
6872.668074,6861.16296463,6861.16296463
6861.858074,6849.82319146,6849.82319146
6851.52917,6838.98783083,6838.98783083
6841.847689,6828.59880777,6828.59880777
6832.206532,6818.25015148,6818.25015148
6823.401484,6808.47284544,6808.47284544
6814.605829,6798.70515686,6798.70515686
6805.701457,6788.61173356,6788.61173356
6796.808674,6778.53057093,6778.53057093
6786.745852,6767.40424683,6767.40424683
6776.669769,6756.24657824,6756.24657824
6768.245767,6755.30750942,6755.30750942
6949.308754,6968.55897732,6968.55897732
7318.456982,7331.61819992,7331.61819992
7592.788677,7573.61544598,7573.61544598
7630.982718,7606.03114648,7606.03114648
7630.463502,7611.12751557,7611.12751557
7630.518554,7610.74979354,7610.74979354
7630.579296,7610.38257632,7610.38257632
7630.274248,7609.613604,7609.613604
7629.970554,7608.84657247,7608.84657247
7629.237686,7607.68518839,7607.68518839
7628.328193,7606.3012649,7606.3012649
7627.06955,7604.59553864,7604.59553864
7625.813226,7602.89269358,7602.89269358
7624.657263,7601.40053479,7601.40053479
7622.849573,7599.37475971,7599.37475971
7621.14707,7597.70790773,7597.70790773
7617.87797,7594.34694079,7594.34694079
7614.980838,7591.42944752,7591.42944752
7611.774756,7588.16516647,7588.16516647
7609.327443,7585.89054787,7585.89054787
7606.687301,7583.28353633,7583.28353633
7604.979739,7581.912802,7581.912802
7603.235825,7580.4894752,7580.4894752
7602.357612,7580.20489235,7580.20489235
7601.554233,7579.98331565,7579.98331565
7601.847916,7581.00943829,7581.00943829
7602.273441,7582.15778585,7582.15778585
7604.480607,7585.14316993,7585.14316993
7606.599366,7588.0314406,7588.0314406
7610.193349,7592.37621684,7592.37621684
7613.770231,7596.69754287,7596.69754287
7618.167935,7601.77154671,7601.77154671
7622.47724,7606.74988158,7606.74988158
7626.361399,7611.19413264,7611.19413264
7630.518493,7615.91437947,7615.91437947
7633.618478,7619.36132564,7619.36132564
7637.474652,7623.57324298,7623.57324298
7640.226682,7626.49285698,7626.49285698
7642.981765,7629.87409612,7629.87409612
