BILLY-25,UCVM-25,UCVM-GTL-25
1971.21712,1978.67382584,138.941824683
1971.387143,1978.83826451,1978.83826451
2017.707547,2020.71555056,2020.71555056
2081.135079,2078.82231449,2078.82231449
1972.464425,1967.86282814,1967.86282814
1877.085152,1870.26107882,1870.26107882
1796.411596,1787.60387274,1787.60387274
1721.058774,1710.31975202,1710.31975202
1714.110707,1701.9545494,1701.9545494
1718.033583,1705.21094348,1705.21094348
1783.093391,1772.33032526,1772.33032526
1827.41569,1817.25635102,1817.25635102
1950.29316,1942.94719377,1942.94719377
2110.837947,2108.38773549,2108.38773549
2290.964141,2294.58468474,2294.58468474
2497.58639,2507.74972126,2507.74972126
2691.894118,2706.39913649,2706.39913649
2890.904544,2909.44961938,2909.44961938
3063.345721,3081.92244752,3081.92244752
3245.184963,3263.65830757,3263.65830757
3388.79526,3403.633609,3403.633609
3459.762691,3465.85121492,3465.85121492
3495.84767,3493.22599769,3493.22599769
3532.664556,3521.11838831,3521.11838831
3544.773791,3526.5109208,3526.5109208
3557.17248,3532.11425375,3532.11425375
3552.462549,3522.93266513,3522.93266513
3554.495348,3520.90322299,3520.90322299
3562.466386,3527.28398885,3527.28398885
3578.023706,3541.28175471,3541.28175471
3605.088331,3568.17220031,3568.17220031
3647.740715,3611.34620953,3611.34620953
3691.483972,3656.49594156,3656.49594156
3743.747424,3711.06856594,3711.06856594
3801.769919,3772.06583083,3772.06583083
3862.764248,3836.51245444,3836.51245444
3910.908954,3888.33844214,3888.33844214
3929.358766,3909.85953941,3909.85953941
3936.4412,3919.60024952,3919.60024952
3943.557601,3929.38002191,3929.38002191
3949.553833,3937.94833333,3937.94833333
3955.472745,3946.42270973,3946.42270973
3960.980381,3954.28178854,3954.28178854
3966.514602,3962.16929104,3962.16929104
3971.54426,3969.23363783,3969.23363783
3968.921915,3966.90647136,3966.90647136
3966.085644,3964.06542368,3964.06542368
3963.252553,3961.2273687,3961.2273687
3960.852607,3958.60312226,3958.60312226
3958.456201,3955.98247712,3955.98247712
3956.662334,3953.65438716,3953.65438716
3955.29088,3951.76630219,3951.76630219
3954.55677,3950.34609496,3950.34609496
3953.8496,3948.95303191,3948.95303191
3953.887363,3948.07816878,3948.07816878
3953.925448,3947.20422991,3947.20422991
3953.874764,3946.04909189,3946.04909189
3953.826817,3944.89805729,3944.89805729
3952.635321,3942.67217878,3942.67217878
3951.423614,3940.40886813,3940.40886813
3949.394837,3941.43687082,3941.43687082
4042.373541,4049.31830334,4049.31830334
4239.073987,4240.6784506,4240.6784506
4383.611511,4365.70585236,4365.70585236
4403.118443,4382.65886621,4382.65886621
4402.289385,4384.91009189,4384.91009189
4402.151561,4384.38206382,4384.38206382
4402.016993,4383.86121646,4383.86121646
4401.591065,4383.01701922,4383.01701922
4401.165832,4382.1735298,4382.1735298
4400.386567,4381.00546828,4381.00546828
4399.433037,4379.62488428,4379.62488428
4398.171157,4377.96085006,4377.96085006
4396.910854,4376.29836947,4376.29836947
4395.740681,4374.82256401,4374.82256401
4394.379116,4373.25406344,4373.25406344
4393.111269,4371.9993887,4371.9993887
4390.542434,4369.32091465,4369.32091465
4388.154118,4366.89697232,4366.89697232
4385.416251,4364.09304191,4364.09304191
4383.251699,4362.06407997,4362.06407997
4380.897074,4359.75091003,4359.75091003
4379.297978,4358.4615371,4358.4615371
4377.632768,4357.09228105,4357.09228105
4376.724279,4356.72174394,4356.72174394
4375.852722,4356.3781757,4356.3781757
4375.989996,4357.17743483,4357.17743483
4376.215644,4358.05685083,4358.05685083
4378.045198,4360.5876905,4360.5876905
4379.788158,4363.02443829,4363.02443829
4382.865844,4366.77622876,4366.77622876
4385.919635,4370.49857286,4370.49857286
4389.720754,4374.9030173,4374.9030173
4393.447266,4379.22658285,4379.22658285
4396.839915,4383.11332872,4383.11332872
4400.46579,4387.2360792,4387.2360792
4403.18584,4390.25957785,4390.25957785
4406.598135,4393.98320492,4393.98320492
4409.016924,4396.54883237,4396.54883237
4411.437962,4398.19911957,4398.19911957
