BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
3735.171911,3732.12081738,3727.42221223,3714.566,3677.159
3735.41922,3732.4040569,3727.65225067,3714.61,3677.213
3829.753441,3827.68795117,3816.891,3824.557,3785.35
3973.660423,3972.54566359,3955.01630258,3984.323,3942.576
3874.37118,3876.03498116,3854.10728835,3904.107,3857.038
3706.557355,3711.6160719,3692.76079969,3710.815,3670.962
3543.648193,3550.93745713,3534.61906882,3527.893,3486.369
3382.395506,3391.11608843,3375.98527105,3354.27,3309.488
3370.5795,3380.03770896,3364.19045098,3335.964,3286.108
3373.658032,3383.59078124,3368.54752018,3330.435,3275.932
3493.32674,3502.91479162,3491.69785928,3444.756,3391.134
3641.064141,3649.70487313,3642.20509266,3590.659,3537.063
3925.428973,3932.14452749,3929.26121415,3885.148,3834.809
4218.96291,4224.38993695,4223.42770127,4199.026,4151.185
4502.190223,4506.55792234,4506.1377797,4514.053,4463.1
4787.704648,4789.98281968,4795.05893156,4815.427,4770.241
5047.139373,5048.30933948,5057.28550135,5078.778,5044.715
5307.265244,5307.4745644,5320.7968935,5344.158,5323.21
5540.11912,5540.39715725,5553.16846175,5572.833,5557.036
5785.541661,5786.05257978,5798.03610304,5813.243,5802.868
5986.169316,5987.83913341,5993.93452749,5998.62,5984.632
6075.119585,6079.44518378,6074.70892234,6071.54,6045.516
6120.853775,6127.82833679,6111.89296578,6096.527,6055.658
6167.770427,6177.52088351,6149.92918454,6121.766,6065.942
6184.121634,6196.00006421,6159.63213956,6119.723,6051.857
6201.068693,6215.12266667,6169.85949827,6117.797,6037.99
6196.371957,6211.83833526,6160.96547943,6102.14,6014.682
6201.16692,6217.80166244,6161.68590734,6093.638,5998.98
6217.391303,6234.20455363,6176.11144444,6102.738,6005.652
6248.35674,6265.24565821,6205.12875932,6127.577,6027.85
6298.319881,6314.64150596,6254.38621992,6177.304,6077.218
6375.298001,6390.7852253,6330.82217686,6254.84,6154.834
6463.373222,6478.02515955,6419.30466205,6343.381,6243.324
6582.903049,6595.98770434,6538.67450788,6469.894,6369.636
6666.920296,6679.10038408,6625.63840138,6554.002,6459.465
6772.58985,6783.30835525,6733.40163476,6665.774,6576.071
6854.8501,6864.44756671,6818.49687313,6753.856,6669.829
6882.230773,6891.22131603,6849.23505536,6785.111,6707.01
6890.571353,6899.16205998,6860.82710073,6797.19,6725.009
6898.937386,6907.12857439,6872.45662514,6809.28,6743.098
6905.803156,6913.66207266,6882.49653479,6819.902,6759.728
6912.591107,6920.12418993,6892.43668474,6830.376,6776.159
6918.809658,6926.10160246,6901.57799231,6840.193,6791.431
6925.063883,6932.11565552,6910.75491811,6850.042,6806.757
6930.519246,6937.44273779,6918.72883775,6858.943,6820.221
6919.109412,6925.74141945,6907.76702461,6850.793,6815.043
6907.297224,6913.74207536,6896.04031142,6841.971,6808.332
6895.487486,6901.74569819,6884.31838601,6833.147,6801.627
6884.075206,6890.22040254,6872.73711572,6824.546,6794.534
6872.668074,6878.70031373,6861.16296463,6815.947,6787.448
6861.858074,6867.85057901,6849.82319146,6807.871,6780.14
6851.52917,6857.4782103,6838.98783083,6800.939,6773.997
6841.847689,6847.7720965,6828.59880777,6794.01,6767.34
6832.206532,6838.10122914,6818.25015148,6787.204,6760.815
6823.401484,6829.28022914,6808.47284544,6781.471,6754.737
6814.605829,6820.46861053,6798.70515686,6775.755,6748.674
6805.701457,6811.56744867,6788.61173356,6770.128,6742.16
6796.808674,6802.67810035,6778.53057093,6764.521,6735.658
6786.745852,6792.65325529,6767.40424683,6757.234,6727.223
6776.669769,6782.61580623,6756.24657824,6749.961,6718.796
6768.245767,6774.25092772,6755.30750942,6740.785,6708.959
6949.308754,6945.98981161,6968.55897732,6728.407,6694.62
7318.456982,7306.60332872,7331.61819992,7600.776,7574.876
7592.788677,7580.90647251,7573.61544598,7598.229,7572.971
7630.982718,7630.12867782,7606.03114648,7598.389,7572.473
7630.463502,7636.90613226,7611.12751557,7598.587,7572.007
7630.518554,7636.94145252,7610.74979354,7599.129,7571.495
7630.579296,7636.9909258,7610.38257632,7599.672,7570.983
7630.274248,7636.73357555,7609.613604,7599.617,7569.587
7629.970554,7636.47796809,7608.84657247,7599.563,7568.192
7629.237686,7635.82756171,7607.68518839,7598.879,7566.023
7628.328193,7635.02170973,7606.3012649,7597.806,7563.451
7627.06955,7633.87730142,7604.59553864,7596.406,7560.654
7625.813226,7632.73492195,7602.89269358,7595.006,7557.86
7624.657263,7631.66996578,7601.40053479,7593.947,7555.798
7622.849573,7629.88240523,7599.37475971,7592.611,7553.631
7621.14707,7628.13654517,7597.70790773,7591.442,7552.226
7617.87797,7624.83107882,7594.34694079,7588.807,7549.258
7614.980838,7621.87797501,7591.42944752,7586.453,7546.941
7611.774756,7618.62918493,7588.16516647,7583.729,7544.205
7609.327443,7616.09874279,7585.89054787,7581.698,7542.729
7606.687301,7613.38262399,7583.28353633,7579.763,7540.994
7604.979739,7611.54989196,7581.912802,7578.584,7540.729
7603.235825,7609.68736601,7580.4894752,7577.341,7540.374
7602.357612,7608.62941484,7580.20489235,7576.767,7541.319
7601.554233,7607.65176009,7579.98331565,7576.245,7542.295
7601.847916,7607.71184698,7581.00943829,7576.691,7544.645
7602.273441,7607.90900538,7582.15778585,7577.24,7547.083
7604.480607,7609.83889812,7585.14316993,7579.574,7551.496
7606.599366,7611.68176817,7588.0314406,7581.811,7555.804
7610.193349,7614.96762092,7592.37621684,7585.581,7561.546
7613.770231,7618.23889658,7596.69754287,7589.308,7567.243
7618.167935,7622.33521992,7601.77154671,7593.773,7573.394
7622.47724,7626.34300692,7606.74988158,7598.158,7579.458
7626.361399,7629.96209496,7611.19413264,7602.038,7584.627
7630.518493,7633.85504806,7615.91437947,7606.191,7590.074
7633.618478,7636.75128604,7619.36132564,7609.509,7594.091
7637.474652,7640.40144637,7623.57324298,7613.65,7598.949
7640.226682,7642.99369627,7626.49285698,7616.854,7602.461
7642.981765,7645.58923952,7629.87409612,7620.059,7605.977
