BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
1971.21712,1967.77453595,1978.67382584,1952.853,1948.568
1971.387143,1967.97174933,1978.83826451,1952.879,1948.596
2017.707547,2014.87174548,2020.71555056,2013.661,2005.674
2081.135079,2078.90856363,2078.82231449,2091.134,2077.836
1972.464425,1971.53273702,1967.86282814,1985.888,1967.668
1877.085152,1877.26377086,1870.26107882,1893.53,1870.772
1796.411596,1797.63083506,1787.60387274,1812.717,1782.893
1721.058774,1723.1572253,1710.31975202,1737.06,1700.833
1714.110707,1716.70254748,1701.9545494,1729.898,1687.646
1718.033583,1720.90713572,1705.21094348,1732.34,1684.499
1783.093391,1785.54505152,1772.33032526,1797.089,1749.163
1827.41569,1829.99916263,1817.25635102,1843.058,1791.704
1950.29316,1952.27390504,1942.94719377,1974.638,1924.671
2110.837947,2111.53109496,2108.38773549,2142.071,2096.887
2290.964141,2290.68773203,2294.58468474,2330.839,2294.542
2497.58639,2496.2526782,2507.74972126,2548.913,2523.827
2691.894118,2690.25726105,2706.39913649,2749.7,2735.115
2890.904544,2888.96540062,2909.44961938,2954.376,2951.137
3063.345721,3062.02241138,3081.92244752,3122.005,3122.014
3245.184963,3244.57618262,3263.65830757,3298.16,3301.596
3388.79526,3389.63037178,3403.633609,3426.901,3425.651
3459.762691,3462.93382276,3465.85121492,3481.502,3467.765
3495.84767,3501.25309996,3493.22599769,3497.688,3469.627
3532.664556,3540.39269781,3521.11838831,3513.996,3471.489
3544.773791,3554.2169281,3526.5109208,3508.67,3454.759
3557.17248,3568.36108266,3532.11425375,3503.344,3438.051
3552.462549,3564.70909881,3522.93266513,3487.819,3415.177
3554.495348,3567.60032218,3520.90322299,3477.193,3397.797
3562.466386,3575.67876009,3527.28398885,3477.785,3396.399
3578.023706,3591.28200115,3541.28175471,3486.281,3403.067
3605.088331,3617.91164206,3568.17220031,3511.055,3428.473
3647.740715,3659.98266128,3611.34620953,3551.653,3470.693
3691.483972,3703.24876855,3656.49594156,3592.837,3513.743
3743.747424,3754.88751134,3711.06856594,3642.636,3566.747
3801.769919,3811.86033641,3772.06583083,3703.663,3633.468
3862.764248,3871.75911572,3836.51245444,3767.766,3703.72
3910.908954,3918.96625144,3888.33844214,3819.744,3761.799
3929.358766,3936.71109189,3909.85953941,3841.391,3788.2
3936.4412,3943.23206459,3919.60024952,3851.796,3802.96
3943.557601,3949.78310611,3929.38002191,3862.229,3817.79
3949.553833,3955.27203499,3937.94833333,3871.593,3831.529
3955.472745,3960.68820031,3946.42270973,3880.823,3845.087
3960.980381,3965.76778854,3954.28178854,3889.551,3857.68
3966.514602,3970.8741015,3962.16929104,3898.304,3870.317
3971.54426,3975.57034794,3969.23363783,3906.42,3881.538
3968.921915,3972.74399231,3966.90647136,3906.716,3884.312
3966.085644,3969.79349135,3964.06542368,3906.587,3885.921
3963.252553,3966.84662668,3961.2273687,3906.458,3887.531
3960.852607,3964.39621223,3958.60312226,3906.643,3888.929
3958.456201,3961.94949135,3955.98247712,3906.83,3890.329
3956.662334,3960.16772011,3953.65438716,3907.591,3891.662
3955.29088,3958.80521569,3951.76630219,3909.364,3894.012
3954.55677,3958.09503499,3950.34609496,3911.205,3895.993
3953.8496,3957.4073118,3948.95303191,3913.149,3898.086
3953.887363,3957.47563168,3948.07816878,3916.059,3900.608
3953.925448,3957.54420915,3947.20422991,3918.969,3903.131
3953.874764,3957.54016417,3946.04909189,3921.983,3905.288
3953.826817,3957.53880277,3944.89805729,3924.999,3907.446
3952.635321,3956.42806113,3942.67217878,3926.513,3907.857
3951.423614,3955.29779277,3940.40886813,3928.027,3908.266
3949.394837,3953.39254402,3941.43687082,3927.158,3906.584
4042.373541,4041.78633256,4049.31830334,3923.212,3900.553
4239.073987,4234.19806767,4240.6784506,4385.248,4361.281
4383.611511,4378.72122453,4365.70585236,4381.717,4358.316
4403.118443,4404.92611995,4382.65886621,4381.669,4357.668
4402.289385,4408.29061438,4384.91009189,4381.676,4357.063
4402.151561,4408.1354852,4384.38206382,4382.1,4356.515
4402.016993,4407.99103883,4383.86121646,4382.522,4355.966
4401.591065,4407.61127451,4383.01701922,4382.436,4354.654
4401.165832,4407.23224952,4382.1735298,4382.35,4353.343
4400.386567,4406.52974894,4381.00546828,4381.735,4351.386
4399.433037,4405.67148443,4379.62488428,4380.764,4349.058
4398.171157,4404.51380623,4377.96085006,4379.499,4346.53
4396.910854,4403.35749865,4376.29836947,4378.233,4344.007
4395.740681,4402.27085121,4374.82256401,4377.26,4342.119
4394.379116,4400.93020454,4373.25406344,4376.442,4340.535
4393.111269,4399.62866321,4371.9993887,4375.757,4339.601
4390.542434,4397.03291926,4369.32091465,4373.886,4337.38
4388.154118,4394.60143176,4366.89697232,4372.076,4335.561
4385.416251,4391.83238947,4364.09304191,4369.854,4333.29
4383.251699,4389.60330258,4362.06407997,4368.122,4332.004
4380.897074,4387.18939715,4359.75091003,4366.397,4330.489
4379.297978,4385.48929988,4358.4615371,4365.256,4330.178
4377.632768,4383.72874625,4357.09228105,4364.021,4329.754
4376.724279,4382.67247597,4356.72174394,4363.361,4330.458
4375.852722,4381.65789889,4356.3781757,4362.717,4331.16
4375.989996,4381.60008958,4357.17743483,4362.969,4333.117
4376.215644,4381.63520953,4358.05685083,4363.286,4335.127
4378.045198,4383.23093733,4360.5876905,4365.223,4338.923
4379.788158,4384.74150596,4363.02443829,4367.064,4342.614
4382.865844,4387.55881738,4366.77622876,4370.296,4347.604
4385.919635,4390.35441061,4370.49857286,4373.481,4352.543
4389.720754,4393.90201153,4374.9030173,4377.337,4357.895
4393.447266,4397.37480161,4379.22658285,4381.125,4363.173
4396.839915,4400.54596694,4383.11332872,4384.504,4367.692
4400.46579,4403.95129566,4387.2360792,4388.117,4372.448
4403.18584,4406.50340677,4390.25957785,4391.017,4375.967
4406.598135,4409.74547789,4393.98320492,4394.666,4380.249
4409.016924,4412.03379162,4396.54883237,4397.474,4383.337
4411.437962,4414.32434564,4398.19911957,4400.282,4386.446
