BILLY-25,MODEL-25
3735.171911,3732.12081738
3735.41922,3732.4040569
3829.753441,3827.68795117
3973.660423,3972.54566359
3874.37118,3876.03498116
3706.557355,3711.6160719
3543.648193,3550.93745713
3382.395506,3391.11608843
3370.5795,3380.03770896
3373.658032,3383.59078124
3493.32674,3502.91479162
3641.064141,3649.70487313
3925.428973,3932.14452749
4218.96291,4224.38993695
4502.190223,4506.55792234
4787.704648,4789.98281968
5047.139373,5048.30933948
5307.265244,5307.4745644
5540.11912,5540.39715725
5785.541661,5786.05257978
5986.169316,5987.83913341
6075.119585,6079.44518378
6120.853775,6127.82833679
6167.770427,6177.52088351
6184.121634,6196.00006421
6201.068693,6215.12266667
6196.371957,6211.83833526
6201.16692,6217.80166244
6217.391303,6234.20455363
6248.35674,6265.24565821
6298.319881,6314.64150596
6375.298001,6390.7852253
6463.373222,6478.02515955
6582.903049,6595.98770434
6666.920296,6679.10038408
6772.58985,6783.30835525
6854.8501,6864.44756671
6882.230773,6891.22131603
6890.571353,6899.16205998
6898.937386,6907.12857439
6905.803156,6913.66207266
6912.591107,6920.12418993
6918.809658,6926.10160246
6925.063883,6932.11565552
6930.519246,6937.44273779
6919.109412,6925.74141945
6907.297224,6913.74207536
6895.487486,6901.74569819
6884.075206,6890.22040254
6872.668074,6878.70031373
6861.858074,6867.85057901
6851.52917,6857.4782103
6841.847689,6847.7720965
6832.206532,6838.10122914
6823.401484,6829.28022914
6814.605829,6820.46861053
6805.701457,6811.56744867
6796.808674,6802.67810035
6786.745852,6792.65325529
6776.669769,6782.61580623
6768.245767,6774.25092772
6949.308754,6945.98981161
7318.456982,7306.60332872
7592.788677,7580.90647251
7630.982718,7630.12867782
7630.463502,7636.90613226
7630.518554,7636.94145252
7630.579296,7636.9909258
7630.274248,7636.73357555
7629.970554,7636.47796809
7629.237686,7635.82756171
7628.328193,7635.02170973
7627.06955,7633.87730142
7625.813226,7632.73492195
7624.657263,7631.66996578
7622.849573,7629.88240523
7621.14707,7628.13654517
7617.87797,7624.83107882
7614.980838,7621.87797501
7611.774756,7618.62918493
7609.327443,7616.09874279
7606.687301,7613.38262399
7604.979739,7611.54989196
7603.235825,7609.68736601
7602.357612,7608.62941484
7601.554233,7607.65176009
7601.847916,7607.71184698
7602.273441,7607.90900538
7604.480607,7609.83889812
7606.599366,7611.68176817
7610.193349,7614.96762092
7613.770231,7618.23889658
7618.167935,7622.33521992
7622.47724,7626.34300692
7626.361399,7629.96209496
7630.518493,7633.85504806
7633.618478,7636.75128604
7637.474652,7640.40144637
7640.226682,7642.99369627
7642.981765,7645.58923952
