PO-MODEL-0,PO-UCVM-0
4265.521,4259.28
4267.7168,4261.593
4489.9658,4481.405
4789.3159,4781.898
5080.8999,5075.758
5386.6499,5384.04
5663.4951,5665.014
5942.1641,5947.636
6165.8501,6176.123
6397.3872,6412.279
6515.9429,6531.253
6639.7881,6653.2
6626.6611,6636.728
6582.3809,6589.774
6491.9561,6498.046
6402.458,6408.157
6325.769,6331.959
6249.5288,6256.226
6204.0918,6210.749
6158.8848,6165.538
6135.5918,6142.165
6115.1021,6120.179
6102.2158,6106.475
6089.061,6092.495
6072.8262,6075.001
6053.7808,6054.441
6043.0498,6040.313
6038.9971,6033.813
6039.5928,6030.633
6041.001,6028.385
6062.2339,6046.702
6083.125,6064.991
6125.5479,6106.873
6171.6318,6152.509
6214.5811,6198.058
6261.7388,6247.934
6304.957,6294.894
6350.8208,6343.821
6376.3862,6371.844
6401.8198,6399.719
6413.603,6412.578
6425.2461,6425.275
6432.6948,6432.465
6440.0942,6439.602
6452.2842,6450.665
6449.2808,6446.701
6457.2241,6453.312
6464.689,6459.462
6486.0308,6479.552
6506.855,6499.182
6531.106,6522.507
6555.0171,6545.344
6585.3921,6575.492
6615.3828,6605.163
6645.207,6635.28
6675.1382,6665.505
6703.2959,6694.717
6731.5371,6724.028
6756.9199,6751.264
6782.356,6778.584
6805.5732,6804.152
6828.8809,6830.224
6852.4082,6855.804
6861.2329,6866.652
6879.019,6885.212
6896.8169,6903.793
6927.8809,6934.87
6959.666,6966.522
7001.6201,7008.516
7052.3428,7058.925
8116.1318,8119.303
8164.3511,8170.09
8192.3457,8199.255
8218.4336,8225.973
8232.0693,8239.051
8231.5957,8238.063
8219.3965,8224.628
8197.5986,8201.604
8175.9839,8178.597
8155.1802,8156.376
8134.3472,8134.129
8117.5552,8116.416
8102.04,8099.911
8087.231,8084.064
8071.356,8067.02
8056.2881,8050.694
8038.6982,8031.892
8022.4351,8014.415
8006.2358,7997.113
7989.6401,7979.42
7973.4629,7962.372
7957.1948,7945.215
7943.2842,7930.85
7928.1382,7915.193
7914.064,7901.133
7901.1382,7888.161
7889.165,7876.579
7878.6909,7866.449
7872.8589,7861.193
7867.2012,7856.512
