PO-MODEL-0,PO-UCVM-0
2653.9771,2663.566
2653.3521,2663.023
2787.834,2796.453
2966.72,2974.773
3117.4951,3126.464
3275.6621,3285.6
3414.686,3427.21
3554.3391,3569.483
3662.7041,3680.362
3778.199,3798.077
3828.8821,3848.074
3879.656,3897.126
3850.2351,3865.059
3806.156,3818.893
3731.292,3742.605
3646.468,3656.642
3578.6689,3587.884
3512.1189,3520.53
3476.6431,3483.278
3441.6279,3446.501
3425.9819,3428.667
3411.6299,3413.023
3403.4031,3404.038
3395.2971,3395.162
3383.262,3382.225
3361.2271,3359.482
3347.043,3343.12
3359.8049,3353.389
3365.0779,3355.626
3371.1721,3358.883
3393.6189,3379.128
3418.2639,3401.781
3460.0471,3443.106
3504.522,3487.087
3541.675,3526.43
3580.2109,3567.156
3606.293,3596.318
3628.645,3621.121
3632.938,3627.391
3637.2791,3633.702
3629.082,3626.325
3620.8279,3618.886
3608.428,3606.198
3596.1121,3593.641
3587.7549,3584.276
3586.1741,3581.956
3594.3501,3589.006
3602.3611,3595.886
3622.9209,3615.303
3643.252,3634.487
3666.365,3656.685
3689.0291,3678.09
3717.4651,3706.319
3745.218,3733.902
3772.95,3762.048
3800.7949,3790.317
3827.177,3817.804
3853.647,3845.39
3877.6541,3871.196
3901.7161,3897.074
3923.8989,3921.478
3946.3611,3946.495
3968.9331,3971.016
3976.7959,3980.572
3992.228,3996.648
4007.728,4012.803
4034.1709,4039.296
4061.0459,4066.146
4095.8,4101.018
4137.6621,4142.684
4816.8032,4820.333
4856.479,4862.041
4879.9961,4886.465
4902.0889,4909.044
4914.0879,4920.558
4915.896,4921.977
4908.3311,4913.437
4894.9189,4899.086
4879.5718,4882.637
4864.2661,4866.196
4848.7349,4849.526
4834.8989,4834.872
4821.7158,4820.679
4808.1938,4805.968
4793.9331,4790.544
4780.3062,4775.751
4765.1128,4759.472
4750.9121,4744.182
4737.1128,4729.388
4722.8989,4714.183
4709.3081,4699.809
4695.5298,4685.246
4683.7832,4673.119
4670.8711,4659.777
4658.7798,4647.693
4647.5742,4636.404
4637.0649,4626.14
4628.0259,4617.266
4622.8149,4612.397
4617.9092,4608.124
