BILLY-25,UCVM-25,UCVM-GTL-25
1708.185932,1688.43010035,736.665259516
2057.651876,2027.82404152,2027.82404152
2348.069389,2326.28921838,2326.28921838
2607.239393,2597.2269085,2597.2269085
2937.7894,2936.72002576,2936.72002576
3383.53509,3390.07490196,3390.07490196
3731.395652,3750.47479815,3750.47479815
4035.266201,4071.04891619,4071.04891619
4277.268812,4321.55733795,4321.55733795
4547.997878,4603.71908074,4603.71908074
4860.420861,4926.1385075,4926.1385075
5222.228435,5300.13869512,5300.13869512
5682.979127,5766.25573049,5766.25573049
5937.941819,6017.50320915,6017.50320915
6171.956332,6242.91701653,6242.91701653
6391.226959,6455.49557862,6455.49557862
6495.038058,6550.70758593,6550.70758593
6579.487339,6622.35530834,6622.35530834
6602.463702,6633.78344675,6633.78344675
6603.407486,6625.04828297,6625.04828297
6579.44564,6600.13447559,6600.13447559
6492.349704,6503.97376317,6503.97376317
6432.397474,6438.84156055,6438.84156055
6373.802364,6375.02131719,6375.02131719
6355.598212,6353.18097347,6353.18097347
6334.484756,6328.48194041,6328.48194041
6354.156644,6344.38750519,6344.38750519
6378.833233,6366.08540907,6366.08540907
6421.563199,6406.75312726,6406.75312726
6475.42699,6458.89423799,6458.89423799
6547.660261,6530.012797,6530.012797
6627.067024,6609.7214629,6609.7214629
6715.223929,6699.91216148,6699.91216148
6807.888105,6795.16723453,6795.16723453
6878.356382,6868.83090657,6868.83090657
6952.895356,6946.36851865,6946.36851865
7010.398581,7006.17062168,7006.17062168
7049.194206,7044.58861669,7044.58861669
7058.712241,7054.3777178,7054.3777178
7067.998531,7063.85441253,7063.85441253
7066.293433,7062.50613649,7062.50613649
7064.280746,7060.83567782,7060.83567782
7056.270588,7053.48290734,7053.48290734
7048.354633,7046.18412687,7046.18412687
7034.600334,7033.51823914,7033.51823914
6993.289389,6994.0734579,6994.0734579
6954.274072,6957.01668897,6957.01668897
6916.117324,6920.6763614,6920.6763614
6888.024998,6894.2591138,6894.2591138
6860.105125,6867.99567282,6867.99567282
6845.046797,6854.16395656,6854.16395656
6825.790381,6836.85228489,6836.85228489
6882.937712,6889.59654594,6889.59654594
7048.348239,7033.85314225,7033.85314225
7235.113426,7217.51905267,7217.51905267
7403.335029,7389.7586509,7389.7586509
7538.312664,7529.4418812,7529.4418812
7630.804129,7625.9550719,7625.9550719
7703.01386,7702.8177524,7702.8177524
7776.475544,7785.24340177,7785.24340177
7843.975625,7852.6374529,7852.6374529
7860.124479,7868.89918762,7868.89918762
7875.099927,7883.9760396,7883.9760396
7890.303933,7899.33702845,7899.33702845
7901.785586,7911.2176163,7911.2176163
7913.211522,7923.06350557,7923.06350557
7921.289954,7931.81184698,7931.81184698
7929.221476,7940.42140023,7940.42140023
7934.878116,7947.10940292,7947.10940292
7939.977009,7953.25651365,7953.25651365
7944.508927,7959.144411,7959.144411
7948.362872,7964.50749981,7964.50749981
7952.575217,7970.6481684,7970.6481684
7956.595982,7976.62173587,7976.62173587
7962.339796,7984.48393464,7984.48393464
7976.160965,7999.4983887,7999.4983887
7988.813745,8013.12349481,8013.12349481
7998.578278,8023.95939792,8023.95939792
8004.067013,8030.53978393,8030.53978393
8006.227528,8034.03849404,8034.03849404
8005.522787,8034.0636386,8034.0636386
8002.705386,8031.81927489,8031.81927489
7997.194033,8026.15932641,8026.15932641
7990.597009,8019.4616509,8019.4616509
7980.73915,8008.90185083,8008.90185083
7970.744029,7998.13782468,7998.13782468
7955.078304,7981.37634833,7981.37634833
7939.257574,7964.50098577,7964.50098577
7916.690334,7940.73634025,7940.73634025
7893.753372,7916.62207343,7916.62207343
7864.657597,7886.33503691,7886.33503691
7835.483237,7855.99324721,7855.99324721
7804.262611,7823.62986236,7823.62986236
7773.003633,7791.21603883,7791.21603883
7746.937632,7763.85073779,7763.85073779
7721.760181,7737.33557747,7737.33557747
7706.131588,7720.1196955,7720.1196955
7692.39396,7704.7543491,7704.7543491
7684.343779,7694.90914302,7694.90914302
7676.231761,7685.79161745,7685.79161745
