BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
1708.185932,1709.34685813,1688.43010035,1671.467,1652.164
2057.651876,2068.59446905,2027.82404152,2005.314,1948.814
2348.069389,2356.86495194,2326.28921838,2289.408,2243.117
2607.239393,2614.62415225,2597.2269085,2543.704,2503.875
2937.7894,2946.8604183,2936.72002576,2800.47,2768.299
3383.53509,3395.00556863,3390.07490196,3086.431,3084.157
3731.395652,3742.55925375,3750.47479815,3380.831,3395.441
4035.266201,4045.35717916,4071.04891619,3640.236,3678.785
4277.268812,4283.72653479,4321.55733795,3823.908,3893.237
4547.997878,4553.32468627,4603.71908074,4049.914,4159.561
4860.420861,4866.62644214,4926.1385075,4310.955,4463.004
5222.228435,5226.51553518,5300.13869512,4632.301,4823.037
5682.979127,5684.86405152,5766.25573049,4994.884,5187.432
5937.941819,5941.87809419,6017.50320915,5319.168,5489.467
6171.956332,6177.53356517,6242.91701653,5595.166,5722.522
6391.226959,6398.16979047,6455.49557862,5850.572,5937.096
6495.038058,6503.54984506,6550.70758593,5941.998,5999.761
6579.487339,6589.55986005,6622.35530834,5992.853,6234.879
6602.463702,6612.54758362,6633.78344675,5989.849,6475.352
6603.407486,6613.70522222,6625.04828297,6377.177,6449.158
6579.44564,6588.117797,6600.13447559,6382.557,6440.513
6492.349704,6500.15300846,6503.97376317,6318.13,6348.676
6432.397474,6438.26318454,6438.84156055,6297.21,6308.014
6373.802364,6377.92094233,6375.02131719,6275.632,6267.143
6355.598212,6357.72305152,6353.18097347,6302.837,6279.26
6334.484756,6334.71537063,6328.48194041,6326.105,6287.634
6354.156644,6352.77567551,6344.38750519,6392.258,6339.935
6378.833233,6375.98722645,6366.08540907,6460.408,6396.368
6421.563199,6417.93164898,6406.75312726,6536.122,6464.857
6475.42699,6470.91838216,6458.89423799,6622.501,6544.939
6547.660261,6543.15791426,6530.012797,6717.786,6636.133
6627.067024,6622.49611726,6609.7214629,6814.758,6733.385
6715.223929,6710.81585813,6699.91216148,6906.896,6829.747
6807.888105,6803.6302945,6795.16723453,6999.336,6929.089
6878.356382,6874.31365359,6868.83090657,7059.557,7000.137
6952.895356,6948.94809958,6946.36851865,7121.271,7073.912
7010.398581,7006.12122645,7006.17062168,7158.736,7124.08
7049.194206,7044.66186659,7044.58861669,7184.814,7156.385
7058.712241,7054.08899539,7054.3777178,7181.149,7157.642
7067.998531,7063.2803095,7063.85441253,7176.911,7158.3
7066.293433,7061.40979815,7062.50613649,7161.039,7146.335
7064.280746,7059.22304691,7060.83567782,7145.325,7134.419
7056.270588,7051.00286851,7053.48290734,7124.575,7117.365
7048.354633,7042.87609266,7046.18412687,7104.683,7100.975
7034.600334,7028.95839177,7033.51823914,7079.854,7080.081
6993.289389,6988.35661976,6994.0734579,7022.319,7027.333
6954.274072,6949.95763783,6957.01668897,6967.608,6977.473
6916.117324,6912.40108997,6920.6763614,6913.821,6928.289
6888.024998,6884.79800769,6894.2591138,6870.425,6889.336
6860.105125,6857.38353556,6867.99567282,6827.309,6850.605
6845.046797,6842.68882507,6854.16395656,6797.19,6823.8
6825.790381,6823.88094733,6836.85228489,6759.078,6789.168
6882.937712,6878.0921138,6889.59654594,6747.737,6780.855
7048.348239,7040.21277163,7033.85314225,6729.851,6767.488
7235.113426,7223.7200223,7217.51905267,7358.394,7360.465
7403.335029,7390.75814187,7389.7586509,7411.171,7415.027
7538.312664,7525.24153633,7529.4418812,7479.448,7485.492
7630.804129,7620.04622991,7625.9550719,7550.388,7558.735
7703.01386,7696.13403268,7702.8177524,7623.764,7633.276
7776.475544,7775.92786659,7785.24340177,7698.722,7709.163
7843.975625,7844.87015802,7852.6374529,7770.96,7781.728
7860.124479,7860.34800231,7868.89918762,7790.156,7801.942
7875.099927,7874.68123991,7883.9760396,7815.962,7828.345
7890.303933,7889.25280507,7899.33702845,7842.7,7855.899
7901.785586,7900.27901922,7911.2176163,7866.001,7880.325
