BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
860.0582672,861.419682045,854.38912995,844.564,836.99
1019.59854,1026.94682161,1009.46232949,987.985,960.858
1212.621592,1219.77383237,1203.70122991,1171.214,1144.986
1422.700846,1429.12661669,1417.37655632,1356.75,1332.741
1684.242349,1689.8846213,1682.78890196,1542.016,1519.575
2029.761042,2034.97640869,2027.10179854,1817.956,1812.395
2232.654414,2235.61604306,2229.93089696,2000.554,2003.697
2380.190354,2381.24150519,2385.05048866,2157.817,2174.655
2483.358601,2483.40210304,2492.34660323,2257.436,2290.67
2592.735233,2593.75256978,2610.64742022,2374.852,2428.714
2759.135217,2763.47029527,2789.57805921,2522.927,2601.536
3002.20421,3003.88371857,3041.72577547,2695.32,2797.121
3346.335798,3345.03974817,3394.24411419,2899.169,3008.766
3505.949308,3507.01498885,3556.83537447,3086.252,3190.608
3666.973218,3669.64749327,3714.52130258,3259.589,3334.773
3802.776724,3807.21665821,3848.30189696,3410.683,3461.86
3853.923891,3860.31871819,3894.02823068,3466.199,3497.667
3889.344464,3897.62263552,3921.18482238,3498.609,3645.953
3869.739158,3878.68709842,3894.13580046,3487.165,3758.098
3833.30421,3843.02486736,3851.92063091,3667.167,3700.944
3777.545359,3786.54587313,3795.79855325,3631.972,3654.808
3705.392034,3713.63246444,3717.81162937,3564.44,3575.049
3649.24461,3655.83844098,3658.82106498,3527.04,3530.807
3594.565025,3599.62528374,3601.23341715,3490.371,3487.402
3565.708193,3569.0443564,3570.85958516,3486.015,3479.688
3535.253998,3536.94370473,3539.23632718,3480.399,3471.116
3533.634402,3533.94138447,3536.39150173,3504.032,3492.872
3536.50659,3535.47997732,3537.16624683,3529.936,3515.72
3556.789812,3555.09777739,3555.39647866,3569.864,3552.827
3583.229881,3580.82824529,3579.50445329,3618.77,3597.829
3623.65301,3621.38123606,3617.22254325,3676.716,3650.989
3671.519158,3669.31464821,3662.23092695,3744.968,3713.243
3724.05722,3722.21824337,3712.31035717,3811.486,3773.657
3782.495552,3780.96271165,3768.42992772,3885.086,3841.192
3827.178651,3825.97013649,3812.18582891,3937.188,3890.545
3876.973902,3875.94548558,3861.20085544,3995.061,3945.881
3915.150431,3913.81955748,3900.08580008,4034.773,3986.313
3943.384802,3941.70041984,3929.74498231,4059.017,4014.641
