BILLY-25,MODEL-25
1708.185932,1709.34685813
2057.651876,2068.59446905
2348.069389,2356.86495194
2607.239393,2614.62415225
2937.7894,2946.8604183
3383.53509,3395.00556863
3731.395652,3742.55925375
4035.266201,4045.35717916
4277.268812,4283.72653479
4547.997878,4553.32468627
4860.420861,4866.62644214
5222.228435,5226.51553518
5682.979127,5684.86405152
5937.941819,5941.87809419
6171.956332,6177.53356517
6391.226959,6398.16979047
6495.038058,6503.54984506
6579.487339,6589.55986005
6602.463702,6612.54758362
6603.407486,6613.70522222
6579.44564,6588.117797
6492.349704,6500.15300846
6432.397474,6438.26318454
6373.802364,6377.92094233
6355.598212,6357.72305152
6334.484756,6334.71537063
6354.156644,6352.77567551
6378.833233,6375.98722645
6421.563199,6417.93164898
6475.42699,6470.91838216
6547.660261,6543.15791426
6627.067024,6622.49611726
6715.223929,6710.81585813
6807.888105,6803.6302945
6878.356382,6874.31365359
6952.895356,6948.94809958
7010.398581,7006.12122645
7049.194206,7044.66186659
7058.712241,7054.08899539
7067.998531,7063.2803095
7066.293433,7061.40979815
7064.280746,7059.22304691
7056.270588,7051.00286851
7048.354633,7042.87609266
7034.600334,7028.95839177
6993.289389,6988.35661976
6954.274072,6949.95763783
6916.117324,6912.40108997
6888.024998,6884.79800769
6860.105125,6857.38353556
6845.046797,6842.68882507
6825.790381,6823.88094733
6882.937712,6878.0921138
7048.348239,7040.21277163
7235.113426,7223.7200223
7403.335029,7390.75814187
7538.312664,7525.24153633
7630.804129,7620.04622991
7703.01386,7696.13403268
7776.475544,7775.92786659
7843.975625,7844.87015802
7860.124479,7860.34800231
7875.099927,7874.68123991
7890.303933,7889.25280507
7901.785586,7900.27901922
7913.211522,7911.25288428
7921.289954,7919.03052749
7929.221476,7926.66232449
7934.878116,7932.16190888
7939.977009,7937.10664667
7944.508927,7941.60276894
7948.362872,7945.43071088
7952.575217,7949.69869512
7956.595982,7953.77836947
7962.339796,7959.61146021
7976.160965,7973.3377178
7988.813745,7985.88408804
7998.578278,7995.43976509
8004.067013,8000.82350404
8006.227528,8002.89986697
8005.522787,8002.21838793
8002.705386,7999.33796847
7997.194033,7993.89648597
7990.597009,7987.36590811
7980.73915,7977.64066628
7970.744029,7967.80139562
7955.078304,7952.3150792
7939.257574,7936.70110458
7916.690334,7914.33031257
7893.753372,7891.59572357
7864.657597,7862.59367282
7835.483237,7833.51618416
7804.262611,7802.20127566
7773.003633,7770.83932026
7746.937632,7744.43136947
7721.760181,7718.92042138
7706.131588,7702.85393849
7692.39396,7688.68418839
7684.343779,7680.24497116
7676.231761,7671.75645136
