BILLY-25,UCVM-25
860.0582672,854.38912995
1019.59854,1009.46232949
1212.621592,1203.70122991
1422.700846,1417.37655632
1684.242349,1682.78890196
2029.761042,2027.10179854
2232.654414,2229.93089696
2380.190354,2385.05048866
2483.358601,2492.34660323
2592.735233,2610.64742022
2759.135217,2789.57805921
3002.20421,3041.72577547
3346.335798,3394.24411419
3505.949308,3556.83537447
3666.973218,3714.52130258
3802.776724,3848.30189696
3853.923891,3894.02823068
3889.344464,3921.18482238
3869.739158,3894.13580046
3833.30421,3851.92063091
3777.545359,3795.79855325
3705.392034,3717.81162937
3649.24461,3658.82106498
3594.565025,3601.23341715
3565.708193,3570.85958516
3535.253998,3539.23632718
3533.634402,3536.39150173
3536.50659,3537.16624683
3556.789812,3555.39647866
3583.229881,3579.50445329
3623.65301,3617.22254325
3671.519158,3662.23092695
3724.05722,3712.31035717
3782.495552,3768.42992772
3827.178651,3812.18582891
3876.973902,3861.20085544
3915.150431,3900.08580008
3943.384802,3929.74498231
3950.17406,3938.82527413
3957.104987,3947.99563014
3956.709631,3949.8086832
3956.112868,3951.45313341
3951.142661,3948.98808766
3946.436225,3946.77549173
3936.89446,3940.22952864
3904.835409,3909.51971242
3874.580527,3880.78793426
3845.009889,3852.63368051
3824.238762,3833.21866398
3803.68278,3814.00945483
3794.30286,3805.76902884
3782.155755,3795.26358747
3837.056817,3843.59722453
3968.161157,3955.10690081
4104.133749,4089.01986621
4223.174802,4212.9648639
4318.193303,4313.07257324
4381.416378,4379.58224567
4430.36208,4431.65294733
4480.338608,4487.68649212
4525.598058,4532.79214379
4540.802549,4548.0156313
4554.801265,4562.02400115
4569.984148,4577.29675586
4582.10313,4589.71838062
4594.000062,4601.94441869
4602.628531,4611.12324606
4610.572488,4619.65248827
4616.329596,4626.27183353
4621.737009,4632.52809689
4626.929423,4638.79520031
4631.636617,4644.69116071
4636.650181,4651.2241534
4641.558608,4657.6747524
4647.918112,4665.69419915
4662.344145,4681.04210957
4676.024952,4695.41607228
4688.200688,4708.39180623
4695.738927,4716.73075317
4699.838301,4721.90024298
4701.132357,4723.78920723
4700.593629,4723.76905921
4697.700319,4720.74804998
4693.930323,4716.81471396
4687.540188,4709.74645521
4680.758255,4702.29359208
4669.07471,4689.71270396
4657.141711,4676.92392926
4639.407124,4658.23471895
4621.279181,4639.17067013
4597.85709,4614.81952518
4574.279896,4590.33591542
4548.919316,4564.10631872
4523.470511,4537.78673587
4502.444048,4515.7747474
4482.179777,4494.50252672
4470.059131,4481.12101192
4459.71341,4469.46029566
4453.63907,4461.91781315
4447.276409,4455.06120377
