PO-MODEL-0,PO-UCVM-0
5515.6279,5518.057
5515.6519,5518.08
5505.5352,5508.67
5562.0498,5565.963
5618.6191,5622.787
5674.8809,5679.314
5721.9922,5726.351
5760.8682,5765.154
5815.5679,5819.724
5880.938,5885.0
5955.2261,5959.308
6034.1362,6038.334
6110.4048,6114.64
6173.2598,6177.381
6222.7002,6226.466
6257.0449,6260.26
6278.583,6281.107
6296.3442,6298.218
6314.4048,6315.645
6332.4629,6333.069
6350.417,6350.469
6352.3779,6352.201
6354.5698,6354.222
6356.7651,6356.248
6359.9409,6359.309
6363.853,6363.125
6369.396,6368.621
6373.0498,6372.215
6384.9048,6384.124
6404.71,6403.926
6433.0972,6432.422
6470.3828,6469.809
6515.4092,6515.063
6563.3608,6563.25
6609.0381,6609.198
6655.3638,6655.796
6693.896,6694.546
6709.8872,6710.734
6717.98,6718.974
6726.0098,6727.158
6732.5962,6733.821
6739.2168,6740.534
6744.7681,6746.101
6750.3218,6751.671
6755.3208,6756.623
6758.5688,6759.822
6761.2852,6762.463
6764.0,6765.103
6766.3511,6767.368
6768.7061,6769.635
6770.0161,6770.884
6772.4629,6773.132
6774.7368,6775.341
6991.5132,6953.949
7501.6392,7502.244
7550.7378,7551.353
7599.9092,7600.472
7649.0811,7649.588
7698.5928,7699.003
7748.0972,7748.409
7797.6919,7797.92
7800.062,7800.24
7802.4648,7802.594
7804.8428,7804.919
7807.2241,7807.295
7809.623,7809.676
7812.2568,7812.322
7814.9058,7814.978
7817.8521,7817.948
7820.8042,7820.922
7824.2842,7824.426
7827.5391,7827.704
7831.1738,7831.35
7834.8101,7834.996
7838.7412,7838.921
7840.8628,7841.179
7843.5928,7843.992
7850.0439,7850.312
7853.7998,7854.098
7857.5542,7857.876
7861.4341,7861.759
7865.2002,7865.529
7868.8721,7869.18
7872.5542,7872.839
7876.022,7876.26
7879.5151,7879.703
7882.7222,7882.843
7885.9561,7886.005
7889.0249,7888.994
7892.0898,7891.978
7895.1162,7894.938
7898.1338,7897.888
7901.1792,7900.888
7904.2202,7903.885
7907.2202,7906.861
7910.2661,7909.878
7913.3472,7912.93
7916.5752,7916.122
7919.8569,7919.362
7923.1401,7922.538
