PO-MODEL-0,PO-UCVM-0
3191.3311,3192.5
3191.3501,3192.52
3182.79,3184.544
3214.1079,3216.474
3245.501,3248.032
3276.6179,3279.317
3302.446,3305.03
3323.2029,3325.678
3354.469,3356.795
3392.958,3395.147
3438.7739,3440.91
3488.948,3491.032
3538.6951,3540.59
3580.5859,3582.078
3614.4431,3615.21
3639.425,3639.154
3655.554,3654.14
3668.4819,3666.033
3681.625,3678.142
3694.7549,3690.237
3707.8491,3702.36
3703.748,3698.379
3699.9241,3694.725
3696.1001,3691.07
3693.1631,3688.348
3687.937,3683.463
3684.147,3680.055
3687.2759,3683.296
3690.4961,3686.999
3698.929,3695.816
3713.136,3710.489
3733.0129,3730.848
3758.166,3756.599
3785.6951,3784.708
3812.646,3812.199
3840.3369,3840.412
3863.77,3864.238
3874.3911,3875.072
3880.0559,3880.877
3885.782,3886.733
3890.2581,3891.275
3894.7671,3895.863
3898.355,3899.465
3901.946,3903.069
3905.061,3906.143
3907.1179,3908.157
3908.728,3909.701
3910.3369,3911.244
3911.635,3912.465
3912.9331,3913.686
3913.2991,3913.998
3914.667,3915.197
3915.8721,3916.35
4039.8669,4018.486
4331.7939,4332.281
4359.7949,4360.298
4387.9102,4388.37
4416.021,4416.436
4444.4419,4444.776
4472.8579,4473.109
4501.3789,4501.557
4502.5459,4502.682
4503.771,4503.864
4504.9702,4505.016
4506.167,4506.209
4507.3599,4507.389
4508.7749,4508.815
4510.1958,4510.243
4511.8892,4511.955
4513.583,4513.668
4515.7432,4515.849
4517.6982,4517.823
4519.981,4520.116
4522.2642,4522.408
4524.8052,4524.943
4526.2368,4526.465
4528.0698,4528.349
4531.9668,4532.189
4534.3442,4534.592
4536.7212,4536.991
4539.209,4539.484
4541.5981,4541.878
4543.9072,4544.169
4546.2251,4546.467
4548.3579,4548.561
4550.5151,4550.675
4552.4229,4552.526
4554.355,4554.397
4556.145,4556.118
4557.9312,4557.834
4559.686,4559.531
4561.4331,4561.219
4563.2021,4562.951
4564.9692,4564.68
4566.7002,4566.39
4568.4712,4568.137
4570.271,4569.913
4572.2002,4571.811
4574.1758,4573.751
4576.1528,4575.636
