BILLY-25,UCVM-25,UCVM-GTL-25
5600.672165,5519.52134641,840.33161015
5600.671207,5519.52160361,5519.52160361
5589.85148,5512.13377778,5512.13377778
5646.326847,5571.61375625,5571.61375625
5503.974756,5423.33876163,5423.33876163
5375.707478,5287.66218993,5287.66218993
5245.048973,5148.55651596,5148.55651596
5083.763576,4976.23408266,4976.23408266
5067.726428,4960.87984737,4960.87984737
5033.906886,4919.60175433,4919.60175433
5092.206878,4981.86105421,4981.86105421
5137.746774,5030.70191465,5030.70191465
5260.65489,5162.01672933,5162.01672933
5407.191592,5319.24924029,5319.24924029
5591.86083,5515.42124145,5515.42124145
5779.733018,5716.37059323,5716.37059323
5982.094983,5928.52456747,5928.52456747
6146.808251,6100.20258401,6100.20258401
6315.574218,6274.48034717,6274.48034717
6494.345967,6459.71447943,6459.71447943
6647.608766,6619.51849481,6619.51849481
6787.386309,6762.96356747,6762.96356747
6896.615629,6875.56042368,6875.56042368
7007.627878,6989.60822491,6989.60822491
7074.242399,7059.00239369,7059.00239369
7136.315563,7124.74740369,7124.74740369
7163.256909,7154.74746098,7154.74746098
7190.124802,7184.76509842,7184.76509842
7204.096559,7200.95734371,7200.95734371
7223.361619,7222.35762514,7222.35762514
7238.443249,7238.77212072,7238.77212072
7261.286713,7263.0844629,7263.0844629
7293.112238,7295.88612572,7295.88612572
7323.443626,7327.81369204,7327.81369204
7338.011588,7344.07976778,7344.07976778
7351.430331,7359.01708651,7359.01708651
7355.015502,7363.37044175,7363.37044175
7338.723845,7347.92619685,7347.92619685
7315.843468,7325.48595694,7325.48595694
7293.100177,7303.17816032,7303.17816032
7270.276628,7280.4156263,7280.4156263
7247.736121,7257.93605767,7257.93605767
7225.42035,7235.45089812,7235.45089812
7203.232799,7213.0932326,7213.0932326
7181.373629,7190.9532945,7190.9532945
7157.171423,7166.37231488,7166.37231488
7133.585033,7142.34273203,7142.34273203
7110.207416,7118.53358247,7118.53358247
7088.030381,7095.84278893,7095.84278893
7066.064464,7073.37457401,7073.37457401
7046.79915,7053.74819454,7053.74819454
7028.851726,7035.50419493,7035.50419493
7012.22391,7018.44812957,7018.44812957
6995.609396,7001.42653479,7001.42653479
6981.299469,6986.66166513,6986.66166513
6967.098274,6972.013208,6972.013208
6955.145536,6959.5846782,6959.5846782
6943.291292,6947.26091926,6947.26091926
6932.767509,6936.21511803,6936.21511803
6922.319431,6925.2519258,6925.2519258
6910.53283,6912.77521761,6912.77521761
6899.970111,6901.58560015,6901.58560015
6884.616551,6885.22189081,6885.22189081
6866.699435,6866.31385083,6866.31385083
6937.178862,6947.93312341,6947.93312341
7483.264614,7488.41204421,7488.41204421
7825.431088,7817.69637678,7817.69637678
7810.972561,7804.98257747,7804.98257747
7802.494575,7795.97318416,7795.97318416
7794.047163,7786.99749289,7786.99749289
7791.396571,7784.11525952,7784.11525952
7788.906644,7781.39157247,7781.39157247
7789.395202,7781.75854902,7781.75854902
7789.879319,7782.12118724,7782.12118724
7791.856663,7784.00500884,7784.00500884
7794.587682,7786.52757132,7786.52757132
7797.2191,7788.99369858,7788.99369858
7799.345652,7790.89861899,7790.89861899
7800.467193,7791.91538677,7791.91538677
7800.969346,7792.34350827,7792.34350827
7800.765083,7792.12621569,7792.12621569
7800.100746,7791.45925644,7791.45925644
7799.240654,7790.66717301,7790.66717301
7798.187624,7789.69371895,7789.69371895
7797.411038,7789.00722376,7789.00722376
7796.571792,7788.26636101,7788.26636101
7796.017589,7787.7700446,7787.7700446
7795.48286,7787.29993849,7787.29993849
7795.343764,7787.17177163,7787.17177163
7795.07361,7786.9162822,7786.9162822
7794.725682,7786.54526028,7786.54526028
7794.34183,7786.14037832,7786.14037832
7793.740173,7785.46423106,7785.46423106
7793.033156,7784.68109073,7784.68109073
7791.735125,7783.22891619,7783.22891619
7790.674298,7782.011599,7782.011599
7789.278139,7780.33130142,7780.33130142
7788.526947,7779.2643514,7779.2643514
7787.643637,7777.98779969,7777.98779969
7786.76506,7776.38063629,7776.38063629
