BILLY-25,UCVM-25,UCVM-GTL-25
3241.470142,3184.13790119,207.150270281
3241.469066,3184.1375644,3184.1375644
3221.837232,3163.92018416,3163.92018416
3242.914987,3184.13028066,3184.13028066
3093.70797,3026.85178547,3026.85178547
2959.273956,2885.62395579,2885.62395579
2849.904279,2772.43498116,2772.43498116
2739.661849,2657.20866974,2657.20866974
2722.3595,2640.44181161,2640.44181161
2697.266894,2611.70804421,2611.70804421
2728.115317,2644.8025148,2644.8025148
2753.62451,2671.99079815,2671.99079815
2827.33351,2750.04900115,2750.04900115
2913.991373,2842.43161553,2842.43161553
3027.339516,2961.75996463,2961.75996463
3145.80526,3087.25129373,3087.25129373
3287.582388,3235.18258208,3235.18258208
3431.065021,3385.51424837,3385.51424837
3579.116678,3539.41570934,3539.41570934
3733.69321,3700.46584814,3700.46584814
3864.239293,3837.38981392,3837.38981392
3991.274383,3968.16074048,3968.16074048
4089.397859,4069.61918647,4069.61918647
4181.49729,4165.69987197,4165.69987197
4234.102918,4222.17000115,4222.17000115
4282.733076,4274.90703037,4274.90703037
4304.755536,4299.71895579,4299.71895579
4325.716521,4323.46408843,4323.46408843
4336.623626,4336.17903306,4336.17903306
4350.706717,4352.03323683,4352.03323683
4362.033491,4364.38437601,4364.38437601
4378.414048,4381.96416148,4381.96416148
4404.536513,4408.73114494,4408.73114494
4431.068174,4436.26298424,4436.26298424
4445.652722,4451.93443868,4451.93443868
4458.454664,4466.12882161,4466.12882161
4462.226324,4471.34238639,4471.34238639
4449.172864,4459.53519262,4459.53519262
4429.359642,4440.25813226,4440.25813226
4409.579777,4421.00469973,4421.00469973
4389.691469,4401.33880854,4401.33880854
4370.010657,4381.8803391,4381.8803391
4350.458231,4362.36433948,4362.36433948
4330.98847,4342.93124683,4342.93124683
4311.733114,4323.6231634,4323.6231634
4288.421411,4299.79123222,4299.79123222
4265.539869,4276.33418493,4276.33418493
4242.778497,4253.00267974,4253.00267974
4220.957101,4230.53997847,4230.53997847
4199.25511,4208.20305267,4208.20305267
4179.791792,4188.21254133,4188.21254133
4161.387301,4169.33001845,4169.33001845
4144.008897,4151.3892649,4151.3892649
4126.647459,4133.46408228,4133.46408228
4111.21484,4117.42670896,4117.42670896
4095.84025,4101.45126644,4101.45126644
4082.367101,4087.35225875,4087.35225875
4068.944998,4073.30755978,4073.30755978
4056.651492,4060.34369512,4060.34369512
4044.395625,4047.42122453,4047.42122453
4030.987205,4033.19091734,4033.19091734
4018.580127,4020.00966936,4020.00966936
4001.936455,4002.2508093,4002.2508093
3986.4513,3985.91091888,3985.91091888
4020.331899,4025.80553556,4025.80553556
4327.365398,4329.11941869,4329.11941869
4517.549535,4511.53099116,4511.53099116
4503.709958,4498.35626797,4498.35626797
4495.494479,4489.68109381,4489.68109381
4487.290154,4481.01916801,4481.01916801
4484.168447,4477.69905575,4477.69905575
4481.188082,4474.51863053,4474.51863053
4480.800846,4474.02981084,4474.02981084
4480.412695,4473.5402276,4473.5402276
4481.321715,4474.37293925,4474.37293925
4483.072803,4475.94322799,4475.94322799
4484.737009,4477.46560631,4477.46560631
4485.952092,4478.4989481,4478.4989481
4486.245136,4478.70353672,4478.70353672
4485.96298,4478.35919185,4478.35919185
4485.037128,4477.42292118,4477.42292118
4483.697624,4476.08202345,4476.08202345
4482.168674,4474.61238485,4474.61238485
4480.451465,4472.96446367,4472.96446367
4478.965952,4471.55716378,4471.55716378
4477.411553,4470.08832065,4470.08832065
4476.103022,4468.82998731,4468.82998731
4474.798774,4467.58206267,4467.58206267
4473.829558,4466.62240292,4466.62240292
4472.741357,4465.54687159,4465.54687159
4471.577486,4464.36245713,4464.36245713
4470.377505,4463.14382507,4463.14382507
4468.971261,4461.67172434,4461.67172434
4467.472937,4460.10601115,4460.10601115
4465.445629,4457.94251749,4457.94251749
4463.623099,4455.98157709,4455.98157709
4461.495625,4453.60359016,4453.60359016
4459.944187,4451.7737451,4451.7737451
4458.260807,4449.74388389,4449.74388389
4456.5795,4447.4484975,4447.4484975
