BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
5600.672165,5603.06378393,5519.52134641,5658.77,5547.779
5600.671207,5603.06279508,5519.52160361,5658.769,5547.779
5589.85148,5593.94273702,5512.13377778,5611.861,5502.752
5646.326847,5652.20182507,5571.61375625,5630.563,5522.611
5503.974756,5513.52367166,5423.33876163,5451.962,5338.345
5375.707478,5388.67948443,5287.66218993,5295.984,5178.956
5245.048973,5260.49480085,5148.55651596,5161.009,5034.57
5083.763576,5102.21759516,4976.23408266,4978.995,4835.804
5067.726428,5087.00558977,4960.87984737,4943.659,4800.53
5033.906886,5054.20639562,4919.60175433,4905.569,4755.406
5092.206878,5112.17473318,4981.86105421,4960.423,4814.284
5137.746774,5157.67977432,5030.70191465,4999.449,4857.422
5260.65489,5279.42724837,5162.01672933,5124.037,4990.406
5407.191592,5424.21368128,5319.24924029,5268.065,5145.603
5591.86083,5606.68815802,5515.42124145,5458.713,5349.106
5779.733018,5792.2510446,5716.37059323,5657.624,5563.496
5982.094983,5992.31393502,5928.52456747,5875.142,5793.269
6146.808251,6155.3322203,6100.20258401,6045.761,5971.018
6315.574218,6322.49826451,6274.48034717,6225.185,6157.824
6494.345967,6499.51347828,6459.71447943,6415.975,6357.497
6647.608766,6651.32790427,6619.51849481,6591.509,6542.705
6787.386309,6789.3883441,6762.96356747,6745.958,6704.306
6896.615629,6897.25376817,6875.56042368,6869.167,6834.857
7007.627878,7006.83394502,6989.60822491,6997.411,6971.091
7074.242399,7072.27771703,7059.00239369,7082.914,7063.08
7136.315563,7133.20335755,7124.74740369,7169.949,7157.201
7163.256909,7159.38802845,7154.74746098,7211.377,7204.584
7190.124802,7185.58298347,7184.76509842,7249.596,7249.377
7204.096559,7199.04843022,7200.95734371,7267.139,7271.11
7223.361619,7217.8212526,7222.35762514,7288.583,7296.451
7238.443249,7232.51662899,7238.77212072,7303.628,7312.975
7261.286713,7254.95237639,7263.0844629,7326.641,7337.338
7293.112238,7286.34935986,7295.88612572,7361.102,7372.195
7323.443626,7316.28196348,7327.81369204,7393.667,7407.718
7338.011588,7330.72985852,7344.07976778,7407.128,7424.435
7351.430331,7344.10154364,7359.01708651,7419.357,7439.079
7355.015502,7347.75449827,7363.37044175,7422.363,7443.256
7338.723845,7331.51909227,7347.92619685,7405.74,7427.75
7315.843468,7308.74786736,7325.48595694,7382.312,7404.84
7293.100177,7286.11369243,7303.17816032,7359.007,7382.051
7270.276628,7263.45296002,7280.4156263,7335.397,7358.391
7247.736121,7241.07249327,7257.93605767,7312.04,7335.005
7225.42035,7218.94939523,7235.45089812,7288.618,7311.212
7203.232799,7196.95334218,7213.0932326,7265.326,7287.552
7181.373629,7175.2972995,7190.9532945,7242.037,7263.724
7157.171423,7151.30801576,7166.37231488,7216.34,7237.378
7133.585033,7127.94110573,7142.34273203,7190.92,7211.262
7110.207416,7104.78049981,7118.53358247,7165.728,7185.391
7088.030381,7082.81685659,7095.84278893,7141.822,7160.719
7066.064464,7061.06176201,7073.37457401,7118.143,7136.288
7046.79915,7041.99585698,7053.74819454,7097.042,7114.708
7028.851726,7024.22353825,7035.50419493,7076.968,7094.297
7012.22391,7007.76731795,7018.44812957,7058.557,7075.304
6995.609396,6991.32515725,7001.42653479,7040.274,7056.451
6981.299469,6977.16709496,6986.66166513,7024.357,7039.792
6967.098274,6963.11632141,6972.013208,7008.566,7023.273
6955.145536,6951.30791503,6959.5846782,6995.097,7008.921
6943.291292,6939.59641484,6947.26091926,6981.743,6994.697
6932.767509,6929.22886159,6936.21511803,6969.666,6981.645
6922.319431,6918.93588735,6925.2519258,6957.684,6968.701
6910.53283,6907.34839639,6912.77521761,6944.065,6953.923
6899.970111,6896.95602115,6901.58560015,6931.37,6940.139
6884.616551,6881.85204498,6885.22189081,6913.464,6920.473
6866.699435,6864.17926413,6866.31385083,6893.074,6898.359
6937.178862,6934.94525452,6947.93312341,6867.32,6869.955
7483.264614,7472.62588543,7488.41204421,7865.022,7865.036
7825.431088,7820.44260707,7817.69637678,7846.65,7844.452
7810.972561,7809.33972818,7804.98257747,7830.58,7826.203
7802.494575,7801.02846521,7795.97318416,7821.227,7815.524
7794.047163,7792.74804691,7786.99749289,7811.907,7804.884
7791.396571,7790.2384506,7784.11525952,7808.651,7800.848
7788.906644,7787.87809458,7781.39157247,7805.659,7796.971
7789.395202,7788.49145867,7781.75854902,7805.745,7796.428
7789.879319,7789.10058785,7782.12118724,7805.824,7795.881
7791.856663,7791.20868358,7784.00500884,7807.37,7796.889
7794.587682,7794.10389273,7786.52757132,7809.387,7798.251
7797.2191,7796.89666936,7788.99369858,7811.229,7799.656
7799.345652,7799.18360438,7790.89861899,7812.408,7800.271
7800.467193,7800.43788581,7791.91538677,7812.572,7800.062
7800.969346,7801.06491003,7792.34350827,7812.178,7799.324
7800.765083,7800.96598693,7792.12621569,7811.045,7798.001
7800.100746,7800.40194502,7791.45925644,7809.536,7796.299
7799.240654,7799.62533872,7790.66717301,7807.978,7794.721
7798.187624,7798.65292657,7789.69371895,7806.253,7792.991
7797.411038,7797.946005,7789.00722376,7804.909,7791.733
7796.571792,7797.17429642,7788.26636101,7803.518,7790.439
7796.017589,7796.67897347,7787.7700446,7802.545,7789.585
7795.48286,7796.20109227,7787.29993849,7801.611,7788.779
7795.343764,7796.10779431,7787.17177163,7801.152,7788.461
7795.07361,7795.88269319,7786.9162822,7800.572,7788.027
7794.725682,7795.57355479,7786.54526028,7799.811,7787.429
7794.34183,7795.22764552,7786.14037832,7799.03,7786.814
7793.740173,7794.66729066,7785.46423106,7797.694,7785.604
7793.033156,7794.00131642,7784.68109073,7796.255,7784.292
7791.735125,7792.75178239,7783.22891619,7793.899,7781.929
7790.674298,7791.73966205,7782.011599,7791.785,7779.808
7789.278139,7790.39463822,7780.33130142,7789.286,7777.052
7788.526947,7789.69643406,7779.2643514,7787.432,7774.908
7787.643637,7788.85912687,7777.98779969,7785.636,7772.672
7786.76506,7788.02630834,7776.38063629,7783.845,7769.008
