BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
3241.470142,3243.35247559,3184.13790119,3280.656,3203.046
3241.469066,3243.35147366,3184.1375644,3280.656,3203.046
3221.837232,3225.4800296,3163.92018416,3230.342,3148.211
3242.914987,3248.38571742,3184.13028066,3219.696,3132.426
3093.70797,3102.54433103,3026.85178547,3040.034,2942.159
2959.273956,2971.29121799,2885.62395579,2875.478,2768.696
2849.904279,2863.95386967,2772.43498116,2750.783,2639.575
2739.661849,2755.65955825,2657.20866974,2627.621,2510.52
2722.3595,2738.76601576,2640.44181161,2602.587,2486.142
2697.266894,2714.17087889,2611.70804421,2577.35,2457.653
2728.115317,2744.71773818,2644.8025148,2607.532,2489.959
2753.62451,2770.01711842,2671.99079815,2633.375,2517.431
2827.33351,2842.92475548,2750.04900115,2709.51,2596.892
2913.991373,2928.4511361,2842.43161553,2794.176,2687.153
3027.339516,3040.46900384,2961.75996463,2908.862,2807.987
3145.80526,3157.48444521,3087.25129373,3030.944,2937.041
3287.582388,3297.70830258,3235.18258208,3179.141,3092.134
3431.065021,3439.57642522,3385.51424837,3330.362,3250.852
3579.116678,3586.0762872,3539.41570934,3488.934,3417.205
3733.69321,3738.99899462,3700.46584814,3654.97,3592.007
3864.239293,3868.18052018,3837.38981392,3805.366,3751.555
3991.274383,3993.63742138,3968.16074048,3947.054,3901.607
4089.397859,4090.42639177,4069.61918647,4059.279,4021.886
4181.49729,4181.02275356,4165.69987197,4174.3,4145.351
4234.102918,4232.61849904,4222.17000115,4249.775,4228.158
4282.733076,4280.33514764,4274.90703037,4321.315,4308.7
4304.755536,4301.81237985,4299.71895579,4351.731,4346.438
4325.716521,4322.32497386,4323.46408843,4376.747,4378.902
4336.623626,4332.91372587,4336.17903306,4386.744,4393.201
4350.706717,4346.693406,4352.03323683,4397.813,4408.276
4362.033491,4357.76161284,4364.38437601,4407.249,4419.49
4378.414048,4373.85540215,4381.96416148,4421.547,4435.466
4404.536513,4399.56893156,4408.73114494,4451.152,4465.608
4431.068174,4425.62632795,4436.26298424,4482.241,4497.212
4445.652722,4439.89627105,4451.93443868,4500.479,4515.726
4458.454664,4452.41102691,4466.12882161,4516.99,4533.679
4462.226324,4456.06132987,4471.34238639,4521.223,4541.946
4449.172864,4442.97839331,4459.53519262,4506.927,4530.112
4429.359642,4423.21642561,4440.25813226,4486.761,4510.411
4409.579777,4403.48784775,4421.00469973,4466.659,4490.752
4389.691469,4383.69651365,4401.33880854,4446.244,4470.319
4370.010657,4364.1103341,4381.8803391,4426.008,4450.083
4350.458231,4344.68058055,4362.36433948,4405.642,4429.437
4330.98847,4325.3328489,4342.93124683,4385.357,4408.875
4311.733114,4306.20958055,4323.6231634,4365.003,4388.104
4288.421411,4283.09184583,4299.79123222,4340.404,4362.706
4265.539869,4260.41073472,4276.33418493,4315.94,4337.403
4242.778497,4237.84828527,4253.00267974,4291.605,4312.238
4220.957101,4216.22364091,4230.53997847,4268.272,4287.996
4199.25511,4194.71709919,4208.20305267,4245.067,4263.891
4179.791792,4175.44027566,4188.21254133,4223.965,4242.116
4161.387301,4157.20291811,4169.33001845,4203.669,4221.257
4144.008897,4139.9891188,4151.3892649,4184.745,4201.57
4126.647459,4122.79299231,4133.46408228,4165.887,4181.957
4111.21484,4107.509193,4117.42670896,4148.997,4164.166
4095.84025,4092.28249173,4101.45126644,4132.175,4146.451
4082.367101,4078.95321184,4087.35225875,4117.3,4130.55
4068.944998,4065.67404191,4073.30755978,4102.486,4114.716
4056.651492,4053.53609689,4060.34369512,4088.745,4099.857
4044.395625,4041.43526797,4047.42122453,4075.047,4085.051
4030.987205,4028.22054402,4033.19091734,4059.94,4068.658
4018.580127,4015.98335832,4020.00966936,4045.567,4053.044
4001.936455,3999.5787524,4002.2508093,4026.629,4032.284
3986.4513,3984.30431103,3985.91091888,4009.05,4013.226
4020.331899,4018.43018185,4025.80553556,3986.383,3988.321
4327.365398,4320.69654287,4329.11941869,4552.792,4552.47
4517.549535,4514.16897809,4511.53099116,4535.691,4533.479
4503.709958,4502.30771242,4498.35626797,4520.668,4516.596
4495.494479,4494.23397501,4489.68109381,4511.726,4506.516
4487.290154,4486.171599,4481.01916801,4502.794,4496.45
4484.168447,4483.1714902,4477.69905575,4499.158,4492.145
4481.188082,4480.30304421,4474.51863053,4495.749,4487.977
4480.800846,4480.02416724,4474.02981084,4495.008,4486.701
4480.412695,4479.74451173,4473.5402276,4494.267,4485.425
4481.321715,4480.76699,4474.37293925,4494.795,4485.497
4483.072803,4482.65974433,4475.94322799,4495.918,4486.057
4484.737009,4484.46345598,4477.46560631,4496.891,4486.658
4485.952092,4485.81676624,4478.4989481,4497.304,4486.588
4486.245136,4486.22441407,4478.70353672,4496.77,4485.733
4485.96298,4486.04994118,4478.35919185,4495.712,4484.379
4485.037128,4485.21514764,4477.42292118,4493.983,4482.486
4483.697624,4483.96230142,4476.08202345,4491.914,4480.248
4482.168674,4482.50549635,4474.61238485,4489.781,4478.098
4480.451465,4480.85798577,4472.96446367,4487.482,4475.795
4478.965952,4479.432797,4471.55716378,4485.505,4473.891
4477.411553,4477.93696078,4470.08832065,4483.472,4471.943
4476.103022,4476.67951442,4468.82998731,4481.798,4470.372
4474.798774,4475.42471473,4467.58206267,4480.146,4468.829
4473.829558,4474.49540715,4466.62240292,4478.896,4467.702
4472.741357,4473.44634256,4465.54687159,4477.536,4466.468
4471.577486,4472.31642599,4464.36245713,4476.009,4465.082
4470.377505,4471.14967859,4463.14382507,4474.46,4463.677
4468.971261,4469.77964398,4461.67172434,4472.412,4461.735
4467.472937,4468.31740907,4460.10601115,4470.272,4459.704
4465.445629,4466.33274202,4457.94251749,4467.321,4456.743
4463.623099,4464.55285621,4455.98157709,4464.578,4453.989
4461.495625,4462.47032065,4453.60359016,4461.488,4450.668
4459.944187,4460.96521338,4451.7737451,4458.974,4447.896
4458.260807,4459.32212841,4449.74388389,4456.495,4445.026
4456.5795,4457.68118454,4447.4484975,4454.019,4440.948
