BILLY-25,MODEL-25
5600.672165,5603.06378393
5600.671207,5603.06279508
5589.85148,5593.94273702
5646.326847,5652.20182507
5503.974756,5513.52367166
5375.707478,5388.67948443
5245.048973,5260.49480085
5083.763576,5102.21759516
5067.726428,5087.00558977
5033.906886,5054.20639562
5092.206878,5112.17473318
5137.746774,5157.67977432
5260.65489,5279.42724837
5407.191592,5424.21368128
5591.86083,5606.68815802
5779.733018,5792.2510446
5982.094983,5992.31393502
6146.808251,6155.3322203
6315.574218,6322.49826451
6494.345967,6499.51347828
6647.608766,6651.32790427
6787.386309,6789.3883441
6896.615629,6897.25376817
7007.627878,7006.83394502
7074.242399,7072.27771703
7136.315563,7133.20335755
7163.256909,7159.38802845
7190.124802,7185.58298347
7204.096559,7199.04843022
7223.361619,7217.8212526
7238.443249,7232.51662899
7261.286713,7254.95237639
7293.112238,7286.34935986
7323.443626,7316.28196348
7338.011588,7330.72985852
7351.430331,7344.10154364
7355.015502,7347.75449827
7338.723845,7331.51909227
7315.843468,7308.74786736
7293.100177,7286.11369243
7270.276628,7263.45296002
7247.736121,7241.07249327
7225.42035,7218.94939523
7203.232799,7196.95334218
7181.373629,7175.2972995
7157.171423,7151.30801576
7133.585033,7127.94110573
7110.207416,7104.78049981
7088.030381,7082.81685659
7066.064464,7061.06176201
7046.79915,7041.99585698
7028.851726,7024.22353825
7012.22391,7007.76731795
6995.609396,6991.32515725
6981.299469,6977.16709496
6967.098274,6963.11632141
6955.145536,6951.30791503
6943.291292,6939.59641484
6932.767509,6929.22886159
6922.319431,6918.93588735
6910.53283,6907.34839639
6899.970111,6896.95602115
6884.616551,6881.85204498
6866.699435,6864.17926413
6937.178862,6934.94525452
7483.264614,7472.62588543
7825.431088,7820.44260707
7810.972561,7809.33972818
7802.494575,7801.02846521
7794.047163,7792.74804691
7791.396571,7790.2384506
7788.906644,7787.87809458
7789.395202,7788.49145867
7789.879319,7789.10058785
7791.856663,7791.20868358
7794.587682,7794.10389273
7797.2191,7796.89666936
7799.345652,7799.18360438
7800.467193,7800.43788581
7800.969346,7801.06491003
7800.765083,7800.96598693
7800.100746,7800.40194502
7799.240654,7799.62533872
7798.187624,7798.65292657
7797.411038,7797.946005
7796.571792,7797.17429642
7796.017589,7796.67897347
7795.48286,7796.20109227
7795.343764,7796.10779431
7795.07361,7795.88269319
7794.725682,7795.57355479
7794.34183,7795.22764552
7793.740173,7794.66729066
7793.033156,7794.00131642
7791.735125,7792.75178239
7790.674298,7791.73966205
7789.278139,7790.39463822
7788.526947,7789.69643406
7787.643637,7788.85912687
7786.76506,7788.02630834
