PO-MODEL-0,PO-UCVM-0
4156.0801,4219.751
4162.3398,4226.395
4421.186,4474.616
4733.043,4770.123
5048.688,5055.143
5381.7529,5352.955
5628.1509,5561.67
5878.4258,5770.764
6030.293,5900.575
6189.9341,6039.841
6286.0742,6146.227
6420.0479,6298.137
6484.3262,6394.492
6523.7378,6461.684
6531.2002,6491.736
6541.439,6518.877
6529.5142,6517.934
6511.2832,6511.444
6484.98,6492.722
6458.231,6473.373
6410.3452,6428.64
6297.7759,6325.598
6178.3281,6210.989
6062.2231,6099.489
5956.813,5996.19
5850.208,5891.123
5784.0532,5825.438
5734.646,5777.363
5739.2368,5777.394
5750.4092,5782.948
5834.3662,5856.202
5934.833,5944.069
6094.0,6087.457
6286.1792,6258.527
6413.0332,6373.433
6543.8311,6492.593
6595.7388,6544.177
6621.0439,6572.447
6594.814,6554.506
6568.7412,6536.638
6529.9238,6507.51
6491.7842,6478.881
6460.1201,6455.813
6428.876,6433.002
6411.4302,6421.749
6401.9028,6414.041
6403.5298,6415.04
6404.8472,6415.717
6408.9951,6417.259
6412.834,6418.476
6406.9829,6408.396
6402.603,6400.538
6391.6758,6385.71
6378.3281,6368.481
6360.0659,6347.489
6341.7539,6326.477
6329.521,6313.24
6317.1758,6299.88
6324.9492,6307.869
6332.5278,6315.652
6377.2832,6361.725
6418.9678,6403.688
6516.416,6501.018
7452.729,7438.847
7531.7979,7517.08
7621.3271,7600.166
7680.7808,7656.912
7741.1792,7714.484
7780.0669,7755.419
7819.2998,7796.735
7848.8872,7831.461
7879.3311,7867.02
7905.6069,7899.638
7932.002,7932.472
7954.8862,7961.563
7969.2842,7982.329
7976.895,7995.364
7979.0469,8002.906
7981.5962,8009.914
7984.8569,8017.592
7984.3818,8020.052
7988.2729,8025.729
7986.4072,8024.442
7985.041,8023.619
7976.832,8015.327
7969.271,8007.667
7954.9692,7992.6
7941.5,7978.357
7923.312,7958.395
7905.021,7938.309
7882.0811,7912.242
7859.3872,7886.422
7831.918,7854.835
7803.9082,7822.575
7771.145,7785.721
7739.4292,7749.964
7706.2021,7713.79
7674.354,7679.047
7645.0762,7647.982
7616.0371,7620.391
