PO-MODEL-0,PO-UCVM-0
2343.636,2389.024
2345.293,2390.772
2533.6489,2570.927
2745.2891,2768.842
2935.469,2933.601
3140.0569,3109.581
3273.8621,3213.43
3413.876,3320.897
3479.5879,3369.745
3555.488,3431.161
3598.8721,3486.054
3664.0129,3568.15
3693.2129,3625.258
3716.1001,3674.957
3716.8469,3697.1
3709.7959,3706.853
3691.4961,3699.657
3668.9409,3687.908
3647.093,3674.144
3625.7571,3661.022
3587.895,3628.084
3500.8201,3547.668
3404.908,3454.554
3311.564,3363.838
3225.895,3278.664
3132.2681,3184.974
3073.9121,3125.225
3049.1279,3100.091
3061.5149,3106.489
3079.6499,3118.14
3161.0859,3188.182
3257.062,3271.421
3404.7,3403.254
3576.0249,3555.167
3685.0811,3653.167
3796.2041,3753.417
3835.574,3791.039
3848.99,3805.551
3817.616,3779.921
3786.324,3754.335
3743.428,3718.389
3700.968,3682.754
3663.6699,3651.477
3626.6021,3620.306
3601.2229,3598.87
3590.6951,3590.314
3589.885,3589.337
3588.8979,3588.137
3590.0869,3587.414
3591.1021,3586.494
3582.6509,3574.708
3575.728,3565.465
3565.1411,3551.864
3550.762,3534.415
3531.7749,3513.354
3512.7649,3492.287
3499.218,3478.247
3485.5959,3464.128
3490.365,3469.597
3495.012,3474.941
3533.1221,3514.789
3568.4041,3550.912
3651.5171,3634.326
4262.5298,4246.282
4331.9492,4315.051
4410.6318,4388.457
4464.0381,4439.488
4518.0439,4491.02
4553.5679,4528.174
4589.2549,4565.514
4616.6602,4597.148
4644.6709,4629.356
4669.085,4658.99
4693.541,4688.716
4714.9219,4715.14
4731.6968,4737.229
4742.894,4752.914
4752.061,4766.579
4758.5962,4776.741
4764.7832,4786.473
4767.2988,4791.291
4771.6738,4797.303
4770.8599,4797.116
4770.125,4796.967
4763.542,4790.455
4757.27,4784.227
4745.376,4771.834
4733.9658,4759.9
4718.5332,4743.122
4702.939,4726.17
4683.4282,4704.233
4664.062,4682.451
4640.6279,4655.824
4617.0322,4629.047
4589.5562,4598.61
4562.75,4568.805
4534.0918,4537.929
4506.5962,4508.18
4480.9429,4481.167
4455.436,4456.748
