BILLY-25,UCVM-25,UCVM-GTL-25
5575.450804,5600.95995194,1007.40135371
5574.331849,5599.8309554,5599.8309554
5707.058293,5726.60510957,5726.60510957
5892.973103,5908.29034948,5908.29034948
5997.169477,6011.17185044,6011.17185044
6103.432088,6116.12893695,6116.12893695
6129.678231,6144.98042561,6144.98042561
6151.671357,6169.76449673,6169.76449673
6177.430081,6199.66340561,6199.66340561
6220.462149,6246.57609304,6246.57609304
6307.282176,6335.61359862,6335.61359862
6416.528208,6446.57141945,6446.57141945
6510.361069,6539.63652595,6539.63652595
6579.034844,6605.91049443,6605.91049443
6609.798877,6632.62129912,6632.62129912
6617.881538,6635.80690619,6635.80690619
6601.156563,6614.38843945,6614.38843945
6582.150081,6591.32824567,6591.32824567
6567.90381,6572.94186967,6572.94186967
6554.357459,6555.312807,6555.312807
6548.605582,6545.62907766,6545.62907766
6552.315959,6547.99161438,6547.99161438
6564.789915,6559.15761938,6559.15761938
6577.477939,6570.52404729,6570.52404729
6599.325202,6591.22839908,6591.22839908
6621.99807,6612.81090965,6612.81090965
6652.719258,6642.99495771,6642.99495771
6679.403068,6669.05329066,6669.05329066
6710.499362,6699.93078278,6699.93078278
6742.412845,6731.34910573,6731.34910573
6773.960288,6762.40794656,6762.40794656
6802.409458,6790.21818724,6790.21818724
6824.35514,6811.44551942,6811.44551942
6842.280573,6828.79785506,6828.79785506
6854.962884,6841.36421453,6841.36421453
6863.019431,6849.57270204,6849.57270204
6857.407974,6844.78671934,6844.78671934
6851.156351,6840.49759439,6840.49759439
6837.093441,6828.10042484,6828.10042484
6822.995352,6815.67599308,6815.67599308
6796.747989,6790.55539715,6790.55539715
6770.674441,6765.63015263,6765.63015263
6736.472426,6731.88704691,6731.88704691
6702.442149,6698.33353556,6698.33353556
6667.34787,6663.0809704,6663.0809704
6664.657693,6658.84748635,6658.84748635
6662.623318,6655.04890888,6655.04890888
6660.653106,6651.31388235,6651.31388235
6659.268078,6648.39119262,6648.39119262
6657.819073,6645.39923722,6645.39923722
6656.909542,6643.54931526,6643.54931526
6656.316867,6642.00586851,6642.00586851
6656.655171,6641.97504037,6641.97504037
6657.997659,6642.93910304,6642.93910304
6663.277955,6648.16494656,6648.16494656
6668.963483,6653.68638255,6653.68638255
6679.92917,6664.63728604,6664.63728604
6691.689458,6676.34343791,6676.34343791
6707.727378,6692.6833687,6692.6833687
6724.037974,6709.29428412,6709.29428412
6742.900911,6728.95854133,6728.95854133
6761.370215,6748.25711457,6748.25711457
6781.509904,6769.8337055,6769.8337055
6789.153676,6778.61126759,6778.61126759
6797.447116,6788.57833564,6788.57833564
6805.863479,6798.67341984,6798.67341984
6814.787213,6809.62113072,6809.62113072
6823.868881,6820.72136947,6820.72136947
6833.183533,6832.17976163,6832.17976163
6842.732987,6843.85132295,6843.85132295
6852.606574,6855.75241138,6855.75241138
6862.75752,6867.92906305,6867.92906305
6872.139408,6879.16789312,6879.16789312
6881.83153,6890.69228835,6890.69228835
6890.006613,6900.27148904,6900.27148904
6900.178108,6911.82850557,6911.82850557
6907.560857,6921.14959439,6921.14959439
6914.293256,6932.32933449,6932.32933449
6920.949273,6947.80949173,6947.80949173
6947.232468,6985.88257785,6985.88257785
7019.775102,7066.76311457,7066.76311457
7188.311334,7228.02283314,7228.02283314
7591.281842,7614.81604152,7614.81604152
7908.621576,7924.33654402,7924.33654402
7890.114579,7904.97602345,7904.97602345
7871.601753,7885.59851596,7885.59851596
7846.35328,7859.60969358,7859.60969358
7821.180465,7833.69489504,7833.69489504
7795.538485,7807.51245444,7807.51245444
7769.864379,7781.31572818,7781.31572818
7751.361522,7762.55111419,7762.55111419
7732.703564,7743.6657474,7743.6657474
7728.751019,7739.76344098,7739.76344098
7724.507655,7735.60077432,7735.60077432
7737.936344,7749.21490311,7749.21490311
7751.47386,7762.92845367,7762.92845367
7777.449708,7788.87644944,7788.87644944
7804.492857,7815.8683168,7815.8683168
7835.167697,7846.24897616,7846.24897616
7866.155609,7874.90704883,7874.90704883
