BILLY-25,UCVM-25,UCVM-GTL-25
3283.74321,3294.8167897,323.352636678
3282.607128,3293.69923414,3293.69923414
3376.132018,3382.59240062,3382.59240062
3498.147655,3500.81012918,3500.81012918
3554.833614,3555.71883276,3555.71883276
3612.539439,3611.69495079,3611.69495079
3604.633287,3605.29688927,3605.29688927
3594.866436,3597.12803845,3597.12803845
3582.508674,3587.503188,3587.503188
3585.515982,3593.10767205,3593.10767205
3631.679327,3640.95022068,3640.95022068
3704.515759,3715.02637063,3715.02637063
3777.294871,3787.47450135,3787.47450135
3830.223237,3839.56836448,3839.56836448
3857.214625,3864.80090273,3864.80090273
3861.681096,3867.2554133,3867.2554133
3846.473214,3850.15737024,3850.15737024
3828.307616,3830.35509842,3830.35509842
3816.401296,3816.83228527,3816.83228527
3804.876078,3803.7371088,3803.7371088
3801.865329,3799.25264706,3799.25264706
3790.200919,3787.60537832,3787.60537832
3788.004183,3785.34507113,3785.34507113
3785.977078,3783.24424183,3783.24424183
3793.748024,3791.02346021,3791.02346021
3803.653429,3800.66430142,3800.66430142
3820.874913,3818.08421722,3818.08421722
3833.928735,3832.04165206,3832.04165206
3854.243595,3852.8683268,3852.8683268
3874.035017,3872.96665359,3872.96665359
3893.468989,3892.67051365,3892.67051365
3911.069496,3910.258005,3910.258005
3923.726832,3922.72077201,3922.72077201
3934.412061,3933.14715148,3933.14715148
3942.296667,3940.94265821,3940.94265821
3948.513418,3947.08247328,3947.08247328
3946.176471,3944.86389273,3944.86389273
3945.774321,3945.40841138,3945.40841138
3938.176636,3938.52627797,3938.52627797
3930.360073,3931.41143176,3931.41143176
3911.261903,3912.51129642,3912.51129642
3892.150657,3893.62179239,3893.62179239
3865.680669,3866.72791465,3866.72791465
3839.309942,3839.94227067,3839.94227067
3811.747043,3811.34840446,3811.34840446
3809.440481,3807.5039431,3807.5039431
3807.369008,3803.67818454,3803.67818454
3805.341669,3799.89575087,3799.89575087
3803.712145,3796.70466013,3796.70466013
3802.042691,3793.48579354,3793.48579354
3802.316932,3792.7319877,3792.7319877
3802.607847,3792.00322914,3792.00322914
3800.143629,3789.12396924,3789.12396924
3800.681661,3789.1200842,3789.1200842
3805.333203,3793.43958631,3793.43958631
3810.549542,3798.23010381,3798.23010381
3820.61516,3808.07188889,3808.07188889
3831.117616,3818.33360592,3818.33360592
3845.503937,3832.8141065,3832.8141065
3860.089839,3847.48583929,3847.48583929
3877.060496,3865.00563783,3865.00563783
3893.672884,3882.17690465,3882.17690465
3911.821426,3901.44177624,3901.44177624
3918.861657,3909.45422145,3909.45422145
3926.442618,3918.48971665,3918.48971665
3934.128689,3927.6300223,3927.6300223
3942.19875,3937.46388235,3937.46388235
3950.407463,3947.42437255,3947.42437255
3958.766943,3957.65006228,3957.65006228
3967.348681,3968.07146982,3968.07146982
3976.115848,3978.60395002,3978.60395002
3985.109992,3989.36060323,3989.36060323
3993.215732,3999.08882007,3999.08882007
4001.505344,4008.98032488,4008.98032488
4008.201642,4016.91892695,4016.91892695
4016.148447,4026.08116955,4026.08116955
4021.724195,4033.04068897,4033.04068897
4026.868558,4041.1839727,4041.1839727
4031.423856,4051.28807689,4051.28807689
4048.406809,4075.71667051,4075.71667051
4093.935486,4126.36420261,4126.36420261
4200.135629,4227.88245675,4227.88245675
4453.265329,4470.649203,4470.649203
4652.127878,4664.41431603,4664.41431603
4636.27436,4647.90211457,4647.90211457
4620.426847,4631.38627912,4631.38627912
4598.754698,4609.14158208,4609.14158208
4577.131907,4586.94314264,4586.94314264
4555.035782,4564.43170204,4564.43170204
4532.875179,4541.86937255,4541.86937255
4516.787509,4525.59046597,4525.59046597
4500.538058,4509.18104421,4509.18104421
4496.875921,4505.58600115,4505.58600115
4492.989612,4501.79160938,4501.79160938
4504.268451,4513.23857785,4513.23857785
4515.658535,4524.7856659,4524.7856659
4537.628812,4546.74141907,4546.74141907
4560.452372,4569.52972049,4569.52972049
4586.364083,4595.21428527,4595.21428527
4612.473103,4619.48271473,4619.48271473
