BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
5575.450804,5580.59510534,5600.95995194,5833.783,5880.209
5574.331849,5579.47960861,5599.8309554,5832.82,5879.236
5707.058293,5709.45439331,5726.60510957,5842.192,5873.348
5892.973103,5893.23953018,5908.29034948,5919.155,5938.78
5997.169477,5997.51887159,6011.17185044,6010.505,6018.783
6103.432088,6103.8772153,6116.12893695,6103.013,6099.225
6129.678231,6131.34794156,6144.98042561,6170.852,6157.468
6151.671357,6154.57197386,6169.76449673,6239.698,6215.186
6177.430081,6181.23116109,6199.66340561,6296.029,6271.068
6220.462149,6224.77045175,6246.57609304,6346.522,6324.704
6307.282176,6310.88504344,6335.61359862,6382.621,6370.883
6416.528208,6418.73779969,6446.57141945,6401.152,6402.815
6510.361069,6511.16945867,6539.63652595,6412.638,6426.614
6579.034844,6578.66551288,6605.91049443,6423.88,6445.821
6609.798877,6609.27224414,6632.62129912,6457.822,6482.318
6617.881538,6617.88074356,6635.80690619,6516.351,6537.746
6601.156563,6602.28071665,6614.38843945,6581.014,6594.063
6582.150081,6584.39862514,6591.32824567,6641.425,6645.453
6567.90381,6571.02957093,6572.94186967,6691.141,6685.707
6554.357459,6558.35825721,6555.312807,6741.184,6726.222
6548.605582,6553.02696924,6545.62907766,6774.514,6750.074
6552.315959,6556.69319877,6547.99161438,6775.364,6749.91
6564.789915,6568.70475087,6559.15761938,6765.038,6738.831
6577.477939,6580.92891811,6570.52404729,6754.886,6727.909
6599.325202,6602.06559592,6591.22839908,6742.134,6714.766
6621.99807,6624.02373433,6612.81090965,6729.977,6702.255
6652.719258,6653.99224145,6642.99495771,6722.926,6695.908
6679.403068,6679.94301038,6669.05329066,6714.272,6686.755
6710.499362,6710.21398078,6699.93078278,6705.142,6677.775
6742.412845,6741.20075509,6731.34910573,6691.256,6664.451
6773.960288,6771.74185429,6762.40794656,6672.012,6647.14
6802.409458,6799.09985775,6790.21818724,6646.196,6622.774
6824.35514,6819.98121415,6811.44551942,6616.028,6594.09
6842.280573,6836.86055709,6828.79785506,6583.373,6562.722
6854.962884,6848.90220338,6841.36421453,6568.189,6548.94
6863.019431,6856.39707689,6849.57270204,6552.716,6534.712
6857.407974,6850.849792,6844.78671934,6553.888,6536.928
6851.156351,6845.04011303,6840.49759439,6570.512,6555.867
6837.093441,6831.79378777,6828.10042484,6594.618,6582.179
6822.995352,6818.51315532,6815.67599308,6618.783,6608.507
6796.747989,6793.31815033,6790.55539715,6639.325,6630.587
6770.674441,6768.29579239,6765.63015263,6660.048,6652.832
6736.472426,6735.22162092,6731.88704691,6674.461,6668.047
6702.442149,6702.30866744,6698.33353556,6688.642,6683.07
6667.34787,6668.27297232,6663.0809704,6699.826,6694.279
6664.657693,6666.26051057,6658.84748635,6725.694,6719.38
6662.623318,6664.76345867,6655.04890888,6747.951,6740.593
6660.653106,6663.33233026,6651.31388235,6770.396,6761.992
6659.268078,6662.30514994,6648.39119262,6787.709,6778.808
6657.819073,6661.21266474,6645.39923722,6805.005,6795.651
6656.909542,6660.43775317,6643.54931526,6813.711,6805.189
6656.316867,6659.91864052,6642.00586851,6820.378,6812.734
6656.655171,6660.20351211,6641.97504037,6821.181,6815.131
6657.997659,6661.49979393,6642.93910304,6823.316,6818.899
6663.277955,6666.52352172,6648.16494656,6818.411,6815.682
6668.963483,6671.95361515,6653.68638255,6813.608,6812.511
