BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
3283.74321,3284.07829796,3294.8167897,3325.286,3357.515
3282.607128,3282.9511634,3293.69923414,3324.555,3356.797
3376.132018,3374.71184967,3382.59240062,3337.478,3358.45
3498.147655,3495.18326528,3500.81012918,3381.195,3392.483
3554.833614,3551.93713379,3555.71883276,3427.156,3429.31
3612.539439,3609.74325875,3611.69495079,3474.413,3466.935
3604.633287,3602.78261476,3605.29688927,3497.11,3482.498
3594.866436,3594.02984198,3597.12803845,3524.96,3502.303
3582.508674,3582.34410227,3587.503188,3536.676,3513.79
3585.515982,3585.81407113,3593.10767205,3552.02,3531.243
3631.679327,3631.51386005,3640.95022068,3570.135,3555.962
3704.515759,3703.45726682,3715.02637063,3590.701,3584.847
3777.294871,3775.49366205,3787.47450135,3626.654,3627.265
3830.223237,3827.96979123,3839.56836448,3664.389,3669.305
3857.214625,3855.34654364,3864.80090273,3721.224,3726.306
3861.681096,3860.72251826,3867.2554133,3786.822,3788.116
3846.473214,3846.847193,3850.15737024,3851.939,3847.078
3828.307616,3829.97660746,3830.35509842,3911.253,3900.397
3816.401296,3819.16550481,3816.83228527,3964.09,3946.959
3804.876078,3808.73595309,3803.7371088,4017.176,3993.729
3801.865329,3806.41848712,3799.25264706,4057.436,4027.723
3790.200919,3794.88595079,3787.60537832,4047.603,4019.136
3788.004183,3792.42949173,3785.34507113,4028.771,4001.81
3785.977078,3790.14139485,3783.24424183,4010.07,3984.612
3793.748024,3797.40919031,3791.02346021,3989.772,3966.164
3803.653429,3806.72630988,3800.66430142,3966.767,3945.159
3820.874913,3823.32123914,3818.08421722,3948.342,3929.599
3833.928735,3835.98902845,3832.04165206,3941.293,3923.39
3854.243595,3855.71833103,3852.8683268,3931.457,3914.619
3874.035017,3874.86516109,3872.96665359,3917.47,3902.42
3893.468989,3893.61441407,3892.67051365,3900.627,3888.49
3911.069496,3910.47724221,3910.258005,3881.162,3871.016
3923.726832,3922.4154629,3922.72077201,3859.132,3850.663
3934.412061,3932.36502922,3933.14715148,3835.345,3827.909
3942.296667,3939.80717378,3940.94265821,3825.349,3818.677
3948.513418,3945.55748481,3947.08247328,3814.228,3807.384
3946.176471,3943.09360631,3944.86389273,3811.745,3803.609
3945.774321,3942.71761169,3945.40841138,3814.624,3807.325
3938.176636,3935.46270358,3938.52627797,3822.184,3816.534
3930.360073,3927.98814764,3931.41143176,3829.552,3825.607
3911.261903,3909.43049366,3912.51129642,3832.509,3829.827
3892.150657,3890.86040907,3893.62179239,3835.366,3834.009
3865.680669,3864.99754402,3866.72791465,3832.28,3831.541
3839.309942,3839.22666859,3839.94227067,3828.992,3828.92
3811.747043,3812.21172587,3811.34840446,3822.822,3822.628
3809.440481,3810.53203114,3807.5039431,3847.291,3846.287
3807.369008,3808.96542753,3803.67818454,3868.234,3866.112
3805.341669,3807.4442376,3799.89575087,3889.275,3886.037
3803.712145,3806.16411572,3796.70466013,3905.71,3901.749
3802.042691,3804.84622107,3793.48579354,3922.215,3917.542
3802.316932,3805.27856709,3792.7319877,3933.019,3928.518
3802.607847,3805.67037101,3792.00322914,3941.717,3937.521
3800.143629,3803.2266732,3789.12396924,3943.226,3939.968
3800.681661,3803.75523222,3789.1200842,3945.715,3943.707
3805.333203,3808.20793233,3793.43958631,3942.35,3941.607
3810.549542,3813.23609112,3798.23010381,3939.398,3939.698
3820.61516,3822.97797732,3808.07188889,3932.968,3933.504
3831.117616,3833.17849712,3818.33360592,3929.101,3929.214
3845.503937,3847.12731103,3832.8141065,3922.646,3922.321
3860.089839,3861.27948328,3847.48583929,3917.235,3916.478
3877.060496,3877.73406228,3865.00563783,3909.755,3909.239
3893.672884,3893.87307651,3882.17690465,3903.087,3902.798
3911.821426,3911.51673972,3901.44177624,3897.354,3898.102
3918.861657,3917.99086005,3909.45422145,3877.598,3879.522
3926.442618,3925.11805383,3918.48971665,3863.724,3867.286
3934.128689,3932.3496905,3927.6300223,3849.982,3855.188
3942.19875,3940.1210742,3937.46388235,3844.314,3851.21
3950.407463,3948.02788735,3947.42437255,3838.713,3847.31
3958.766943,3956.23879431,3957.65006228,3841.132,3851.252
3967.348681,3964.66580546,3968.07146982,3843.619,3855.285
3976.115848,3973.43218416,3978.60395002,3854.261,3867.159
3985.109992,3982.41340754,3989.36060323,3864.58,3878.707
3993.215732,3990.65529681,3999.08882007,3880.958,3896.037
4001.505344,3999.09402307,4008.98032488,3897.986,3913.973
4008.201642,4006.09109381,4016.91892695,3919.799,3936.508
4016.148447,4014.35724683,4026.08116955,3943.736,3961.216
4021.724195,4020.37564475,4033.04068897,3969.586,3987.481
4026.868558,4028.30142522,4041.1839727,3995.507,4014.005
4031.423856,4036.08907151,4051.28807689,4015.8,4034.967
4048.406809,4057.46536371,4075.71667051,4676.578,4702.095
4093.935486,4106.88987043,4126.36420261,4683.187,4709.605
4200.135629,4213.27046175,4227.88245675,4687.437,4714.04
4453.265329,4461.77384045,4470.649203,4678.494,4705.483
4652.127878,4653.07185698,4664.41431603,4668.979,4696.295
4636.27436,4637.19964821,4647.90211457,4648.918,4676.361
4620.426847,4621.33231949,4631.38627912,4628.867,4656.38
4598.754698,4599.59623453,4609.14158208,4600.624,4627.948
4577.131907,4577.91096232,4586.94314264,4572.554,4599.647
4555.035782,4555.69515033,4564.43170204,4541.733,4568.308
4532.875179,4533.41856709,4541.86937255,4511.009,4537.06
4516.787509,4517.16569435,4525.59046597,4486.05,4511.383
4500.538058,4500.75652326,4509.18104421,4461.165,4485.789
4496.875921,4496.91020223,4505.58600115,4451.341,4475.256
4492.989612,4492.83560669,4501.79160938,4441.331,4464.596
4504.268451,4503.9246213,4513.23857785,4450.684,4473.62
