BILLY-25,MODEL-25
5575.450804,5580.59510534
5574.331849,5579.47960861
5707.058293,5709.45439331
5892.973103,5893.23953018
5997.169477,5997.51887159
6103.432088,6103.8772153
6129.678231,6131.34794156
6151.671357,6154.57197386
6177.430081,6181.23116109
6220.462149,6224.77045175
6307.282176,6310.88504344
6416.528208,6418.73779969
6510.361069,6511.16945867
6579.034844,6578.66551288
6609.798877,6609.27224414
6617.881538,6617.88074356
6601.156563,6602.28071665
6582.150081,6584.39862514
6567.90381,6571.02957093
6554.357459,6558.35825721
6548.605582,6553.02696924
6552.315959,6556.69319877
6564.789915,6568.70475087
6577.477939,6580.92891811
6599.325202,6602.06559592
6621.99807,6624.02373433
6652.719258,6653.99224145
6679.403068,6679.94301038
6710.499362,6710.21398078
6742.412845,6741.20075509
6773.960288,6771.74185429
6802.409458,6799.09985775
6824.35514,6819.98121415
6842.280573,6836.86055709
6854.962884,6848.90220338
6863.019431,6856.39707689
6857.407974,6850.849792
6851.156351,6845.04011303
6837.093441,6831.79378777
6822.995352,6818.51315532
6796.747989,6793.31815033
6770.674441,6768.29579239
6736.472426,6735.22162092
6702.442149,6702.30866744
6667.34787,6668.27297232
6664.657693,6666.26051057
6662.623318,6664.76345867
6660.653106,6663.33233026
6659.268078,6662.30514994
6657.819073,6661.21266474
6656.909542,6660.43775317
6656.316867,6659.91864052
6656.655171,6660.20351211
6657.997659,6661.49979393
6663.277955,6666.52352172
6668.963483,6671.95361515
6679.92917,6682.48783199
6691.689458,6693.87001384
6707.727378,6709.37966744
6724.037974,6725.17026336
6742.900911,6743.4161015
6761.370215,6761.30965129
6781.509904,6780.83913802
6789.153676,6787.83678085
6797.447116,6795.61051749
6805.863479,6803.50707612
6814.787213,6812.08703306
6823.868881,6820.82181622
6833.183533,6829.96406805
6842.732987,6839.33578047
6852.606574,6849.21163245
6862.75752,6859.35117878
6872.139408,6868.89610419
6881.83153,6878.76587505
6890.006613,6887.30020415
6900.178108,6897.857802
6907.560857,6905.78788351
6914.293256,6916.77666705
6920.949273,6928.42857363
6947.232468,6961.55008381
7019.775102,7040.21630065
7188.311334,7208.98735179
7591.281842,7604.66719262
7908.621576,7910.04834948
7890.114579,7891.51768973
7871.601753,7872.97901153
7846.35328,7847.64848481
7821.180465,7822.3948862
7795.538485,7796.60229143
7769.864379,7770.78113802
7751.361522,7752.07061592
7732.703564,7733.20995771
7728.751019,7729.01895771
7724.507655,7724.52869281
7737.936344,7737.69998885
7751.47386,7750.9528885
7777.449708,7776.67473318
7804.492857,7803.45189466
7835.167697,7833.90706228
7866.155609,7864.68498385
