PO-MODEL-0,PO-UCVM-0
3935.345,3945.006
3935.2749,3944.93
4071.947,4081.343
4312.1699,4322.872
4559.0,4570.953
4820.7139,4834.045
5056.5259,5070.818
5287.6421,5302.826
5512.0488,5528.099
5746.9678,5763.325
5908.7822,5924.334
6045.3081,6058.947
6103.064,6113.329
6145.187,6152.243
6141.999,6146.171
6132.1221,6135.021
6112.8442,6114.753
6092.8389,6093.683
6080.7651,6080.956
6068.5332,6068.092
6065.271,6065.583
6070.688,6071.276
6084.9722,6087.195
6099.2842,6103.146
6116.7949,6122.969
6133.7861,6142.304
6153.9692,6164.636
6174.0811,6186.595
6203.7778,6216.91
6249.8398,6263.043
6325.978,6337.63
6418.02,6427.156
6561.104,6565.016
6717.5811,6715.363
6806.4668,6800.431
6896.498,6886.6
6947.8101,6935.554
6959.0078,6946.649
6945.4849,6933.833
6932.0039,6921.072
6916.001,6905.666
6900.3838,6890.63
6884.7549,6875.371
6869.2949,6860.277
6852.2852,6843.486
6820.814,6812.2
6789.3291,6780.852
6758.0801,6749.739
6730.5122,6722.442
6703.1011,6695.299
6682.6289,6675.418
6661.3618,6654.809
6657.7109,6652.181
6653.4858,6648.88
6659.228,6653.618
7382.1719,7377.457
7433.333,7428.635
7486.0571,7481.127
7529.8682,7525.128
7573.667,7569.118
7616.3931,7612.257
7613.5151,7609.597
7615.688,7612.184
7617.8979,7614.816
7629.4741,7626.707
7641.082,7638.632
7660.335,7658.142
7679.6851,7677.75
7702.9961,7701.283
7726.4458,7724.956
7750.4229,7749.074
7775.042,7773.857
7798.9712,7797.875
7823.0439,7822.039
7845.3579,7844.385
7864.0801,7862.966
7877.8721,7876.634
7889.9092,7888.51
7898.6001,7897.135
7907.332,7905.84
7911.6572,7910.2
7916.6479,7915.253
7917.625,7916.351
7918.769,7917.629
7915.437,7914.484
7912.396,7911.645
7904.811,7904.322
7897.627,7897.411
7886.75,7886.867
7875.792,7876.245
7861.0498,7861.906
7846.459,7847.722
7830.1948,7831.874
7813.853,7815.949
7798.1519,7800.613
7782.9922,7785.816
7771.0122,7774.11
7759.8892,7763.249
7751.4219,7754.99
7742.9751,7745.107
