PO-MODEL-0,PO-UCVM-0
2173.332,2172.004
2173.2161,2171.887
2279.3259,2278.19
2473.231,2472.861
2645.4399,2646.164
2827.207,2829.151
2971.0171,2974.05
3109.897,3114.049
3241.832,3246.866
3377.5271,3383.393
3462.0029,3468.091
3527.469,3533.264
3541.571,3546.263
3539.4929,3543.356
3522.0791,3524.489
3504.0601,3505.459
3490.1721,3490.216
3475.7681,3474.404
3473.0991,3470.642
3470.531,3466.984
3477.792,3474.348
3469.699,3466.513
3468.885,3467.185
3468.0591,3467.858
3469.8601,3471.739
3461.8,3465.924
3456.6899,3462.883
3480.0559,3487.615
3497.9121,3506.124
3526.106,3534.63
3576.8799,3584.506
3643.322,3649.304
3758.6909,3760.642
3888.178,3885.308
3954.582,3949.028
4023.2351,4014.941
4059.0061,4049.113
4063.3359,4053.452
4047.4641,4038.178
4031.604,4022.922
4013.387,4005.198
3995.459,3987.747
3977.366,3969.943
3959.353,3952.216
3939.9951,3933.009
3914.6809,3907.828
3889.3779,3882.607
3864.25,3857.56
3842.3669,3835.872
3820.5991,3814.297
3805.1289,3799.309
3788.905,3783.628
3787.1699,3782.714
3785.2429,3781.537
3792.4641,3788.035
4281.2422,4277.746
4312.021,4308.475
4344.0142,4340.224
4368.6592,4364.959
4393.2959,4389.685
4417.1602,4413.823
4414.8369,4411.648
4416.8311,4413.958
4418.875,4416.325
4429.0278,4426.712
4439.2109,4437.133
4455.978,4454.085
4472.8159,4471.109
4493.0552,4491.506
4513.3931,4512.004
4534.1382,4532.842
4555.4561,4554.27
4576.189,4575.05
4597.0229,4595.931
4616.333,4615.237
4632.8018,4631.553
4645.0811,4643.697
4655.8711,4654.312
4663.7949,4662.15
4671.707,4670.009
4675.854,4674.159
4680.2261,4678.554
4681.1709,4679.572
4682.2349,4680.723
4679.5068,4678.127
4677.0122,4675.772
4670.6611,4669.619
4664.6152,4663.786
4655.4438,4654.876
4646.1909,4645.89
4633.769,4633.778
4621.458,4621.783
4607.7661,4608.405
4593.9912,4594.945
4580.8032,4582.024
4568.0532,4569.542
4558.0308,4559.711
4548.7368,4550.604
4541.6992,4543.705
4534.6699,4535.727
