BILLY-25,UCVM-25,UCVM-GTL-25
4682.040554,4697.93062207,899.315857747
4682.039735,4697.92897309,4697.92897309
4766.812853,4781.55244752,4781.55244752
4920.107489,4933.60741484,4933.60741484
5055.981342,5067.97618147,5067.97618147
5195.532776,5205.97169781,5205.97169781
5300.06634,5309.11134025,5309.11134025
5397.061434,5404.68013918,5404.68013918
5492.428793,5498.9753491,5498.9753491
5593.031842,5598.6731015,5598.6731015
5678.848943,5684.04046098,5684.04046098
5753.407378,5758.78975317,5758.78975317
5804.643345,5811.01532065,5811.01532065
5849.091515,5856.11581084,5856.11581084
5875.332464,5883.36950211,5883.36950211
5896.728574,5905.81187159,5905.81187159
5909.396667,5919.42816455,5919.42816455
5920.472218,5931.32700692,5931.32700692
5933.197562,5944.89909842,5944.89909842
5945.965932,5958.51554056,5958.51554056
5963.919827,5977.05319223,5977.05319223
5993.296986,6005.51580892,6005.51580892
6028.321265,6039.25661899,6039.25661899
6063.348055,6073.00193118,6073.00193118
6101.235179,6109.5135544,6109.5135544
6138.366205,6144.90329796,6144.90329796
6175.069073,6180.04761745,6180.04761745
6212.379369,6216.99664206,6216.99664206
6250.076117,6253.97737639,6253.97737639
6297.976078,6301.02126144,6301.02126144
6354.86516,6357.22550327,6357.22550327
6419.920338,6421.63479085,6421.63479085
6493.372238,6494.85738447,6494.85738447
6568.656044,6570.04195963,6570.04195963
6622.967612,6624.59090273,6624.59090273
6676.905509,6678.82482661,6678.82482661
6714.960577,6717.34492618,6717.34492618
6727.592884,6730.63455632,6730.63455632
6730.091465,6733.69052403,6733.69052403
6732.600488,6736.75248366,6736.75248366
6735.028412,6739.44324221,6739.44324221
6737.539339,6742.21676432,6742.21676432
6739.86115,6744.54962207,6744.54962207
6742.188285,6746.88832757,6746.88832757
6743.960865,6748.51560169,6748.51560169
6742.619423,6747.14272088,6747.14272088
6742.290358,6746.69391349,6746.69391349
6741.961092,6746.24457901,6746.24457901
6745.224544,6749.37158747,6749.37158747
6748.500358,6752.51145559,6752.51145559
6756.906248,6760.68527682,6760.68527682
6765.959358,6769.65688581,6769.65688581
7414.197924,7418.04722222,7418.04722222
7481.048824,7484.82315955,7484.82315955
7532.895471,7536.55502384,7536.55502384
7584.7691,7588.31645367,7588.31645367
7633.032987,7636.4947178,7636.4947178
7681.271522,7684.64642714,7684.64642714
7727.714387,7731.0428639,7731.0428639
7774.106671,7777.38804652,7777.38804652
7819.241953,7822.47293579,7822.47293579
7818.115609,7821.36473318,7821.36473318
7816.758539,7819.85610342,7819.85610342
7815.407582,7818.35099962,7818.35099962
7815.878554,7818.55568512,7818.55568512
7816.349804,7818.75828989,7818.75828989
7818.571765,7820.58974164,7820.58974164
7820.803849,7822.43078739,7822.43078739
7824.230015,7825.41066359,7825.41066359
7827.659758,7828.39373933,7828.39373933
7831.403822,7831.70969127,7831.70969127
7835.220884,7835.08834564,7835.08834564
7838.835659,7838.29249481,7838.29249481
7842.446405,7841.49226028,7841.49226028
7845.525925,7844.19923453,7844.19923453
7851.315702,7849.62647328,7849.62647328
7855.941584,7853.97878662,7853.97878662
7860.710277,7858.67750442,7858.67750442
7863.408085,7861.21210035,7861.21210035
7865.149904,7862.77993502,7862.77993502
7866.514433,7863.99543022,7863.99543022
7867.423541,7864.75568589,7864.75568589
7868.582495,7865.7559554,7865.7559554
7869.422253,7866.43083122,7866.43083122
7870.674787,7867.51925375,7867.51925375
7871.739562,7868.41394271,7868.41394271
7873.185309,7869.73193272,7869.73193272
7874.514095,7870.92649289,7870.92649289
7876.317228,7872.67693118,7872.67693118
7878.005798,7874.31314033,7874.31314033
7880.436601,7876.81906959,7876.81906959
7882.791003,7879.2467847,7879.2467847
7886.18752,7882.84118647,7882.84118647
7889.488943,7886.34293964,7886.34293964
7893.328458,7890.45964283,7890.45964283
7897.216609,7894.61985928,7894.61985928
7900.871688,7898.5481361,7898.5481361
7904.713091,7902.65151634,7902.65151634
7908.267136,7906.44024875,7906.44024875
7911.824971,7910.34688697,7910.34688697
