BILLY-25,UCVM-25,UCVM-GTL-25
2764.300334,2769.35626105,246.834477124
2764.300181,2769.3561584,2769.3561584
2828.124206,2832.37169781,2832.37169781
2926.953699,2930.48403499,2930.48403499
3004.169277,3006.98286697,3006.98286697
3083.842018,3085.91417493,3085.91417493
3137.440857,3138.8215371,3138.8215371
3187.321373,3187.97951519,3187.97951519
3235.327989,3235.3653714,3235.3653714
3289.933203,3289.21055094,3289.21055094
3342.802157,3341.12460361,3341.12460361
3395.430807,3392.75835909,3392.75835909
3439.266574,3435.85695617,3435.85695617
3475.658935,3471.6125717,3471.6125717
3495.026597,3491.13049827,3491.13049827
3502.238593,3499.1974925,3499.1974925
3500.952122,3499.05197347,3499.05197347
3499.426251,3498.55035909,3498.55035909
3500.338674,3500.52323376,3500.52323376
3501.281757,3502.52843253,3502.52843253
3507.292188,3509.38649173,3509.38649173
3515.649573,3517.70245483,3517.70245483
3529.015621,3530.72045675,3530.72045675
3542.446863,3543.80073049,3543.80073049
3558.139177,3559.05535986,3559.05535986
3572.734018,3573.19522607,3573.19522607
3587.036228,3587.19944752,3587.19944752
3604.715559,3604.66588351,3604.66588351
3623.108735,3623.01950173,3623.01950173
3645.929016,3645.80023222,3645.80023222
3673.848085,3673.88353018,3673.88353018
3707.939443,3708.13193733,3708.13193733
3748.504198,3749.19434602,3749.19434602
3792.143864,3793.34609958,3793.34609958
3820.765356,3822.64701576,3822.64701576
3850.194652,3852.75038985,3852.75038985
3869.672526,3872.943406,3872.943406
3875.719696,3879.68521607,3879.68521607
3875.602645,3880.11335755,3880.11335755
3875.499246,3880.55468781,3880.55468781
3875.431003,3880.77523491,3880.77523491
3875.430058,3881.06301653,3881.06301653
3875.353545,3881.06005152,3881.06005152
3875.277824,3881.05825067,3881.05825067
3874.78401,3880.50426644,3880.50426644
3874.054848,3879.66452749,3879.66452749
3874.286863,3879.70934179,3879.70934179
3874.518527,3879.75359746,3879.75359746
3877.957497,3882.98349058,3882.98349058
3881.402841,3886.21988389,3886.21988389
3888.975855,3893.49703922,3893.49703922
3896.872603,3901.22291503,3901.22291503
4288.35233,4291.85207651,4291.85207651
4330.364333,4333.74482814,4333.74482814
4360.436186,4363.7028639,4363.7028639
4390.531253,4393.68738716,4393.68738716
4417.582065,4420.65982468,4420.65982468
4444.604045,4447.60186467,4447.60186467
4470.118597,4473.07639869,4473.07639869
4495.581046,4498.49806075,4498.49806075
4520.089904,4522.96467128,4522.96467128
4518.058043,4520.94967128,4520.94967128
4515.896348,4518.6605098,4518.6605098
4513.742138,4516.37652903,4516.37652903
4513.185463,4515.5927328,4515.5927328
4512.626828,4514.80448097,4514.80448097
4513.617955,4515.45907305,4515.45907305
4514.610246,4516.11432411,4516.11432411
4516.670458,4517.78797309,4517.78797309
4518.725463,4519.45600269,4519.45600269
4521.094237,4521.45250865,4521.45250865
4523.524479,4523.50179931,4523.50179931
4525.783287,4525.40372972,4525.40372972
4528.041319,4527.30465744,4527.30465744
4529.840377,4528.77976663,4528.77976663
4534.128643,4532.76592926,4532.76592926
4537.408216,4535.81493349,4535.81493349
4540.724095,4539.02320454,4539.02320454
4542.284721,4540.43502384,4540.43502384
4542.999431,4540.99313033,4540.99313033
4543.374602,4541.23456324,4541.23456324
4543.34699,4541.07360515,4541.07360515
4543.529239,4541.11456286,4541.11456286
4543.422438,4540.86183545,4540.86183545
4543.672837,4540.96721838,4540.96721838
4543.752261,4540.89691542,4540.89691542
4544.162599,4541.19445136,4541.19445136
4544.464168,4541.37769204,4541.37769204
4545.171853,4542.03822722,4542.03822722
4545.777982,4542.59744637,4542.59744637
4547.025928,4543.90940677,4543.90940677
4548.205102,4545.15104575,4545.15104575
4550.285071,4547.40166167,4547.40166167
4552.28308,4549.57236794,4549.57236794
4554.748112,4552.276193,4552.276193
4557.253779,4555.01679662,4555.01679662
4559.556409,4557.55518724,4557.55518724
4562.022641,4560.24759938,4560.24759938
4564.235025,4562.66281046,4562.66281046
4566.450042,4565.17445329,4565.17445329
