BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
4682.040554,4687.73156747,4697.93062207,4601.789,4614.406
4682.039735,4687.7301707,4697.92897309,4601.789,4614.406
4766.812853,4772.12228527,4781.55244752,4686.842,4699.409
4920.107489,4925.00383429,4933.60741484,4840.938,4853.916
5055.981342,5060.38241907,5067.97618147,4980.761,4993.286
5195.532776,5199.42201807,5205.97169781,5124.166,5136.216
5300.06634,5303.48942753,5309.11134025,5234.391,5245.42
5397.061434,5400.00869089,5404.68013918,5336.762,5346.682
5492.428793,5494.99126567,5498.9753491,5438.268,5447.391
5593.031842,5595.2654529,5598.6731015,5544.765,5553.052
5678.848943,5680.88733026,5684.04046098,5635.681,5643.306
5753.407378,5755.46979162,5758.78975317,5713.33,5720.506
5804.643345,5806.98592311,5811.01532065,5767.713,5774.887
5849.091515,5851.60038408,5856.11581084,5816.505,5823.303
5875.332464,5878.11966359,5883.36950211,5847.948,5854.981
5896.728574,5899.80656824,5905.81187159,5875.267,5882.978
5909.396667,5912.72803883,5919.42816455,5893.723,5902.287
5920.472218,5924.01687005,5931.32700692,5910.744,5920.085
5933.197562,5936.97188697,5944.89909842,5928.879,5939.037
5945.965932,5949.97028989,5958.51554056,5947.009,5957.994
5963.919827,5968.07659131,5977.05319223,5969.77,5981.32
5993.296986,5997.12495579,6005.51580892,6006.214,6016.809
6028.321265,6031.71185313,6039.25661899,6047.821,6057.051
6063.348055,6066.30187159,6073.00193118,6089.431,6097.307
6101.235179,6103.73425144,6109.5135544,6132.798,6139.196
6138.366205,6140.25475971,6144.90329796,6175.992,6180.853
6175.069073,6176.42161553,6180.04761745,6216.799,6220.268
6212.379369,6213.69583122,6216.99664206,6256.296,6258.707
6250.076117,6251.17640677,6253.97737639,6295.12,6296.755
6297.976078,6298.81432026,6301.02126144,6344.223,6344.952
6354.86516,6355.49885006,6357.22550327,6400.515,6400.589
6419.920338,6420.36129027,6421.63479085,6464.945,6464.411
6493.372238,6493.75326374,6494.85738447,6536.743,6535.975
6568.656044,6569.01996886,6570.04195963,6610.12,6609.249
6622.967612,6623.42982776,6624.59090273,6661.623,6660.993
6676.905509,6677.48508228,6678.82482661,6712.656,6712.334
6714.960577,6715.71413956,6717.34492618,6747.621,6747.732
6727.592884,6728.58435986,6730.63455632,6757.048,6757.765
6730.091465,6731.29047828,6733.69052403,6756.519,6757.706
6732.600488,6734.00331411,6736.75248366,6756.002,6757.653
6735.028412,6736.53658554,6739.44324221,6755.637,6757.502
6737.539339,6739.15327835,6742.21676432,6755.354,6757.425
6739.86115,6741.49414802,6744.54962207,6754.994,6757.081
6742.188285,6743.84073626,6746.88832757,6754.636,6756.743
6743.960865,6745.57500577,6748.51560169,6753.928,6755.961
6742.619423,6744.23486159,6747.14272088,6750.214,6752.192
6742.290358,6743.86891234,6746.69391349,6747.915,6749.825
6741.961092,6743.50258055,6746.24457901,6745.614,6747.455
6745.224544,6746.71285775,6749.37158747,6747.45,6749.286
6748.500358,6749.93564514,6752.51145559,6749.288,6751.12
6756.906248,6758.24352326,6760.68527682,6756.525,6758.374
6765.959358,6767.2527328,6769.65688581,6764.566,6766.481
7414.197924,7415.5202945,7418.04722222,7412.553,7414.245
7481.048824,7482.33304998,7484.82315955,7478.567,7480.41
7532.895471,7534.12236178,7536.55502384,7530.182,7532.084
7584.7691,7585.93996694,7588.31645367,7581.812,7583.775
7633.032987,7634.16121299,7636.4947178,7629.991,7631.997
7681.271522,7682.35668589,7684.64642714,7678.141,7680.193
7727.714387,7728.77512457,7731.0428639,7724.561,7726.66
7774.106671,7775.14274894,7777.38804652,7770.93,7773.078
7819.241953,7820.2546955,7822.47293579,7816.342,7818.526
7818.115609,7819.13373856,7821.36473318,7813.695,7815.868
7816.758539,7817.72159131,7819.85610342,7812.725,7814.833
7815.407582,7816.31491772,7818.35099962,7811.755,7813.796
7815.878554,7816.69486313,7818.55568512,7812.689,7814.548
7816.349804,7817.07362476,7818.75828989,7813.623,7815.3
7818.571765,7819.16638293,7820.58974164,7816.351,7817.707
7820.803849,7821.26895925,7822.43078739,7819.088,7820.126
7824.230015,7824.54976201,7825.41066359,7823.122,7823.789
7827.659758,7827.83402076,7828.39373933,7827.159,7827.454
7831.403822,7831.4393687,7831.70969127,7831.519,7831.483
7835.220884,7835.11567474,7835.08834564,7835.819,7835.43
7838.835659,7838.60090465,7838.29249481,7839.617,7838.892
7842.446405,7842.08191426,7841.49226028,7843.408,7842.347
7845.525925,7845.04503383,7844.19923453,7846.357,7845.001
7851.315702,7850.71305113,7849.62647328,7852.204,7850.618
7855.941584,7855.24829412,7853.97878662,7856.731,7854.992
7860.710277,7860.01132141,7858.67750442,7861.015,7859.172
7863.408085,7862.66099423,7861.21210035,7863.219,7861.267
7865.149904,7864.35148481,7862.77993502,7864.464,7862.392
7866.514433,7865.67148674,7863.99543022,7865.253,7863.083
7867.423541,7866.5369704,7864.75568589,7865.576,7863.302
7868.582495,7867.64813764,7865.7559554,7866.282,7863.887
7869.422253,7868.43814148,7866.43083122,7866.666,7864.142
7870.674787,7869.64025913,7867.51925375,7867.607,7864.952
7871.739562,7870.65277816,7868.41394271,7868.359,7865.565
7873.185309,7872.05979815,7869.73193272,7869.661,7866.757
7874.514095,7873.34794617,7870.92649289,7870.839,7867.82
7876.317228,7875.13699769,7872.67693118,7872.589,7869.514
7878.005798,7876.81176317,7874.31314033,7874.225,7871.093
7880.436601,7879.26980431,7876.81906959,7876.681,7873.595
