BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
2764.300334,2766.40478624,2769.35626105,2718.366,2718.875
2764.300181,2766.40470511,2769.3561584,2718.366,2718.875
2828.124206,2829.95094233,2832.37169781,2781.333,2782.028
2926.953699,2928.53496309,2930.48403499,2879.042,2879.967
3004.169277,3005.52647712,3006.98286697,2956.681,2957.276
3083.842018,3084.96713418,3085.91417493,3036.691,3036.955
3137.440857,3138.34546405,3138.8215371,3092.764,3092.168
3187.321373,3187.99554018,3187.97951519,3144.899,3143.414
3235.327989,3235.78150211,3235.3653714,3196.702,3194.318
3289.933203,3290.12110957,3289.21055094,3255.279,3251.787
3342.802157,3342.6453391,3341.12460361,3312.31,3307.537
3395.430807,3394.9220323,3392.75835909,3368.466,3362.273
3439.266574,3438.48108035,3435.85695617,3416.541,3409.174
3475.658935,3474.62583699,3471.6125717,3457.414,3448.986
3495.026597,3493.99784506,3491.13049827,3481.664,3473.088
3502.238593,3501.446198,3499.1974925,3494.039,3486.144
3500.952122,3500.48246059,3499.05197347,3497.168,3490.348
3499.426251,3499.24157593,3498.55035909,3500.168,3494.326
3500.338674,3500.45707805,3500.52323376,3505.222,3500.412
3501.281757,3501.7036163,3502.52843253,3510.297,3506.523
3507.292188,3507.95367474,3509.38649173,3520.062,3517.113
3515.649573,3516.26410688,3517.70245483,3533.35,3530.733
3529.015621,3529.49289196,3530.72045675,3551.227,3548.601
3542.446863,3542.78594464,3543.80073049,3569.196,3566.56
3558.139177,3558.32409304,3559.05535986,3588.378,3585.619
3572.734018,3572.7560692,3573.19522607,3606.259,3603.397
3587.036228,3586.95945021,3587.19944752,3622.167,3619.327
3604.715559,3604.58020761,3604.66588351,3642.073,3639.163
3623.108735,3622.97273549,3623.01950173,3660.75,3657.972
3645.929016,3645.79244637,3645.80023222,3683.799,3681.192
3673.848085,3673.7797105,3673.88353018,3710.38,3708.202
3707.939443,3707.93661053,3708.13193733,3743.365,3741.549
