BILLY-25,MODEL-25
4682.040554,4687.73156747
4682.039735,4687.7301707
4766.812853,4772.12228527
4920.107489,4925.00383429
5055.981342,5060.38241907
5195.532776,5199.42201807
5300.06634,5303.48942753
5397.061434,5400.00869089
5492.428793,5494.99126567
5593.031842,5595.2654529
5678.848943,5680.88733026
5753.407378,5755.46979162
5804.643345,5806.98592311
5849.091515,5851.60038408
5875.332464,5878.11966359
5896.728574,5899.80656824
5909.396667,5912.72803883
5920.472218,5924.01687005
5933.197562,5936.97188697
5945.965932,5949.97028989
5963.919827,5968.07659131
5993.296986,5997.12495579
6028.321265,6031.71185313
6063.348055,6066.30187159
6101.235179,6103.73425144
6138.366205,6140.25475971
6175.069073,6176.42161553
6212.379369,6213.69583122
6250.076117,6251.17640677
6297.976078,6298.81432026
6354.86516,6355.49885006
6419.920338,6420.36129027
6493.372238,6493.75326374
6568.656044,6569.01996886
6622.967612,6623.42982776
6676.905509,6677.48508228
6714.960577,6715.71413956
6727.592884,6728.58435986
6730.091465,6731.29047828
6732.600488,6734.00331411
6735.028412,6736.53658554
6737.539339,6739.15327835
6739.86115,6741.49414802
6742.188285,6743.84073626
6743.960865,6745.57500577
6742.619423,6744.23486159
6742.290358,6743.86891234
6741.961092,6743.50258055
6745.224544,6746.71285775
6748.500358,6749.93564514
6756.906248,6758.24352326
6765.959358,6767.2527328
7414.197924,7415.5202945
7481.048824,7482.33304998
7532.895471,7534.12236178
7584.7691,7585.93996694
7633.032987,7634.16121299
7681.271522,7682.35668589
7727.714387,7728.77512457
7774.106671,7775.14274894
7819.241953,7820.2546955
7818.115609,7819.13373856
7816.758539,7817.72159131
7815.407582,7816.31491772
7815.878554,7816.69486313
7816.349804,7817.07362476
7818.571765,7819.16638293
7820.803849,7821.26895925
7824.230015,7824.54976201
7827.659758,7827.83402076
7831.403822,7831.4393687
7835.220884,7835.11567474
7838.835659,7838.60090465
7842.446405,7842.08191426
7845.525925,7845.04503383
7851.315702,7850.71305113
7855.941584,7855.24829412
7860.710277,7860.01132141
7863.408085,7862.66099423
7865.149904,7864.35148481
7866.514433,7865.67148674
7867.423541,7866.5369704
7868.582495,7867.64813764
7869.422253,7868.43814148
7870.674787,7869.64025913
7871.739562,7870.65277816
7873.185309,7872.05979815
7874.514095,7873.34794617
7876.317228,7875.13699769
7878.005798,7876.81176317
7880.436601,7879.26980431
7882.791003,7881.65113649
7886.18752,7885.11416494
7889.488943,7888.48299308
7893.328458,7892.41542791
7897.216609,7896.3946782
7900.871688,7900.14272241
7904.713091,7904.07303037
7908.267136,7907.70681584
7911.824971,7911.34457555
