PO-MODEL-0,PO-UCVM-0
5312.9629,5345.707
5312.9541,5345.699
5312.9619,5346.24
5383.2148,5412.996
5454.8809,5481.034
5526.605,5549.146
5589.1079,5607.593
5643.124,5658.016
5709.625,5720.929
5781.127,5789.624
5850.8472,5857.438
5918.478,5924.48
5984.2681,5990.756
6050.4341,6057.727
6122.0562,6130.061
6207.2671,6215.455
6284.082,6291.331
6351.229,6356.996
6417.2788,6421.651
6483.2969,6486.257
6548.9419,6550.687
6551.8838,6550.05
6555.0928,6549.817
6558.3091,6549.597
6561.8198,6549.946
6564.7568,6550.035
6568.0811,6550.783
6572.917,6553.441
6580.0332,6561.444
6594.0439,6575.819
6615.4248,6597.534
6647.0791,6630.555
6690.4951,6676.022
6744.5601,6732.598
6806.6118,6797.306
6880.6221,6874.083
6971.3271,6966.631
7053.4751,7048.175
7124.9829,7118.703
7196.4551,7189.21
7268.1279,7259.943
7339.7949,7330.676
7411.6392,7401.476
7483.4731,7472.276
7555.478,7543.062
7557.4722,7547.582
7559.5718,7552.016
7561.6709,7556.448
7563.855,7560.818
7566.04,7565.19
7562.7222,7564.202
7561.293,7564.992
7572.3408,7577.714
7574.5649,7581.999
7498.5601,7499.427
7548.2002,7549.117
7597.877,7598.866
7647.5361,7648.602
7697.2549,7698.395
7747.001,7748.213
7796.812,7798.049
7799.5859,7800.944
7802.4238,7803.79
7805.2451,7806.621
7808.207,7809.57
7811.1099,7812.464
7814.2241,7815.538
7817.3081,7818.583
7820.5161,7821.728
7823.7139,7824.863
7826.9761,7828.03
7830.188,7831.16
7833.3242,7834.218
7836.4609,7837.277
7839.5571,7840.303
7840.7002,7841.63
7842.52,7843.545
7850.7271,7851.27
7854.2769,7854.757
7857.686,7858.099
7861.0112,7861.37
7864.29,7864.593
7867.4878,7867.732
7870.6309,7870.812
7873.7422,7873.858
7876.8071,7876.853
7879.813,7879.785
7882.7832,7882.676
7885.5918,7885.417
7888.3862,7888.143
7891.0078,7890.734
7893.6201,7893.316
7896.0732,7895.813
7898.519,7898.305
7900.8799,7900.794
7903.2329,7903.277
7905.6528,7905.867
7908.0771,7908.468
7910.5991,7911.174
7913.125,7913.919
