PO-MODEL-0,PO-UCVM-0
3029.5959,3064.904
3029.5911,3064.899
3029.6919,3065.432
3070.093,3108.552
3111.624,3152.73
3153.1931,3196.957
3189.968,3234.029
3222.157,3264.566
3261.2271,3302.777
3302.469,3341.569
3341.751,3373.579
3378.564,3398.331
3412.8711,3418.619
3446.842,3441.025
3483.157,3469.883
3526.812,3511.699
3565.74,3553.023
3599.6169,3589.702
3632.54,3625.485
3665.4351,3661.229
3697.9551,3696.769
3694.731,3691.721
3691.761,3687.058
3688.7939,3682.4
3686.106,3678.269
3686.741,3677.38
3687.7251,3677.092
3679.9021,3668.765
3684.9929,3674.482
3697.8149,3688.021
3718.9709,3710.144
3751.991,3744.802
3796.438,3791.317
3849.1741,3846.261
3905.449,3904.554
3968.8831,3970.255
4036.833,4040.022
4086.7849,4089.043
4127.1528,4127.714
4167.5122,4166.372
4208.0391,4205.221
4248.563,4244.075
4289.2329,4282.978
4329.894,4321.883
4370.689,4360.763
4371.6938,4363.575
4372.792,4366.315
4373.8892,4369.055
4375.0581,4371.738
4376.229,4374.425
4374.8452,4374.426
4374.6821,4375.56
4379.5088,4381.958
4380.686,4384.544
4330.043,4330.753
4358.5898,4359.349
4387.1719,4387.998
4415.7402,4416.637
4444.356,4445.322
4472.9912,4474.024
4501.6729,4502.733
4503.2129,4504.385
4504.7822,4505.967
4506.3379,4507.537
4508.0142,4509.209
4509.6479,4510.84
4511.458,4512.622
4513.2461,4514.382
4515.1392,4516.226
4517.0229,4518.062
4518.957,4519.918
4520.856,4521.751
4522.689,4523.522
4524.5229,4525.294
4526.3208,4527.037
4527.125,4527.933
4528.3198,4529.162
4533.2329,4533.783
4535.4009,4535.9
4537.4551,4537.899
4539.438,4539.839
4541.3882,4541.745
4543.272,4543.579
4545.1099,4545.365
4546.9238,4547.124
4548.7002,4548.843
4550.4258,4550.506
4552.1221,4552.136
4553.6792,4553.636
4555.2231,4555.124
4556.6221,4556.499
4558.0112,4557.863
4559.2661,4559.157
4560.5151,4560.448
4561.6929,4561.738
4562.8638,4563.023
4564.0962,4564.4
4565.3311,4565.789
4566.6528,4567.27
4567.978,4568.79
